"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1477587","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","apparicioi","Tibouchina apparicioi","Brade","isotype","A. C. Brade","18204[= herb. RB 56414]","1946","05","14","South America","Brazil","Espírito Santo","Itaguaçu","Itaguassu, Alto Limoeiro","-40.860201","-19.803079","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1833738' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477587","NY01477587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","169348","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","apparicioi","Tibouchina apparicioi","Brade","isotype","A. C. Brade","18204","1946","05","14","South America","Brazil","Espírito Santo","Itaguaçu","Alto Limoeiro","-40.8556","-19.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169348","NY00169348_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-11 17:20:19-03","UFPR","UPCB","84940","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","aparicioi","Tibouchina aparicioi","Brade",NA,"Kollmann, L | Fontana, A.P.","12468","2012","09","05",NA,"Brasil","Espírito Santo","Itarana","São Sebastião","-40.875301361084","-19.8738994598389",NA,"Arvoreta 3m, frutos secos..",NA,NA,"Goldenberg, R.","2015","23320","1130","1900","auto",NA,NA,NA,NA,NA,NA
"4","2021-02-11 17:20:19-03","UFPR","UPCB","57324","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","apparicioi","Tibouchina apparicioi","Brade",NA,"Fontana, A.P.","1277","2005","04","10",NA,"Brasil","Espírito Santo","São Roque do Canaã","BLOQUEADO",NA,NA,NA,"Arbusto 3m, umbrófilo, flores liláses..",NA,NA,"Guimarães, P.J.F.","2007",NA,"850","1143",NA,"01","01","9999","9999",NA,NA
"5","2021-02-11 17:20:19-03","UFPR","UPCB","57325","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","apparicioi","Tibouchina apparicioi","Brade",NA,"Fontana, A.P.","865","2004","04","10",NA,"Brasil","Espírito Santo","Itaguassú","BLOQUEADO",NA,NA,NA,"Arbusto 1,5m, flor lilás grande com 10cm diâm...",NA,NA,"Guimarães, P.J.F.","2007",NA,"1000","1300",NA,"01","01","9999","9999",NA,NA
"6","2021-02-11 17:20:19-03","UFPR","UPCB","57326","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","apparicioi","Tibouchina apparicioi","Brade",NA,"Vervloet, R.R.","2260","2003","04","17",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,"Arbusto escandente 1,5m, botões florais verde avermelhados, cálice verde, corola lilás. Topo do morro, local rochoso, dossel 6m..",NA,NA,"Guimarães, P.J.F.","2007",NA,NA,NA,NA,"01","01","9999","9999",NA,NA
"7","2021-02-11 17:20:19-03","UFPR","UPCB","82710","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","apparicioi","Tibouchina apparicioi","Brade",NA,"Kollmann, L.","9945","2007","07","17",NA,"Brasil","Espírito Santo","Itaguaçu","Caparaó","-40.855598449707","-19.8019008636475",NA,"Arbusto 3m no sol, fruto seco..",NA,NA,"Goldenberg, R.","2015","26990","1145","1145","auto",NA,NA,NA,NA,NA,NA
"8","2020-07-01 10:12:00-03","MO","MOBOT","101201328","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","apparicioi","Pleroma apparicioi","(Brade) P.J.F. Guim. & Michelang.","Holotype","Alexander C. Brade|A.B. Pereira|Apparicio P. Duarte","Brade 18204","1946","5","14","South America","Brazil","Espírito Santo",NA,"Alto Lomoeiro, Município Itaguaçu",NA,NA,NA,NA,NA,NA,"fide Guimarães et al.",NA,NA,"800.00000000",NA,NA,NA,NA,NA,NA,"1",NA
"9","2020-07-10 09:47:35-03","MBML","MBML-HERBARIO","23310",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","apparicioi","Tibouchina apparicioi","Brade",NA,"A. P. Fontana; et al","865","2004","04","10",NA,"Brasil","Espírito Santo","Itaguaçu","Pedra do Caparaó","-40.981111","-19.741389",NA,"Arbusto 1,5m. Flores lilás grandes c/10cm de diâmetro.","MBML023310","MBML023310","R. Goldenberg & L. Kollmann/2015",NA,NA,NA,NA,NA,NA,NA,"40W58'52","19S44'29",NA,NA
"10","2020-07-10 09:47:35-03","MBML","MBML-HERBARIO","24219",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","apparicioi","Tibouchina apparicioi","Brade",NA,"A. P. Fontana; et al","1277","2005","04","10",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944",NA,"Arbusto 3m, umbrófilo, flores lilás.","MBML024219","MBML024219","R. Goldenberg & L. Kollmann/2015",NA,NA,NA,NA,NA,NA,NA,"40W46'31","19S47'49",NA,NA
