"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","class","individualCount","typeStatus","relatedCatalogItem","fieldNumber","sex"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3277","S","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.","Carlos A. Ferreira Jr.","2014","01","08","Carlos Alberto F. Jr.;","CAF1340","2014","01","08","Brasil","Minas Gerais","Caeté","Serra da Piedade, área da capela de São Cristovão.","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","4023","S","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.",NA,"2017","01","26","Ferreira Jr., C.A. et al.; D. R. Gonzaga","CAF1643","2017","01","26","Brasil","MG","Belo Horizonte","Serra do Curral, Parque do Paredão, entre o Posto 8 e 9","-43.937801361084","-19.9207992553711","17082","254","auto","43º54'37.9","19º57'39.5","1377","1377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00957016","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.",NA,NA,NA,NA,"A. P. Duarte","2419","1949","12","08","Brazil","Minas Gerais",NA,"Serra do Cipó, km. 132.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084698' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1280","1280","South America","sheet","NY00957016","NY00957016_01 NY00957016_02",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00957010","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.","R. Callejas Posada",NA,NA,NA,"H. S. Irwin","21927","1969","01","14","Brazil","Minas Gerais",NA,"Ca. 29km SW of Diamantina on road to Gouveia. Serra do Espinhaço.","-43.72","-18.4",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084569' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1300","1300","South America","sheet","NY00957010","NY00957010_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","555207","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.","T. G. Yuncker",NA,NA,NA,"A. C. Brade","19162","1948","08","07","Brazil","Espírito Santo","Castelo","Braço do Sul","-41.1844","-20.6036",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193040' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"South America","sheet","NY00555207","NY00555207_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00957017","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.","T. G. Yuncker",NA,NA,NA,"E. P. Heringer","22205","1958","03","06","Brazil","Minas Gerais",NA,"Serra do Cipó","-43.539757","-19.388386",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084703' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"South America","sheet","NY00957017","NY00957017_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00957018","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.","T. G. Yuncker",NA,NA,NA,"E. P. Heringer","s.n.","1947","04","10","Brazil","Minas Gerais","Lavras",NA,"-44.9994","-21.2456",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084706' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"South America","sheet","NY00957018","NY00957018_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00957013","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.","T. G. Yuncker",NA,NA,NA,"E. P. Heringer","6395","1958","04","18","Brazil","Minas Gerais",NA,"Lagoa Preta, Rio Paraopeba.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084680' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"South America","sheet","NY00957013","NY00957013_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00957009","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.","R. Callejas Posada",NA,NA,NA,"H. S. Irwin","20966","1968","02","27","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 18 km N. of Sêrro on road (MG 2) to Diamantina.","-43.55","-18.55",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084567' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1200","1200","South America","sheet","NY00957009","NY00957009_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00957012","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.","R. Callejas Posada",NA,NA,NA,"W. R. Anderson","35939","1972","02","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, eastern slopes of Pico do Itambé","-43.3919444","-18.43185",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084578' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1310","1310","South America","sheet","NY00957012","NY00957012_01 NY00957012_02",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00555206","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.","R. Callejas Posada",NA,NA,NA,"H. S. Irwin","22424","1969","01","22","Brazil","Minas Gerais",NA,"Serra do Espinhaço; Ca. 26 km SW of Diamantina, on road to Gouveia",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193039' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1300","1300","South America","sheet","NY00555206","NY00555206_01",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00957008","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica","C.DC.","R. Callejas Posada",NA,NA,NA,"H. S. Irwin","19837","1968","02","11","Brazil","Minas Gerais",NA,"Pico de Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.8","-20.23",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084565' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1750","1750","South America","sheet","NY00957008","NY00957008_01",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00957011","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","subrubrispica","Peperomia subrubrispica glabrifolia","Yunck.","R. Callejas Posada",NA,NA,NA,"H. S. Irwin","30410","1971","01","15","Brazil","Minas Gerais",NA,"Serra do Espinhaço, upper shrub covered slopes of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.7263889","-19.83305",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084573' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1850","1850","South America","sheet","NY00957011","NY00957011_01","glabrifolia",NA,NA,NA,NA,NA,NA
