"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","maximumDepthInMeters","fieldNumber"
"1","2021-04-05 14:34:15-03","UNESC","CRI","6552","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Dolores Bosa","1999","10","17","Dolores Bosa; Magali Romagna","1999","10","17","Brasil","Santa Catarina","Morro Grande","Nova Roma.","-49.721111","-28.801111","49º43'16''W","28º48'4''S","Floresta Ombrófila Densa Habitat: interior da mata Habito: árvore","CRI007700","CRI007700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:15-03","UNESC","CRI","4270","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Vanilde C. Zanette",NA,NA,NA,"Valdemar Boff","1995","11","28","Brasil","Santa Catarina","Araranguá","Canivete.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","Habitat: dunas Habito: subarbusto","CRI007695","CRI007695","334","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:23-03","UNESC","CRI","8122","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","M. Verdi","2009","01","21","M. Verdi; R. P. Hasckel & G. Klemz","2009","01","21","Brasil","Santa Catarina","Anita Garibaldi","Arrozal.","-51.130278","-27.689722","51º7'49''W","27º41'23''S","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista","CRI003417","CRI003417","1360","762","762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:35-03","UNESC","CRI","4302","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Marcos Sobral","1997","04","25","Valdemar Boff","1995","11","14","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S",NA,"CRI003419","CRI003419","275","52","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:23-03","UNESC","CRI","3386","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Daniel de Barcellos Falkenberg",NA,NA,NA,"Maria Costa Rebelo","1993","11","18","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico de Forquilhinha.","-49.466667","-28.733333","49º28'W","28º44'S",NA,"CRI003415","CRI003415",NA,"42","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:15-03","UNESC","CRI","11191","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","M. Verdi","2009","01","24","M. Verdi; R.P. Hasckel & G. Klemz","2009","01","24","Brasil","Santa Catarina","Cerro Negro","Macaco Branco.","-51.033611","-27.902222","51º2'1''W","27º54'8''S","Floresta Ombrófila Mista e Floresta Estacional Decidual","CRI007692","CRI007692","1417","785","785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:15-03","UNESC","CRI","4388","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Vanilde Citadini-Zanette",NA,NA,NA,"Valdemar P. Boff","1995","12","08","Brasil","Santa Catarina","Imbituba",NA,"-48.670278","-28.240556","48º40'13''W","28º14'26''S",NA,"CRI007687","CRI007687","321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:15-03","UNESC","CRI","4157","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Vanilde Citadini-Zanette","1995",NA,NA,"Valdemar P. Boff","1995","11","29","Brasil","Santa Catarina","Jacinto Machado",NA,"-49.82","-29.002222","49º49'12''W","29º0'8''S",NA,"CRI007690","CRI007690","341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:23-03","UNESC","CRI","1121","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Vanilde Citadini- Zanette",NA,NA,NA,"Clair Maria Martinello; Aurélio José de Aguiar","1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI003390","CRI003390",NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:23-03","UNESC","CRI","637","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1990","11","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI007698","CRI007698","987","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:33:35-03","UNESC","CRI","7524","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke",NA,NA,NA,NA,"Cristiane Krug","2005","11","09","Brasil","Santa Catarina","Porto União",NA,"-51.078611","-26.238611","51º4'43''W","26º14'19''S",NA,"CRI007696","CRI007696",NA,"750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:34:15-03","UNESC","CRI","4921","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Vanilde C. Zanette","1996","01","31","Vanilde C. Zanette; Robson dos Santos","1996","01","31","Brasil","Santa Catarina","Governador Celso Ramos","Restinga próximo à praia.","-48.559444","-27.315278","48º33'34''W","27º18'55''S",NA,"CRI007702","CRI007702","2151","24","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:23-03","UNESC","CRI","12088","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Maçaneiro, J.P.","2016","11","22","Maçaneiro, J.P.","2016","11","22","Brasil","Santa Catarina","Indaial","Faxinal do Bepe. Parque Nacional da Serra do Itajaí","-49.195278","-27.112222","49º11'43''W","27º6'44''S",NA,"CRI010266","CRI010266","96","680","680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:26:12-03","UNESC","CRI","5077","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,"-",NA,NA,NA,NA,NA,NA,"CRI007694","CRI007694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:34:15-03","UNESC","CRI","6212","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Vanilde Citadini-Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Tania N. Medeiros","1997","02","19","Brasil","Santa Catarina","Araranguá",NA,"-49.486389","-28.935556","49º29'11''W","28º56'8''S",NA,"CRI007689","CRI007689","2514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:34:15-03","UNESC","CRI","3538","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Vanilde C. Zanette","1995","01","02","Jairo José Zocche","1994","11","10","Brasil","Santa Catarina","Araranguá","Estrada para o Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S",NA,"CRI007699","CRI007699",NA,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:34:15-03","UNESC","CRI","508","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","José Claudio Ramos Rodrigues","1990","11","04","José Krás da Silva","1990","11","04","Brasil","Santa Catarina","Praia Grande",NA,"-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,"CRI007693","CRI007693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:26:12-03","UNESC","CRI","11315","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","M. Verdi","2009","03","18","M. Verdi; R. P. Hasckel & G. Klemz","2009","03","18","Brasil","Santa Catarina","Zortéa","Passo Raso.","-51.613889","-27.494167","51º36'50''W","27º29'39''S","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista","CRI003389","CRI003389","1808","661","661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:33:35-03","UNESC","CRI","7981","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Vanilde Citadini- Zanette","2007","11","09","Beatriz Wessler; Bruna Alberton","2007","11","06","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","Habitat: borda de mata","CRI003420","CRI003420",NA,"52","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:34:15-03","UNESC","CRI","7099","PreservedSpecimen","Plantae","Verbenaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke",NA,NA,NA,NA,"C. Poli; F. Silva Filho","2001","12","11","Brasil","Santa Catarina","Ipuaçu",NA,"-52.455278","-26.631944","52º27'19''W","26º37'55''S","Habitat: borda da mata Habito: arvoreta","CRI007688","CRI007688","30","748","748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:25:23-03","UNESC","CRI","1069","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Marcos Sobral",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI007697","CRI007697","1347","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:25:23-03","UNESC","CRI","14927","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Dreveck, S","2009","01","27","Dreveck, S.; Gasper, A.L. de & Carneiro, F.E.","2009","01","27","Brasil","Santa Catarina","Seara","Linha Salete. Linha Salete.","-52.289722","-27.135","52º17'23''W","27º8'6''S","Florística IFFSC 2081(Arbórea) Habitat: Floresta Estacional Decidual; borda do fragmento Habito: arbórea; Fruto verde;","CRI014371","CRI014371","548","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:25:23-03","UNESC","CRI","8197","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","M. Verdi",NA,NA,NA,"M. Verdi; R. P. Hasckel & G. Klemz","2009","01","26","Brasil","Santa Catarina","Anita Garibaldi",NA,"-51.130278","-27.689722","51º7'49''W","27º41'23''S","Habito: arbórea","CRI003490","CRI003490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:25:23-03","UNESC","CRI","13686","PreservedSpecimen","Plantae","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Alexandre Medeiros","2017","11","13","Alexandre Medeiros","2017","11","13","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 790 Habitat: Terrestre Habito: Arbóreo","CRI012293",NA,NA,NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
