"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","year","month","day","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:44:21-03","E","E","259287","PreservedSpecimen","Plantae","Verbenaceae","Lippia","pallescens","Lippia pallescens","unspecified kind of","Hartweg, Karl Theodor","1355","W. Tropical South America","CO","Departamento de Cundinamarca","Tena, Province of Bogota","herbarium specimen of unspecif","BGBASE:267682","<a href=http://data.rbge.org.uk/herb/E00259287 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","137617","PreservedSpecimen","Plantae","Verbenaceae","Lantana","aristata","Lantana aristata cabrerae","type","Á. L. Cabrera","3018","South America","Argentina","Salta","Cerro San Bernardo; Dept. Capital","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=51839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00137617","Magnoliophyta","Lamiales","cabrerae","Moldenke","1933","05","27","NY00137617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","564322","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens",NA,"M. B. Costa e Silva","316","South America","Brazil","Pernambuco","Fazenda Bituri","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564322","Magnoliophyta","Lamiales",NA,"Kunth","1996","03","28","NY00564322_01","T. R. S. Silva","Brejo da Madre de Deus","-36.3708","-8.15","636","636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","870332","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens",NA,"M. H. Nee","37875","South America","Bolivia","Santa Cruz","SE side of Robore, near the railroad.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870332","Magnoliophyta","Lamiales",NA,"Kunth","1989","11","23",NA,"M. Binder","Chiquitos","-59.75","-18.33","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","564327","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens",NA,"G. G. Hatschbach","24854","South America","Brazil","Paraná","Leroville, Campo das Pedras","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564327","Magnoliophyta","Lamiales",NA,"Kunth","1970","09","29","NY00564327_01","N. S. Troncoso","Londrina","-51.1628","-23.3106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","564329","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens",NA,"B. J. Pickel","3528","South America","Brazil","Pernambuco","Tapera","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564329","Magnoliophyta","Lamiales",NA,"Kunth","1934","02","28","NY00564329_01","H. N. Moldenke",NA,"-35.18","-8.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","564337","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens",NA,"A. M. R. Huidobro","3502","South America","Argentina","Entre Ríos","Dep. Diamonte. Salto","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564337","Magnoliophyta","Lamiales",NA,"Kunth","1946","11","26",NA,"H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00955750","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens",NA,"Armando","6","South America","Brazil","Minas Gerais","Morro São João.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955750","Magnoliophyta","Lamiales",NA,"Kunth",NA,NA,NA,"NY00955750_01","H. N. Moldenke","Capitao Enéas","-43.7106","-16.3244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","564334","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens",NA,"R. M. Harley","19465","South America","Brazil","Bahia","Serra do Jatobá. Morro de Nossa Senhora dos Milagres, just west of Milagres","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564334","Magnoliophyta","Lamiales",NA,"Kunth","1977","03","06","NY00564334_01","G. Bromley","Milagres","-39.87","-12.9","500","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","137636","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens pluripedunculata","holotype","J. P. P. Carauta","3761","South America","Brazil","Rio de Janeiro","Santo Antonio de Pádua, estrada para Ibitiguaca, á margem de Rio Pomba","sheet",NA,"Each collector on team has a #: E. S. F. da Rocha 540, C. M. Sira-Jannuzzi 477, D. S. de Souza 459, H. Q. Boudet Fernandes <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00137636","Magnoliophyta","Lamiales","pluripedunculata","Moldenke","1981","04","28","NY00137636_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","564335","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens",NA,"L. Riedel","2366","South America","Brazil",NA,"Morro Tamandua Franca","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104030' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564335","Magnoliophyta","Lamiales",NA,"Kunth","1834","06",NA,"NY00564335_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","564323","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens",NA,"A. B. Marcon","36","South America","Brazil","Pernambuco","Bezerros, Parque Municipal de Serra Negra","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564323","Magnoliophyta","Lamiales",NA,"Kunth","1995","04","12","NY00564323_01","T. R. S. Silva","Bezerros","-35.7969","-8.23333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00955754","PreservedSpecimen","Plantae","Verbenaceae","Lantana","canescens","Lantana canescens",NA,"J. A. Ratter","R6438","South America","Brazil","Minas Gerais","Sagarana, Projeto Integrado de Colonização (INCRA), NW Minas Gerais.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035854' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955754","Magnoliophyta","Lamiales",NA,"Kunth","1989","11","19","NY00955754_01","M. L. Kawasaki",NA,"-47","-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
