"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","971777","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","altissima","Marsdenia altissima","(Jacq.) Dugand","G. N. Morillo","G. M. Magalhaes","18912","1962","02","14","South America","Brazil","Minas Gerais","Pedro Leopoldo","Perto da cidade.","-44.0431","-19.6183","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971777","NY00971777_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01212448","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","altissima","Marsdenia altissima","(Jacq.) Dugand","R. Callejas Posada","J. J. Strudwick","3148","1981","07","18","South America","Brazil","Pará",NA,"Lageira, airstrip on Rio Maicuru.","-54.43","-0.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461351' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212448","NY01212448_01","244","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4195650","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","altissima","Marsdenia altissima","(Jacq.) Dugand",NA,"A. H. Gentry","10996","1974","04","30","South America","Venezuela","Lara",NA,"Near Centro Comercial Los Leones, Barquisimeto, dry deciduous throny scrubs",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4518877' target='other'> <mi>dwc_moreinfo</mi></a>","NY04195650",NA,"540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","971801","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","altissima","Marsdenia altissima","(Jacq.) Dugand","F. S. Espírito Santo","P. E. Gibbs","2798","1976","09","08","South America","Brazil","Goiás","Goiás","Na Serra Dourada.","-50.1403","-15.9344","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971801","NY00971801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","971780","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","altissima","Marsdenia altissima","(Jacq.) Dugand","G. N. Morillo","H. S. Irwin","21637","1968","03","23","South America","Brazil","Goiás","Alto Paraíso de Goiás","Ca. 27 km S. of Paraíso.","-47.53","-14.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971780","NY00971780_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4195653","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","altissima","Marsdenia altissima","(Jacq.) Dugand",NA,"O. S. Shirley","14","1994","05","07","South America","Bolivia","Santa Cruz","Andrés Ibáñez","9 km al oeste del centro de la ciudad de Santa Cruzceranias al Rio Pirai (Languna Noel Kempff)","-63.2267","-17.7617","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4518880' target='other'> <mi>dwc_moreinfo</mi></a>","NY04195653",NA,"380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1013624","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","altissima","Marsdenia altissima","(Jacq.) Dugand","G. N. Morillo","H. S. Irwin","16690","1966","06","06","South America","Brazil","Mato Grosso",NA,"Ca. 35 km. N. of Xavantina. Serra do Roncador.","-52.23","-14.38","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097159' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013624","NY01013624_01 NY01013624_02 NY01013624_03","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1015205","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","altissima","Marsdenia altissima","(Jacq.) Dugand","G. N. Morillo","Collector unspecified","s.n.","1944","11","14","South America","Brazil","Bahia",NA,"Sem indicação da localidade. Cultivada no Jardim Botânico de São Paulo.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100588' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015205","NY01015205_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1013622","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","altissima","Marsdenia altissima","(Jacq.) Dugand",NA,"G. M. Magalhaes","18912","1962","02","14","South America","Brazil","Minas Gerais","Pedro Leopoldo","Perto da cidade.","-44.0431","-19.6183","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097157' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013622","NY01013622_01 NY01013622_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4195655","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","altissima","Marsdenia altissima","(Jacq.) Dugand",NA,"T. J. Killeen","2202","1986","10","20","South America","Bolivia","Santa Cruz","Ñuflo de Chávez","10 km S of Concepcion on the road to Lomerio","-62","-16.22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4518882' target='other'> <mi>dwc_moreinfo</mi></a>","NY04195655",NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
