"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2020-09-23 10:38:14-03","E","E","433301","PreservedSpecimen","Plantae","Compositae","Stomatanthes","dentatus","Stomatanthes dentatus","unspecified kind of","Gardner, George","3833","1905","01","12","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:462293","<a href=http://data.rbge.org.uk/herb/E00433301 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","168943","PreservedSpecimen","Plantae","Asteraceae","Eupatorium","dentatum","Eupatorium dentatum","isotype","G. Gardner","VIII.3833","1840","03",NA,"South America","Brazil","Tocantins","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168943","Magnoliophyta","Asterales","Gardner","Arraias","In herboris camporum editiorum, prope Villa de Arrayas, Prov. Goyaz","-46.9381","-12.9317","NY00168943_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","168944","PreservedSpecimen","Plantae","Asteraceae","Eupatorium","dentatum","Eupatorium dentatum","isotype","G. Gardner","3833","1838",NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168944","Magnoliophyta","Asterales","Gardner",NA,"Brasilia",NA,NA,"NY00168944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00809443","PreservedSpecimen","Plantae","Asteraceae","Stomatanthes","dentatus","Stomatanthes dentatus",NA,"L. Riedel","2431","1834","07",NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809443","Magnoliophyta","Asterales","(Gardner) H.Rob.",NA,"V: Franca et th: Anna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00809442","PreservedSpecimen","Plantae","Asteraceae","Stomatanthes","dentatus","Stomatanthes dentatus",NA,"L. Riedel","2431",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809442","Magnoliophyta","Asterales","(Gardner) H.Rob.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00809444","PreservedSpecimen","Plantae","Asteraceae","Stomatanthes","dentatus","Stomatanthes dentatus",NA,"S. A. Mori","16979","1984","07","25","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809444","Magnoliophyta","Asterales","(Gardner) H.Rob.",NA,"Município de São Gonçalo. BR040, Km. 251",NA,NA,NA,"720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00809441","PreservedSpecimen","Plantae","Asteraceae","Stomatanthes","dentatus","Stomatanthes dentatus",NA,"J. C. Lindeman","3085","1966","10","17","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801198' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809441","Magnoliophyta","Asterales","(Gardner) H.Rob.",NA,"3 km N of Rio 5 Reis, S of Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00809445","PreservedSpecimen","Plantae","Asteraceae","Stomatanthes","dentatus","Stomatanthes dentatus",NA,"S. A. Mori","16832","1984","07","15","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809445","Magnoliophyta","Asterales","(Gardner) H.Rob.","Cuiabá","Cuiabá-Jaciara Hwy, 71 km E of Cuiabá, 9 km W of São Vicente","-56.0967","-15.5961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:34:43-03","EAO","IAN","122773","PreservedSpecimen","Plantae","Asteraceae","Eupatorium","dentatum","Eupatorium dentatum",NA,"Irwin, HS; Soderstrom, TR","5552","1964","08","24","Southern America","Brasil","Minas Gerais",NA,NA,"Sbshrub ca. 75cm tall, with several stems arising from woody base. Heads yellowish.","IAN122773","Dicotiledônea",NA,"Gardner",NA,"Cerrado.",NA,NA,NA,NA,NA,"Barroso, GM","1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:37:00-03","EAO","IAN","73514","PreservedSpecimen","Plantae","Asteraceae","Eupatorium","dentatum","Eupatorium dentatum",NA,"Gardner, A","3833",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN073514","Dicotiledônea",NA,"Gardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
