"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","year","month","day","stateProvince","phylum","order","infraspecificEpithet","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","relationshipType","eventTime","fieldNumber","individualCount"
"1","2020-09-23 10:43:42-03","E","E","190947","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana","syntype","Martius","167","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:214360","<a href=http://data.rbge.org.uk/herb/E00190947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00190947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:42-03","E","E","394021","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"Gardner, George","238","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:432891","<a href=http://data.rbge.org.uk/herb/E00394021 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394021","Rio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:42-03","E","E","394022","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"Gardner, George",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:432897","<a href=http://data.rbge.org.uk/herb/E00394022 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394022",NA,"1905","01","11","Pernambuco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","139044","PreservedSpecimen","Plantae","Solanaceae","Solanum","acuminatum","Solanum acuminatum viridiflorum","isotype","C. E. F. von Glocker","78","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=580582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00139044",NA,"1842",NA,NA,"Bahia","Magnoliophyta","Solanales","viridiflorum","Dunal","-39.039072","-15.159747","NY00139044_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","731103","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","20316","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731103","Western side of Río Piribebuy basin, 27 km W of Arroyos y Esteros.","1990","05","19","Cordillera","Magnoliophyta","Solanales",NA,"Vell.","-57.3","-25.13",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","731123","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","31802","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731123","Limpio - Piquete Cué.","1992","06","08","Central","Magnoliophyta","Solanales",NA,"Vell.","-57.5","-25.12",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","731118","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","35672","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731118","Estero del Ypoá: Villeta - Puerto Guyratí between 11.5 km S of Villeta and Puerto Guyratí.","1993","05","19","Central","Magnoliophyta","Solanales",NA,"Vell.","-57.6","-25.6",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","731071","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"S. G. Tressens","3903","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=850119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731071","17 km NW de San Carlos, Ea. Rincon Chico.","1991","02","14","Corrientes","Magnoliophyta","Solanales",NA,"Vell.",NA,NA,"NY00731071_01","M. H. Nee","Ituzaingó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-02-01 14:01:00-02","NY","NYBG","731095","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. Hassler","1370","South America","Paraguay","sheet",NA,"[Collection data provided on duplicate sheet.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731095","Cordillera de Altas.","1885","10",NA,"Cordillera","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,"S. D. Knapp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","731107","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","34706","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731107","Estero del Ypoá. Puerto Guyrati - Villa Oliva. 4.5 km S of Puerto Guyrati.","1993","01","14","Central","Magnoliophyta","Solanales",NA,"Vell.","-57.62","-25.63",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
