"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","county","year","month","day","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:42:26-03","E","E","428956","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina","Comber, Harold F.","240","Temperate South America","AR","Valle Escondida","herbarium specimen of unspecif","BGBASE:510381","<a href=http://data.rbge.org.uk/herb/E00428956 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00428956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:26-03","E","E","428955","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina","Ball, John",NA,"Temperate South America","CL","Valdivia","herbarium specimen of unspecif","BGBASE:510382","<a href=http://data.rbge.org.uk/herb/E00428955 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00428955","Región X [Los Lagos]","Provincia de Valdivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:26-03","E","E","182501","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina","Gardner, Martin F. & Knees, Sabina G.","6875","Temperate South America","CL","Road from Victoria to Termas de Tolhuaca before Parque Nacional Tolhuaca near to Puente Tacadero","herbarium specimen of unspecif","BGBASE:193846","<a href=http://data.rbge.org.uk/herb/E00182501 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00182501","Región IX [Araucanía]","Provincia de Malleco","2003","12","30","-71.829722","-38.226944","-71.829722","-38.226944","942","942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","539154","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina xalapensis","S. R. King","268","South America","Peru","Chincheros. Ccaparay, terraced, irrigated area on SE shore of Lake Piuray.","sheet",NA,"n.v. unknown. No use reported. Inf: GS <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539154","Cusco","Urubamba","1982","02","11","-72.03","-13.43",NA,NA,NA,NA,"Magnoliophyta","Lamiales","xalapensis","(Kunth) Pennell","T. C. Plowman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01132753","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina","B. C. Bennett","2187","South America","Peru","Ura-ayllu; open field across road from church","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339021' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132753","Puno","Sandia","1986","02","07","-69.53","-14.13",NA,NA,"3400","3400","Magnoliophyta","Lamiales",NA,"L.","N. H. Holmgren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 15:45:00-03","NY","NYBG","539157","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina xalapensis","D. Olea","15","South America","Argentina","Portisuela el Garabatal.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539157","Tucumán","Tafi del Valle","1944","11","27",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Lamiales","xalapensis","(Kunth) Pennell","K. A. Vincent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","539156","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina xalapensis","T. Feuerer","22028","South America","Bolivia","Schwemmkegel des Rio Apacheta oberhalb Cota Cota an der Strabe nach Palca, Veg.-Aufn. 904","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539156","La Paz","Pedro Domingo Murillo","1985","04","08",NA,NA,NA,NA,"3620","3620","Magnoliophyta","Lamiales","xalapensis","(Kunth) Pennell","K. A. Vincent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 15:45:00-03","NY","NYBG","539155","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina xalapensis","G. W. Harling","8672","South America","Ecuador","Road Biblián - Cañar.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539155","Cañar",NA,"1968","04","23",NA,NA,NA,NA,"3100","3100","Magnoliophyta","Lamiales","xalapensis","(Kunth) Pennell","N. H. Holmgren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","539019","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina xalapensis","J. E. Leite","631","South America","Brazil","Vicinity of San Leopoldo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539019","Rio Grande do Sul","Sao Leopoldo","1941","08",NA,"-51.143791","-29.75136",NA,NA,NA,NA,"Magnoliophyta","Lamiales","xalapensis","(Kunth) Pennell",NA,"NY00539019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:31:57-03","UFRJ","RFA","3797","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina",NA,NA,NA,"Brasil",NA,NA,NA,"Gabinete Freire Alemão. Faculdade de Medicina do Rio de Janeiro.","RFA24288",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:49:44-03","EAO","IAN","47511","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Black, GA","6808",NA,"Estados Unidos","Ao Sul do Estado.",NA,NA,NA,"IAN047511","Califórnia",NA,"1934",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotiledônea",NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-08 21:32:55-03","UFBA","ALCB","14234","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina","s.col.","PHs/n",NA,"França",NA,NA,NA,NA,"ALCB014380",NA,NA,"1844",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,"L.",NA,"ALCB014380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:34:12-03","NBC","NL-BOTANY","AMD.111206","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Herter",NA,"Southern America","Uruguay","Dep. de Montevideo, Dict. Sayago.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.111206 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD111206",NA,NA,"1929","11","01",NA,NA,NA,NA,NA,NA,NA,"Lamiales",NA,"L.",NA,"NL-AMD111206","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:34:12-03","NBC","NL-BOTANY","L.2804596","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Sellow F",NA,"Southern America","Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2804596 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2804596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lamiales",NA,"L.",NA,"NL-L2804596","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:34:12-03","NBC","NL-BOTANY","L.4134853","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Pedersen TM",NA,"Southern America","Argentina","Plantae Argentinenses. Road (RN-150) from las Flores to P. Agua Negra, near Ojos de Agua. Dep. Iglesia. Prov. San Juan.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4134853 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4134853",NA,NA,"1989","03","16",NA,NA,NA,NA,NA,NA,NA,"Lamiales",NA,"L.",NA,"NL-L4134853","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:34:12-03","NBC","NL-BOTANY","U.1722298","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Herter WG",NA,"Southern America","Uruguay","Plantae Uruguayensis, Dep. De Montevideo, Sayago.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1722298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1722298",NA,NA,"1929","11","01",NA,NA,NA,NA,NA,NA,NA,"Lamiales",NA,"L.",NA,"NL-U1722298","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 09:34:12-03","NBC","NL-BOTANY","L.2804608","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina xalapensis","Pedersen TM",NA,"Southern America","Paraguay","Estancia,,La Soledad'. (Isla Carpincho). santiago. Dep. Misiones.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2804608 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2804608",NA,NA,"1962","09","23",NA,NA,NA,NA,NA,NA,NA,"Lamiales","xalapensis","(Kunth) Pennell",NA,"NL-L2804608","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 09:34:12-03","NBC","NL-BOTANY","U.1722284","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina xalapensis","Lindeman JC; Irgang BE; Valls JFM",NA,"Southern America","Brazil","Brasil, Campo con bairada, umida 17 km W de Sao Gabriel.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1722284 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1722284",NA,NA,"1971","10","13",NA,NA,NA,NA,NA,NA,NA,"Lamiales","xalapensis","(Kunth) Pennell",NA,"NL-U1722284","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 09:34:12-03","NBC","NL-BOTANY","U.1722296","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina xalapensis","Petersen TM",NA,"Southern America","Argentina","Estancia 'Santa Teresa', DFep. Mburucuya, prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1722296 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1722296",NA,NA,"1954","08","08",NA,NA,NA,NA,NA,NA,NA,"Lamiales","xalapensis","(Kunth) Pennell",NA,"NL-U1722296","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 09:34:12-03","NBC","NL-BOTANY","U.1722299","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina xalapensis","Pedersen TM",NA,"Southern America","Argentina","Estancia 'La Yela', Dep. Empedrado, Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1722299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1722299",NA,NA,"1952","08","16",NA,NA,NA,NA,NA,NA,NA,"Lamiales","xalapensis","(Kunth) Pennell",NA,"NL-U1722299","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 12:18:28-03","ESALQ","ESA","39945","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina","Jarenkow, J.A.","2752.0",NA,"Brasil",NA,NA,NA,NA,"ESA039945","Rio Grande do Sul","Pelotas","1995","10","02","-52.3424987792969","-31.771900177002",NA,NA,NA,NA,"Magnoliophyta",NA,NA,"L.","Jarenkow, J.A.",NA,NA,"51462","auto",NA,NA,NA,NA,NA,NA,NA
"22","2021-01-14 15:32:55-03","MN","R","12391","PreservedSpecimen","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina","Glaziou, A.F.M.","19732",NA,"Brasil",NA,NA,NA,"Plantas do Brasil Central","R000012391","Minas Gerais",NA,"1892","03","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.",NA,"R000012391_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-19 08:08:20-03","FPS","FPS","2382","MachineObservation","Plantae","Plantaginaceae","Veronica","peregrina","Veronica peregrina","Schwirkowski, P.","1819",NA,"Brasil","Serra Alta. Vila Pilz. Estrada de Ferro",NA,NA,NA,"FPS02382,FURB51926","Santa Catarina","São Bento do Sul","2016","09","03","-49.460167","-26.284167","-49.460167","-26.284167",NA,NA,NA,NA,NA,"L.","Schwirkowski, P.","FPS02382_v01 FPS02382_v02 FPS02382_v03 FPS02382_v04 FURB51926",NA,NA,NA,"2016","09","03","voucher","FURB 51926",NA,NA
"24","2019-08-27 13:33:13-03","IAP","PACA-AGP","56133","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Pivetta","544",NA,"Brasil","Dr. Pestana",NA,NA,"Habitat: In incultis humidis. Fenofase: flor branca","PACA056133","RS","Ijuí","1953","10","10","-53.9146995544434","-28.3878002166748",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"L.","Emrich-Rambo Sicher",NA,"Magnoliatae","36807","auto","1955","04","09",NA,NA,NA,NA
"25","2019-08-27 13:33:13-03","IAP","PACA-AGP","11318","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","E. Friderichs",NA,NA,"Brasil","P. fl. Uruguay.",NA,NA,"Habitat: In humidis herbosis. Fenofase: flor","PACA011318","RS","Lagoa Vermelha","1943","01",NA,"-51.5257987976074","-28.2085990905762",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"L.","Emrich-Rambo Sicher",NA,"Magnoliatae","42261","auto","1954","09","18",NA,NA,NA,NA
"26","2019-08-27 13:33:13-03","IAP","PACA-AGP","32570","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Henz, E.",NA,NA,"Brasil","Parecí",NA,NA,"Habitat: In incultis humidis. Fenofase: flor e fruto","PACA032570","RS","Montenegro","1945","10","20","-51.4611015319824","-29.6886005401611",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"L.","Emrich-Rambo Sicher",NA,"Magnoliatae","21601","auto","1954","09","18",NA,NA,NA,NA
"27","2019-08-27 13:33:13-03","IAP","PACA-AGP","63266","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Sacco","863",NA,"Brasil",NA,NA,NA,"Em campos de cultura comum. Habitat: In humidis. Fenofase: flor e fruto","PACA063266","RS","Pelotas","1957","12","13","-52.3424987792969","-31.771900177002",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"L.","Emrich-Rambo Sicher",NA,"Magnoliatae","51462","auto","1958","09","18",NA,NA,NA,NA
"28","2019-08-27 13:33:13-03","IAP","PACA-AGP","11683","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Rambo, B.",NA,NA,"Brasil","Viila Manresa",NA,NA,"Habitat: In humidis herbosis. Fenofase: fruto maturo","PACA011683","RS","Porto Alegre","1943",NA,NA,"-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"L.","Emrich-Rambo Sicher",NA,"Magnoliatae","29946","auto","1954","09","18",NA,NA,NA,NA
"29","2019-08-27 13:33:13-03","IAP","PACA-AGP","47531","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Rambo, B.",NA,NA,"Argentina","Tucumán",NA,NA,"Habitat: In humidis herbosis. Fenofase: flor e fruto","PACA047531",NA,NA,"1948","10",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"L.","Emrich-Rambo Sicher",NA,"Magnoliatae",NA,NA,"1954","09","18",NA,NA,NA,NA
"30","2019-08-27 13:33:13-03","IAP","PACA-AGP","8856","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Rambo, B.",NA,NA,"Brasil","Perto de Lageado",NA,NA,"Habitat: In humidis herbosis. Fenofase: flor e fruto","PACA008856","RS","Santa Clara","1940","11","18",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"L.","Emrich-Rambo Sicher",NA,"Magnoliatae",NA,NA,"1954","09","18",NA,NA,NA,NA
"31","2019-08-27 13:33:13-03","IAP","PACA-AGP","47788","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Sehnem, A.","3983",NA,"Brasil","Galopolis",NA,NA,"Habitat: Ad viam in humidis. Fenofase: flor e fruto","PACA047788","RS","Caxias do Sul","1949","10","31","-51.1794013977051","-29.1681003570557",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"L.","Emrich-Rambo Sicher",NA,"Magnoliatae","49662","auto","1954","09","18",NA,NA,NA,NA
"32","2019-08-27 13:33:13-03","IAP","PACA-AGP","61441","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Sacco","660",NA,"Brasil",NA,NA,NA,"Habitat: In incultis Fenofase: flor","PACA061441","RS","Pelotas","1957","09","25","-52.3424987792969","-31.771900177002",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"L.","Emrich-Rambo Sicher",NA,"Magnoliatae","51462","auto","1958","09","30",NA,NA,NA,NA
"33","2019-08-27 13:33:13-03","IAP","PACA-AGP","57327","PreservedSpecimen","Plantae","Scrophulariaceae","Veronica","peregrina","Veronica peregrina","Rambo, B.",NA,NA,"Brasil","Vila Manresa",NA,NA,"Habitat: In incultis humidis Fenofase: flor e fruto","PACA057327","RS","Porto Alegre","1955","09","18","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"L.","Emrich-Rambo Sicher",NA,"Magnoliatae","29946","auto","1957","05","15",NA,NA,NA,NA
