"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","dayIdentified"
"1","2021-03-25 09:28:15-03","UNICAMP","UEC","69906","S","Plantae","Magnoliopsida","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir","Stehmann, JR; Semir, J","holotypus","Stehmann, JR; Dutilh, JHA","1534","1994","11","04","Brazil","Santa Catarina","Urubici","Estrada da Serra do Corvo Branco, em direção a Urubici (após subida da Serra)","-49.812778","-28.220778","-49.812778","-28.220778","Erva a arbusto decumbentes, em barranco em beira de estrada; flores com corola com tubo externamente amarelo, com nervuras marcadas (listras) e limbo magenta; estames abrindo-se próximos à boca do tubo","UEC060884","UEC060884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:41:25-03","UNICAMP","UEC","77945","S","Plantae","Magnoliopsida","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1764","1995","12","06","Brazil","Santa Catarina","Urubici","Estrada Serra do Corvo Branco.","-49.5917015075684","-28.0149993896484",NA,NA,"Subarbusto; ramos inicialmente eretos, posteriormente flexuosos, corola base estriada amarela, fauce amarela, limbo magenta.; Em barranco rochoso na beira da estrada.","UEC058391","UEC058391","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:41:25-03","UNICAMP","UEC","77946","S","Plantae","Magnoliopsida","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1765","1995","12","06","Brazil","Santa Catarina","Urubici","Estrada Serra do Corvo Branco.","-49.5917015075684","-28.0149993896484",NA,NA,"Subarbusto; ramos inicialmente eretos, posteriormente flexuosos, corola base estriada amarela, fauce amarela, limbo magenta.; Em barranco rochoso na beira da estrada.","UEC058392","UEC058392","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:41:25-03","UNICAMP","UEC","77947","S","Plantae","Magnoliopsida","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1763","1995","12","06","Brazil","Santa Catarina","Urubici","Estrada Serra do Corvo Branco.","-49.5917015075684","-28.0149993896484",NA,NA,"Subarbusto; ramos inicialmente eretos, posteriormente flexuosos, corola base estriada amarela, fauce amarela, limbo magenta.; Em barranco rochoso na beira da estrada.","UEC058389","UEC058389","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-04 13:19:44-03","UDESC","LUSC","4853","PreservedSpecimen","Plantae",NA,"Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir","Murilo",NA,"Murilo","6","2006","10","19","Brasil","Santa Catarina","Lages",NA,"-50.326099395752","-27.8160991668701",NA,NA,NA,"LUSC001113","LUSC001113","70701","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:45:23-03","MBM","MBM","218698","PreservedSpecimen","Plantae",NA,"Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,"PARATYPE","Stehmann, J.R.; Borba, E.L.; Ippolito, A.; Reis, C.; Borba, E.L.; Ippolito, A.; Reis, C.","1763","1995","12","06","Brazil","Santa Catarina","Urubici","Serra do Corvo Branco, Estrada Serra do Corvo Branco","-49.5917015075684","-28.0149993896484",NA,NA,"Subarbusto; ramos inicialmente eretos, posteriormente flexuosos; corola base estriada amarela, fauce amarela, limbo magenta.; Em barranco rochoso na beira da estrada.","MBM218698","MBM218698","30102","auto","Southern America",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:45:23-03","MBM","MBM","399902","PreservedSpecimen","Plantae",NA,"Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir","Lozano, E.D.",NA,"Lozano, E.D.; Engels, M.E.; Engels, M.E.","2273","2013","12","12","Brazil","Paraná","Guarapuava","Rodovia BR-277, sentido Candói","-51.999444","-25.534056","-51.999444","-25.534056","Subarbusto, 70 cm, flores lilases.; Campos de Guarapuava, campo úmido.","MBM399902","MBM399902",NA,NA,"Southern America","2015",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:45:23-03","MBM","MBM","399907","PreservedSpecimen","Plantae",NA,"Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir","Lozano, E.D.",NA,"Lozano, E.D.; Engels, M.E.; Engels, M.E.","2300","2013","12","12","Brazil","Paraná","Candói","Fazenda Capão Redondo","-51.803222","-25.423556","-51.803222","-25.423556","Subarbusto, 50 cm, flores lilases.; Campos de Guarapuava, campo úmido.","MBM399907","MBM399907",NA,NA,"Southern America","2015",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:45:23-03","MBM","MBM","400139","PreservedSpecimen","Plantae",NA,"Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir","Lozano, E.D.",NA,"Motta, J.T.; Silva, J.M.; Silva, J.M.","4438","2014","11","22","Brazil","Paraná","Coronel Domingos Soares","São João","-52.040083","-26.194222","-52.040083","-26.194222","Subarbusto; flor vinosa com o interior do tubo amarelo.; Em campo na borda da mata; Floresta Ombrófila Mista.","MBM400139","MBM400139",NA,NA,"Southern America","2015","03","1045","1045",NA,NA,NA
"10","2020-12-11 11:41:42-03","UFMG","BHCB","104868","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Fregonezi, J","s.n.","2006","11","30","Brasil","Santa Catarina","Urubici","Estrada Urubici- Serra do Corvo Branco, ponto 28","-49.406647","-28.042331","-49.406647","-28.042331",NA,"BHCB022979",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
