"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","typeStatus","class","fieldNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","coordinatePrecision","geoFlag","infraspecificEpithet","relatedCatalogItem","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1183878","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.","A. C. Brade","A. C. Brade","19403","1948","08","31","South America","Brazil","Espírito Santo","Cachoeira de Itapemirim - Faz. St. Antonio Pedra Branca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457645' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183878","NY01183878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","454033","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.","L. B. Smith; D. C. Wasshausen","M. A. P. Neuwied",NA,NA,NA,NA,"South America","Brazil","Bahia","A.B. Rio Belmonte?","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454033","NY00454033_01 NY00454033_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","454032","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.","L. B. Smith; D. C. Wasshausen","R. P. Belém","2629","1966","09","22","South America","Brazil","Bahia","Rodovia, BR 5, 10 km S. Eunápolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454032","NY00454032_01","Porto Seguro","-39.574555","-16.440974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:37:18-03","EAO","IAN","34251","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN034251","IAN034251_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:37:48-02","BGBM","B","B 10 0243073","S","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.",NA,"F. Sellow",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243073 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243073","B100243073",NA,NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:37:48-02","BGBM","B","B 10 0243075","S","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.",NA,"C. F. P. Martius ?","Herb. Mart. 928",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,"Martii Herbar. Florae. Brasil. No. 928; additional number on second label: 927 <a href=http://herbarium.bgbm.org/object/B100243075 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243075","B100243075",NA,NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:37:48-02","BGBM","B","B 10 0243074","S","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.",NA,"F. Sellow",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243074 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243074","B100243074",NA,NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2014-10-14 15:56:29-03","BS","M","M-0145729","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,"M0145729",NA,NA,NA,NA,"SYNTYPE","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-05 11:02:43-03","MNHN","RECOLNAT_MNHN_P","P05495322","PreservedSpecimen",NA,NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.",NA,"Martius",NA,NA,NA,NA,NA,"Brasil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05495322' target='other'> <mi>dwc_moreinfo</mi></a>","P05495322","P05495322_01",NA,NA,NA,NA,NA,"928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","25404",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A. DC.","L. Kollmann/28-07-2011","L. Kollmann; et al","8383","2005","10","21",NA,"Brasil","Espírito Santo","Rio Saltinho",NA,"Liana escandente 3m na meia sombra, flores brancas, caule marrom avermelhada. Estipula verde, base do pecíolo vermelho, folhas verdes.","MBML025404","MBML025404_1 MBML025404_2 MBML025404_3","Santa Teresa","-40.506944","-19.936111",NA,NA,NA,"40W30'25","19S56'10",NA,NA,NA,NA,NA,NA,NA,NA,NA
