"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","relationshipType","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1013996","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","pinifolia","Ipomoea pinifolia","Meisn.","R. Simão-Bianchini","H. S. Irwin","24889","1969","03","22","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 12 km south of Alto Paraíso (formerly Veadeiros)","-47.5167","-14.22516","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106993' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013996","NY01013996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00749164","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","pinifolia","Ipomoea pinifolia","Meisn.","R. Simão-Bianchini","H. S. Irwin","34852","1972","01","23","South America","Brazil","Goiás","Niquelândia","ca. 8 km S. of Niquelândia","-48.45","-14.5223","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=889093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749164","NY00749164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00749188","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","pinifolia","Ipomoea pinifolia","Meisn.","D. F. Austin","H. S. Irwin","18552","1968","01","13","South America","Brazil","Goiás","Cocalzinho de Goiás","25 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=889089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749188","NY00749188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1014012","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","pinifolia","Ipomoea pinifolia","Meisn.","J. I. de A. Falcao","G. G. Hatschbach","32025","1973","05","17","South America","Brazil","Mato Grosso","Cuiabá","S. José da Serra.","-56.0967","-15.5961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107010' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014012","NY01014012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1014013","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","pinifolia","Ipomoea pinifolia","Meisn.","R. Simão-Bianchini","G. G. Hatschbach","59620","1993","06","16","South America","Brazil","Goiás","Niquelândia","Rodovia para Colinas do Sul, próximo ao trevo para Moquém.","-48.4594","-14.4742",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107007' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014013","NY01014013_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1014005","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","pinifolia","Ipomoea pinifolia","Meisn.","D. F. Austin","H. S. Irwin","14438","1966","04","06","South America","Brazil","Goiás","Posse","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107002' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014005","NY01014005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1013997","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","pinifolia","Ipomoea pinifolia","Meisn.","R. Simão-Bianchini","H. S. Irwin","33104","1971","03","24","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 40 km N of Alto Paraíso","-47.5167","-13.75517","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013997","NY01013997_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1014000","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","pinifolia","Ipomoea pinifolia","Meisn.","D. F. Austin","H. S. Irwin","9551","1965","10","26","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagém, ca. 15 km N.E. of Brasília","-47.81771","-15.68745","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106997' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014000","NY01014000_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1014004","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","pinifolia","Ipomoea pinifolia","Meisn.","D. F. Austin","H. S. Irwin","11848","1966","01","20","South America","Brazil","Goiás","Goiás","Serra Dourada, 20 km S.E. of Goiás Velho","-50.00111111","-16.0611","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107001' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014004","NY01014004_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1013998","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","pinifolia","Ipomoea pinifolia","Meisn.","R. Simão-Bianchini","H. S. Irwin","33149","1971","03","25","South America","Brazil","Goiás","Teresina de Goiás","Chapada dos Veadeiros, ca. 42 km N of Alto do Paraíso","-47.5167","-13.73709","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106995' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013998","NY01013998_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
