"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex","typeStatus"
"1","2020-09-23 10:40:19-03","E","E","219587","PreservedSpecimen","Plantae","Leguminosae","Abarema","cochliacarpos","Abarema cochliacarpos","Harley, R.M.","22990","1980","06","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:229848","<a href=http://data.rbge.org.uk/herb/E00219587 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00219587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","390988","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","O. X. B. Machado",NA,"1947","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390988","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Rio de Janeiro","Rio de Janeiro","Chacara Guimaraes, Leblon","-43.2075","-22.9031","NY00390988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","390987","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","L. Riedel",NA,"1824",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390987","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,"Brasilia",NA,NA,"NY00390987_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01018182","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","L. C. d. S. Giordano","2059","1995","09","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018182","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","J. A. Kallunki","Rio de Janeiro","Paratí","Trindade. Praia de Caixa d'Aço.","-44.7131","-23.2181","NY01018182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","390973","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","E. Pereira","10112","1965","09","29","South America","Brazil","sheet",NA,"Duarte collection number 9202 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390973","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Bahia","Morro do Chapéu","Morro do Chapéu","-41.1558","-11.5503","NY00390973_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","498258","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","A. M. Amorim","2750","1999","04","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498258","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby","Bahia","Itiruçu","Rod. Itiruçu/Maracás, ca. 10 km de Maracás. Ramal que dá acesso a formaçoes rochossas de granito","-40.1503","-13.5319","NY00498258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","390972","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","G. G. Hatschbach","48345","1984","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390972","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Bahia","Andaraí","Rio Apiaba","-41.33","-12.8","NY00390972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","390986","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","L. Riedel","443","1832","06","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390986","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Rio de Janeiro","Rio de Janeiro","Brasilia, in collibus Rio Janeiro","-43.448386","-22.913514","NY00390986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","390981","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","J. I. de A. Falcao","1188","1954","09","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390981","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Alagoas","Maceió","Sao Gonçalo, Maceió","-35.7353","-9.6658","NY00390981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00390977","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","W. Hoehne","SPF13156","1946","05","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1610384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390977","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","São Paulo","Sao Paulo","Horto Faculdade Farmácia Capital de Sao Paulo","-46.63","-23.54","NY00390977_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00749673","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","J. G. Jardim","2528","2000","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=360314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749673","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","G. P. Lewis","Bahia","Lençóis","Chapada Diamantina. Vertente E do Morro do Pai Inácio","-41.3897","-12.5633","NY00749673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","390995","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","H. S. Irwin","32557","1971","02","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390995","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Bahia","Morro do Chapéu","Serra do Tombador. Ca. 5km S. of town of Morro do Chapeu, near base of Morro do Chapeu","-41.1558","-11.5503","NY00390995_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","390983","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","R. P. Belém","3004","1967","01","06","South America","Brazil","sheet",NA,"Col. madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390983","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Bahia","Itacaré",NA,"-38.9967","-14.2778","NY00390983_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","390994","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","S. A. Mori","10044","1978","04","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270670' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390994","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Bahia","Maracás","13 a 22km ao S de Maracás, pela antiga rod. para Jequié. Folha SD-24 (14-40a)","-40.4306","-13.4411","NY00390994_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01096498","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","R. M. Harley","22990","1980","06","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238601' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096498","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","G. P. Lewis","Bahia","Morro do Chapéu","Ca. 4 km SW of the town of Morro do Chapéu on the road to Utinga. D6","-41.18","-11.58","NY01096498_01","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","390991","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","G. G. Hatschbach","44195","1981","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390991","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Bahia","Seabra","Rod. BR-242; 10km O de Seabra","-41.7703","-12.4186","NY00390991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","390989","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","A. Euponino","344","1973","10","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390989","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Bahia","Porto Seguro","Km 10 a 15 da BR 367 Porto Seguro para Eunapolis","-39.1638","-16.4194","NY00390989_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","390992","PreservedSpecimen","Plantae","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","S. A. Mori","13006","1979","11","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390992","Magnoliophyta","Fabales","(Gomes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Bahia","Porto Seguro","BR 367-, a 12km a W de Porto Seguro","-39.0644","-16.4497","NY00390992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
