"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","393850","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum.","W. Hoehne","1944","05","04","South America","Brazil","São Paulo","Sao Paulo","Horto da Fac. de Farmacia","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393850","NY00393850_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","777004","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum.","G. L. Esteves","2000","10","20","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Estrada da Petrobrás","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777004","NY00777004_01","G. L. Esteves","2760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:43:41-03","EAO","IAN","30760","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum.","Glaziou, AFM",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN030760",NA,NA,"15837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:59:15-03","NBC","NL-BOTANY","U.1363696","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum.","Krapovickas A","1968","05","29","Southern America","Brazil","Paraná",NA,"Brasil, Parana. Rio Saltinho, estrada Curitiba-Sao Paulo, km 339 (BR 116).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1363696 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1363696","NL-U1363696","Krapovickas A",NA,"Magnoliopsidae","U 0246930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:12:48-03","ESALQ","ESA","84198","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum.","Krapovickas, A.","1968","05","29",NA,"Brasil","São Paulo","BR-116, Km 300",NA,NA,NA,NA,NA,"ESA084198","ESA084198","Krapovickas, A.","14360.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:12:48-03","ESALQ","ESA","84199","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum.","Krapovickas, A.","1968","05","29",NA,"Brasil","Paraná","Rio Saltinho",NA,NA,NA,NA,NA,"ESA084199","ESA084199","Krapovickas, A.","14369.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0035441","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum.","A. Krapovickas; C. L. Cristóbal, V. Maruñak","1973","11","15",NA,"Brazil","Parana",NA,"50 km N de Bocaiuva do Sul (BR-373).","-49.1333","-25.1833",NA,"Arbusto de altura, flor blanco-crema.",NA,NA,"A. Krapovickas","373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:38:48-03","UFJF","CESJ","43008","PreservedSpecimen","Plantae","Angiosperma",NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum","A. Krapovickas","1968","05","29","América do Sul","Brasil","Paraná","Rio Saltinho","estrada Curitiba-São Paulo, Km 339(BR 116)",NA,NA,NA,"Arbusto 2m alt.","CESJ043008",NA,"A. Krapovickas","s.n.",NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:33:32-03","UNICAMP","UEC","109174","S","Plantae","Magnoliopsida",NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum.","Souza, LRM; et al.","1998","07","23",NA,"Brazil","Paraná","Castro","Br Castro-Carambeí","-50.0119018554688","-24.7910995483398",NA,"Arbusto 3,5m alt. Botões florais verdes e flores brancas.",NA,NA,"Takeuchi, C","s.n.",NA,NA,"2009","05","12","50779","auto",NA,NA,NA,NA,NA,NA
"10","2020-10-14 10:02:35-03","FURB","FURB","18130","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum. ex C. Takeuchi & G.L. Esteves","Korte, A.; Kniess, A.","2009","12","03",NA,"Brasil","Santa Catarina","Ituporanga","Alto Rio Bonito.","-49.4105556","-27.54",NA,"Florística IFFSC 344 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbustiva; flor vermelha","FURB28444","FURB28444","Grings, M.","1308",NA,NA,"2019","09","10",NA,NA,"-49.4105556","-27.5400000","676","676",NA,NA
