"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","coordinatePrecision","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","477405","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","Planch. & Triana","G. Martinelli","10443","1984","01","01","South America","Brazil","Rio de Janeiro","Magé","III° Distrito, Paraiso, Centro de Primatologia do RJ, entre o Centro de PRimat. e represa; Quadrat IV","-43.0406","-22.6531","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1018177","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","Planch. & Triana","C. M. Vieira","581","1994","05","24","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, margem do rio Pau Preto.","-42.3917","-22.6508",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249591' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1015056","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","Planch. & Triana","R. R. Guedes","2290","1993","02","04","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, Trilha do Morro do Calcario, ponto 900.","-42.3917","-22.6508","5","5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099256' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1551293","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","Planch. & Triana","B. Maguire","44550","1959","12","06","South America","Brazil","São Paulo","Bertioga","Biological Station at Paranapiacaba","-46.138599395752","-23.8544006347656","792.5","853.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1042430' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551293","V. Bittrich","37616","NY01551293_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG3632","S","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata",NA,NA,NA,"2010",NA,NA,NA,"Brasil","Minas Gerais",NA,"Serra do Gandarela - Município de Santa Bárbara",NA,NA,NA,NA,NA,"Florística e Fitossociologia para ampliação de mina de dolomito calcário. Doação Bioma.",NA,"F.S. Souza",NA,NA,NA,"2012","04",NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:29:06-03","UNESP-IBB","BOTU","31529","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Ferreira, M.I.","37","2006","10","10",NA,"Brasil","São Paulo","Pindamonhangaba",NA,NA,NA,NA,NA,NA,NA,"BOTU031529","Bittrich, V.",NA,NA,NA,"2007","02","10","9999","9999",NA,NA,NA,NA
"7","2021-02-18 09:29:06-03","UNESP-IBB","BOTU","28668","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Braga, J.M.A.","3145","1995","12","20",NA,"Brasil","Rio de Janeiro","Rio de Janeiro (Guapimirim)","Granja monte olivete, trilha das Andorinhas",NA,NA,NA,NA,NA,"Árvore, ca., de 6m de altura,folhas c/ cálice verde e corola alva, crassa c/ bordo geralmente dilacerado e reflexo","BOTU028668","Vieira, C.M.",NA,NA,NA,"1996","02","23","9999","9999",NA,NA,NA,NA
"8","2021-02-08 11:07:52-03","UNESP-IBB","BOTU","28440","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Sá, B.","218","2012","07","22",NA,"Brasil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas","-42.416667","-22.833333",NA,NA,NA,"Indivíduo masculino, arvoreta ca 4m, folhas elípticas, botões e flores estaminados, sépalas verde-claro, pétalas branco-esverdeadas, estames amarelos","BOTU028440",NA,NA,NA,NA,NA,NA,NA,"42°25'w","22°50's",NA,NA,NA,NA
"9","2021-02-08 11:07:52-03","UNESP-IBB","BOTU","28439","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Sá, B.","219","2010","07","22",NA,"Brasil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas","-42.416667","-22.833333",NA,NA,NA,"Indivíduo feminino, arvoreta ca 3m, folhas elípticas, verdes-escuro, frutos e flores pitiladas, sépalas verde-claro, pétalas branco-esverdeadas, gineceu branco-amarelado","BOTU028439",NA,NA,NA,NA,NA,NA,NA,"42°25'w","22°50's",NA,NA,NA,NA
"10","2020-11-13 09:19:22-03","UFRJ","RFA","25076","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","A. Quinet","(488) 17/28","2000","08","18",NA,"Brasil","Rio de Janeiro","Nova Friburgo","5º distrito","-43.45","-22.3675","600","600",NA,"Árvore 15 m de altura, 76 cm de DAP. Folha verde, discolor, comum no local","RFA36086","C.M. Vieira",NA,NA,NA,"2000","08","28","43º26'60''W","22º22'3''S",NA,NA,NA,NA
