"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","typeStatus","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00859092","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","hatschbachii","Banisteriopsis hatschbachii","B.Gates","B. Gates","W. R. Anderson","11493","1975","02","20","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, 15-40 km W and N of Alto Paraíso","-47.4581","-13.7975","1250","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859092","NY00859092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00859095","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","hatschbachii","Banisteriopsis hatschbachii","B.Gates","B. Gates","H. S. Irwin","12419","1966","02","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859095","NY00859095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00859096","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","hatschbachii","Banisteriopsis hatschbachii","B.Gates","B. Gates","H. S. Irwin","24752","1969","03","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 16 km south of Alto Paraíso (formerly Veadeiros)","-47.5167","-14.26131","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859096","NY00859096_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00859094","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","hatschbachii","Banisteriopsis hatschbachii","B.Gates","B. Gates","G. F. Estabrook","13","1978","02","02","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros. In sheltered clearing 250 m above power dam 2 1/2 kilometers east of Alto Paraíso.","-47.5","-14",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859094","NY00859094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00859093","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","hatschbachii","Banisteriopsis hatschbachii","B.Gates","B. Gates","G. M. Barroso","608",NA,NA,NA,"South America","Brazil","Goiás",NA,"Chapada dos Veadeiros.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859093","NY00859093_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:54:40-03","NBC","NL-BOTANY","U.1371486","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Banisteriopsis","hatschbachii","Banisteriopsis hatschbachii","B.Gates",NA,"Anderson WR; Hatschbach GG; Barneby RC; Gates B",NA,"1975","02","20","Southern America","Brazil",NA,NA,"Plants of Brazil, Goiás. Chapada dos Veadeiros, 15-40 km W and N of Alto Paraiso.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1371486 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1371486","NL-U1371486","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:54:40-03","NBC","NL-BOTANY","U.1371487","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Banisteriopsis","hatschbachii","Banisteriopsis hatschbachii","B.Gates",NA,"Irwin HS; Reis dos Santos R; Sousa R; Fonseca SF da",NA,"1969","03","20","Southern America","Brazil",NA,NA,"Plansts of the Planalto do Brasil, Estado de Goiás, Chapada dos Veadeiros, Hilly campo ca. 16km south of Alto do Paraíso (formerly Veadeiros).",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1371487 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1371487","NL-U1371487","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:32:28-03","MBM","MBM","138625","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","hatschbachii","Banisteriopsis hatschbachii","B. Gates","Gates, B.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","54784",NA,NA,NA,"Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional Chapada dos Vedeiros, entre São Jorge e Rio Preto","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"MBM138625","MBM138625",NA,"44724","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:32:28-03","MBM","MBM","35000","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","hatschbachii","Banisteriopsis hatschbachii","B. Gates","Gates, B.","Hatschbach, G.","36745","1975","05","23","Southern America","Brazil","Goiás","Alto Paraíso","Rod. GO 12",NA,NA,NA,NA,NA,"Ramos levemente inclinados, de 1,20m. Flor rosada, campo; Ramos levemente inclinados, de 1,20m, flor rosada.; Campo.","MBM035000","MBM035000",NA,NA,NA,"1982","HOLOTYPE",NA,NA,NA,NA
"10","2020-12-21 16:32:28-03","MBM","MBM","35681","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","hatschbachii","Banisteriopsis hatschbachii","B. Gates","Gates, B.","Anderson, W.R.","11493",NA,NA,NA,"Southern America","Brazil","Goiás","Alto Paraíso","15-40km W and N of Alto Paraíso, Chapada dos Vedeiros",NA,NA,NA,NA,NA,NA,"MBM035681","MBM035681",NA,NA,NA,NA,NA,NA,NA,NA,NA
