"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","class","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","7815","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","T. B. Guimarães","T. B. Guimarães; Daniel de Barcelos Falkenberg","938","2005","02","21","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de Santa Catarina, muito próximo a Av. das Rendeiras.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: baixada eventualmente alagada, entre dunas na restinga","CRI002028","CRI002028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:10-03","UNESC","CRI","5124","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","R. Trevisan","Vanilde C. Zanette; Valdemar P. Boff","2277","1996","11","07","Brasil","Santa Catarina","Capivari de Baixo","Estiva dos Pregos.","-48.958056","-28.445278","48º57'29''W","28º26'43''S",NA,NA,"Habitat: solo turfoso e úmido","CRI002029","CRI002029","2010","10","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 15:18:00-03","NY","NYBG","636918","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana",NA,"H. K. Svenson","R. S. Williams","909","1902","02","20","Bolivia",NA,NA,"Apolo.","-68.41692","-14.720389",NA,NA,"1463.0","1463.0","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636918",NA,NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","622430","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","L. B. Smith; S. F. Smith","G. G. Hatschbach","14343","1966","05","01","Brazil","Paraná","Sao Carlos do Ivai","Rio Ivai.","-52.483353","-23.390951",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622430","NY00622430_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-03-23 11:03:00-03","NY","NYBG","00925700","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana",NA,"H. K. Svenson","P. Clausen","1025",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925700","NY00925700_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-04-12 08:35:00-03","NY","NYBG","00925701","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana",NA,"S. J. Mayo","A. M. Giulietti","7348","1981","06","30","Brazil","Minas Gerais","Santana do Riacho","Km 121 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7142","-19.1692",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925701","NY00925701_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00925702","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","S. González","H. S. Irwin","29579","1971","02","01","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Steep rocky lower slopes of Pico de Itacolomí, ca. 3 km S. of Ouro Preto","-43.473094","-20.427823",NA,NA,"1650","1650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925702","NY00925702_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","622428","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","M. Barros","R. Reitz","2444","1956","01","19","Brazil","Santa Catarina",NA,"Piloes, Palhoça.","-48.694057","-27.77489",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622428","NY00622428_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","622433","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"E. C. Soares","5672","1921","01","09","Brazil","São Paulo",NA,"Villa Cerq.Cesar, S.Paulo.","-49.16475","-23.034334",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622433","NY00622433_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","622429","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","C. F. S. Muniz","R. Kummrow","1607","1981","12","22","Brazil","Paraná","Piraquara","Purgatorio.","-49.0631","-25.4419",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622429",NA,NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
