"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","class","order","continentOcean","individualCount","typeStatus","coordinatePrecision","geoFlag"
"1","2019-12-12 15:31:50-03","UFABC","HUFABC","001007","PreservedSpecimen","Plantae","Angiospermas","Rubiaceae","Rudgea","parvifolia","Rudgea parvifolia","(Cham.) Müll.Arg.","Bruniera, C P","Bruniera, C P; Lobão, A Q; Santos, M F","397","2011","09","24","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para a, Floresta montana.","-43.008056","-22.446889","-43.008056","-22.446889","1336","1336","Doação do herbário SPFR.; Arbusto ramificado ca. 2m alt. Folhas cartáceas, discolores. Frutos imaturos verdes.","HUFABC001007","HUFABC001007",NA,NA,NA,NA,NA,NA,NA
"2","2019-12-12 15:31:50-03","UFABC","HUFABC","001008","PreservedSpecimen","Plantae","Angiospermas","Rubiaceae","Rudgea","parvifolia","Rudgea parvifolia","(Cham.) Müll.Arg.","Bruniera, C P","Bruniera, C P; Lobão, A Q; Santos, M F","379","2011","09","23","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Estrada que d, Floresta montana.","-42.998611","-22.454444","-42.998611","-22.454444","1166","1166","Arbusto ca. 1,5m alt. Folhas cartáceas, discolores. Fruto alvo.","HUFABC001008","HUFABC001008",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-12 15:31:50-03","UFABC","HUFABC","001020","PreservedSpecimen","Plantae","Angiospermas","Rubiaceae","Rudgea","parvifolia","Rudgea parvifolia","(Cham.) Müll.Arg.","Bruniera, C P","Bruniera, C P; Lobão, A Q; Santos, M F","398","2011","09","24","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para a, Floresta montana.","-43.012667","-22.447222","-43.012667","-22.447222","1448","1448","Arbusto ramificado ca. 1,5m alt. Folhas cartáceas, discolores. Frutos maduros, alvos.","HUFABC001020","HUFABC001020",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-12 15:31:50-03","UFABC","HUFABC","001021","PreservedSpecimen","Plantae","Angiospermas","Rubiaceae","Rudgea","parvifolia","Rudgea parvifolia","(Cham.) Müll.Arg.","Bruniera, C P","Bruniera, C P; Lobão, A Q; Santos, M F","400","2011","09","24","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para a, Floresta montana.","-43.012944","-22.447889","-43.012944","-22.447889","1469","1469","Arbusto ca. 1,6m alt. Folhas cartáceas, discolores. Botões esverdeados.","HUFABC001021","HUFABC001021",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:28:05-03","NBC","NL-BOTANY","U.1580605","PreservedSpecimen","Plantae",NA,"Rubiaceae","Rudgea","parvifolia","Rudgea parvifolia","(Cham.) Müll.Arg.",NA,"Lindeman JC; Barcia J",NA,"1971","07","23","Brazil",NA,NA,"Serra dosOrgaos, RJ vale do Rio Jaco acima de Itaipava.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1580605 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1580605","NL-U1580605","Magnoliopsidae","Gentianales","Southern America",NA,NA,NA,NA
"6","2021-01-14 15:33:24-03","MN","R","10452","PreservedSpecimen","Plantae",NA,"Rubiaceae","Rudgea","parvifolia","Rudgea parvifolia","Müll. Arg.",NA,"Glaziou, A.F.M.","14902","1884","02","22","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000010452","R000010452_001",NA,NA,NA,NA,NA,NA,NA
"7","2017-07-05 16:19:00-03","MO","MOBOT","100986178","PreservedSpecimen","Plantae",NA,"Rubiaceae","Rudgea","parvifolia","Rudgea parvifolia","(Cham.) Müll. Arg.","C.P. Bruniera","C.P. Bruniera|Adriana Lobão|Matheus F. Santos","Bruniera 398","2011","9","24","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para a Pedra do Sino.","-43.0127778","-22.4472222",NA,NA,"1448.00000000",NA,NA,NA,NA,NA,NA,"South America","1",NA,NA,NA
"8","2017-07-05 16:21:00-03","MO","MOBOT","100986179","PreservedSpecimen","Plantae",NA,"Rubiaceae","Rudgea","parvifolia","Rudgea parvifolia","(Cham.) Müll. Arg.","C.P. Bruniera","C.P. Bruniera|Adriana Lobão|Matheus F. Santos","Bruniera 400","2011","9","24","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para a Pedra do Sino.","-43.0130556","-22.4477777",NA,NA,"1469.00000000",NA,NA,NA,NA,NA,NA,"South America","1",NA,NA,NA
"9","2020-07-10 09:49:12-03","MBML","MBML-HERBARIO","19541",NA,"Plantae",NA,"Rubiaceae","Rudgea","aff. parvifolia","Rudgea aff. parvifolia","(Cham.) Müll. Arg.","Daniela Zappi/Set.-2009","R.R. Vervloet; et al","1711","2003","01","22","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,NA,"Arbustinho com 4cm, flores brancas, beira de córrego, fundo de vale, dossel 15m.","MBML019541",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:49:12-03","MBML","MBML-HERBARIO","23531",NA,"Plantae",NA,"Rubiaceae","Rudgea","aff. parvifolia","Rudgea aff. parvifolia","(Cham.) Müll. Arg.","Daniela Zappi/Set.-2009","L. Kollmann; et al","7366","2005","02",NA,"Brasil","Espírito Santo","Santa Teresa","Lombardia","-40.553056","-19.820556","40W33'11","19S49'14",NA,NA,"Arbusto 1,5m. Na sombra, na beira d'agua.","MBML023531",NA,NA,NA,NA,NA,NA,NA,NA
