"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","763460","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","R. M. Harley","15203","1974","01","17","South America","Brazil","Bahia","12-14km. North of Town of Rio de Contas, on the road to Mato Grosso","-41.83","-13.47","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763460","NY00763460_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1100017","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","W. A. Rodrigues","8555","1968","09","15","South America","Brazil","Amazonas","Estrada Manaus-Caracaraí, Km 3. Abundante na margem de estrada de solo arenoso, junto de um roçado.","-60.033347","-2.9538868",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401335' target='other'> <mi>dwc_moreinfo</mi></a>","NY01100017","NY01100017_01","W. A. Rodrigues","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 01:36:00-03","NY","NYBG","1601208","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis",NA,"W. E. Broadway","4535","1913","06","26","South America","Trinidad and Tobago",NA,"Tobago. Louis d'or near the river.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1901247' target='other'> <mi>dwc_moreinfo</mi></a>","NY01601208","NY01601208_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","763464","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. Eiten","2658","1961","04","18","South America","Brazil","São Paulo","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 8.5 km. NNE of Padua Sales. (About 27 km. NW of city of Moji-Mirim.)",NA,NA,"575","625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763464","NY00763464_01","G. Eiten","Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00862116","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","H. S. Irwin","11275","1965","12","14","South America","Brazil","Distrito Federal","25 km N. of Brasília","-47.9167","-15.55738","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862116","NY00862116_01","G. Davidse","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","763465","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. Eiten","1552","1959","12","10","South America","Brazil","São Paulo","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. ~7 km. NNW of Padua Sales. (About 27 km. NW of city of Moji-Mirim.). 3 km. N of river","-47.142","-22.242","575","625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763465","NY00763465_01","J. R. Swallen","Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","763467","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","A. F. M. Glaziou","3607",NA,NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763467","NY00763467_01","J. E. Ebinger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00862142","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","J. M. Pires","1957","1950","05","24","South America","Brazil","Maranhão","Ilha dos Botes, a dúas leguas abaixo de Carolina, Rio Tocantins","-47.5408405","-7.2744409",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862142","NY00862142_01","E. J. Judziewicz","Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","763469","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","E. P. Killip","28867","1929","09","01","South America","Peru","Loreto","Santa Rosa, lower Río Huallaga below Yurimaguas","-76.179661","-5.754807","135","135","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1100016","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. Davidse","17692","1980","03","31","South America","Brazil","Pará","Ca. 9 km southeast of Vigia along highway (PA-140) to Belém.","-48.066667","-0.916667","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400238' target='other'> <mi>dwc_moreinfo</mi></a>","NY01100016","NY01100016_01",NA,"Vigía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
