"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","typeStatus","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-04-08 15:16:31-03","UNESC","CRI","2848","PreservedSpecimen","Plantae","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip ex Record","Burkat, A","1973","06","20","Reitz, R.","1962","12","21","Brasil","Santa Catarina","Capinzal","-51.607222","-27.348611","51º36'26''W","27º20'55''S","717","717","Árvores com flores brancas Habito: arbusto","CRI013782","CRI013782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","391377","PreservedSpecimen","Plantae","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","R. C. Barneby; J. W. Grimes",NA,NA,NA,"H. C. de Lima","1985","04","24","Brazil","Rio de Janeiro","Maricá","-42.8183","-22.9194",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391377","NY00391377_01","Magnoliophyta","Fabales","2585","South America","Barra de Maricá","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","391379","PreservedSpecimen","Plantae","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","R. C. Barneby; J. W. Grimes",NA,NA,NA,"P. Rosa","1934","01","08","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391379","NY00391379_01","Magnoliophyta","Fabales",NA,"South America","Horto Florestal, em frente ao bosque de sobragy","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00391383","PreservedSpecimen","Plantae","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","R. C. Barneby; J. W. Grimes",NA,NA,NA,"S. A. Mori","1978","03","03","Brazil","Bahia","Itambé","-40.6242","-15.245",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391383","NY00391383_01","Magnoliophyta","Fabales","9374","South America","Rodovia BA-265, km 8 do trecho BR-415 (cruzamento)/Caatiba e a 15 km NW de Itapetinga em linha reta, prox. a Faz. Sao Joao.","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00917598","PreservedSpecimen","Plantae","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","R. C. Barneby; J. W. Grimes",NA,NA,NA,"G. G. Hatschbach","1966","04","18","Brazil","Minas Gerais","Monte Azul","-42.8744","-15.155",NA,NA,"1000","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917598","NY00917598_01","Magnoliophyta","Fabales","64987","South America","Serra do Espinhaço, subida via Montividiu.","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00391391","PreservedSpecimen","Plantae","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","R. C. Barneby; J. W. Grimes",NA,NA,NA,"R. P. Belém","1967","03","09","Brazil","Bahia","Jequié","-40.0833","-13.8578",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391391","NY00391391_01","Magnoliophyta","Fabales","3415","South America","Itajurú. Margem do Rio de Contas","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00391385","PreservedSpecimen","Plantae","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","R. C. Barneby; J. W. Grimes",NA,NA,NA,"S. A. Mori","1979","05","06","Brazil","Bahia","Jequié","-40.0833","-13.8578",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391385","NY00391385_01","Magnoliophyta","Fabales","11852","South America","Chacara Provisao, ca. de 4km a E de Jequie","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","391399","PreservedSpecimen","Plantae","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","R. C. Barneby",NA,NA,NA,"M. C. Tschá","1996","02","08","Brazil","Pernambuco","Bezerros","-35.8167","-8.2",NA,NA,"471","471","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391399","NY00391399_01","Magnoliophyta","Fabales","520","South America","Parque ecológico de Serra Negra","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00957894","PreservedSpecimen","Plantae","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","M. de L. Rico-Arce",NA,NA,NA,"L. V. Costa","1989","03","08","Brazil","Minas Gerais","Belo Horizonte","-43.9378","-19.9208",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1019026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957894","NY00957894_01","Magnoliophyta","Fabales","230","South America","Campus da UFMG, Pracinha Veterinária- ICB- Bandeijao","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00391401","PreservedSpecimen","Plantae","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","R. C. Barneby",NA,NA,NA,"L. R. Noblick","1984","11","21","Brazil","Bahia",NA,"-38.97","-12.25",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391401","NY00391401_01 NY00391401_02","Magnoliophyta","Fabales","2935","South America","Campus da UEFS. Feira de Santana","sheet",NA,NA,NA,NA,NA,NA,NA,NA
