"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-04-05 14:25:24-03","UNESC","CRI","9468","PreservedSpecimen","Plantae","Lauraceae","Ocotea","corymbosa","Ocotea corymbosa","(Meisn.) Mez","A. Quinet","2010","09","15","M. Verdi; N. L. de Souza e G. Klemz","3847","2010","03","09","Brasil","Santa Catarina","Rio Fortuna","Canyon Espraiado / Campo dos Padres.","-49.320556","-27.990556","49º19'14''W","27º59'26''S","1450","1450","Floresta Ombrófila Mista Habito: arbórea","CRI003620","CRI003620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:37-03","UNESC","CRI","9611","PreservedSpecimen","Plantae","Lauraceae","Ocotea","corymbosa","Ocotea corymbosa","(Meisn.) Mez","A. Quinet","2010","09","15","A. Stival-Santos; D. Meyer & S. Silveira","2607","2010","04","20","Brasil","Santa Catarina","Major Gercino",NA,"-49.14","-27.449722","49º8'24''W","27º26'59''S","554","554","Floresta Ombrófila Densa Habito: arbórea","CRI003621","CRI003621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:18-03","E","E","259498","PreservedSpecimen","Plantae","Lauraceae","Ocotea","corymbosa","Ocotea corymbosa",NA,NA,NA,NA,NA,"Bang, Miguel","1646",NA,NA,NA,"BO","Departamento La Paz",NA,"Tipuani-Guanai",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259498 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259498",NA,"unspecified kind of","W. Tropical South America","herbarium specimen of unspecif","BGBASE:271095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355335","PreservedSpecimen","Plantae","Lauraceae","Mespilodaphne","corymbosa","Mespilodaphne corymbosa","Meisn.",NA,NA,NA,NA,"P. Clausen","169","1837",NA,NA,"Brazil","Minas Gerais",NA,"Curvello et S. Francisco.",NA,NA,NA,NA,NA,NA,"Mounted with a fragment of Widgren 392, syntype, on same sheet. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355335","NY00355335_01","syntype","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","355356","PreservedSpecimen","Plantae","Lauraceae","Mespilodaphne","organensis","Mespilodaphne organensis","Meisn.",NA,NA,NA,NA,"G. Gardner","611","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=111518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355356","NY00355356_01","isotype","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","469455","PreservedSpecimen","Plantae","Lauraceae","Ocotea","corymbosa","Ocotea corymbosa","(Meisn.) Mez","J. G. Rohwer",NA,NA,NA,"R. Reitz","10569","1960","12","26","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, Sao José","-48.6272","-27.6156",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469455","NY00469455_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","469454","PreservedSpecimen","Plantae","Lauraceae","Ocotea","corymbosa","Ocotea corymbosa","(Meisn.) Mez","I. de Vattimo",NA,NA,NA,"R. Reitz","6275","1958","01","22","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca, Joinvile","-48.8456","-26.3044",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469454","NY00469454_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","469436","PreservedSpecimen","Plantae","Lauraceae","Ocotea","corymbosa","Ocotea corymbosa","(Meisn.) Mez","J. G. Rohwer",NA,NA,NA,"P. K. H. Dusén","17370","1915","11","30","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,"740","740","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469436","NY00469436_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00918323","PreservedSpecimen","Plantae","Lauraceae","Ocotea","corymbosa","Ocotea corymbosa","(Meisn.) Mez",NA,NA,NA,NA,"E. P. Heringer","2993","1979","12","27","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918323","NY00918323_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","469456","PreservedSpecimen","Plantae","Lauraceae","Ocotea","corymbosa","Ocotea corymbosa","(Meisn.) Mez","J. G. Rohwer",NA,NA,NA,"R. M. Klein","3177","1962","12","04","Brazil","Santa Catarina","Lajes","Alto da Serra, Encruzilhada, Lajes","-50.3258","-27.8161",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469456","NY00469456_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
