"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","coordinatePrecision","geoFlag","maximumElevationInMeters","yearIdentified","monthIdentified","fieldNumber","dayIdentified","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","02703879","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","T. N. da C. Vasconcelos","472","2014","11","02","South America","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estrada entre Monlevade e São Gonçalo do Rio Abaixo","-43.3228","-19.8392","765","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989182' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703879","NY02703879_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0009624","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawasaki","J. B. Baitello",NA,"1994",NA,NA,NA,"Brazil","Sao Paulo",NA,NA,NA,NA,NA,NA,"Arvore mediana, frutos claros esverdeados.",NA,NA,"L. R. Landrum","PARATYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-08-22 22:44:43-03","ASU","ASU-PLANTS","ASU0082743","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawasaki","Faria, J. E. Q.",NA,NA,NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Arvore ca. 5 m de altura, caule soltando placas de ritidoma, botao floral verde",NA,NA,"Faria, J. E. Q.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0019306","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawasaki","Arbocz, G. F.",NA,"1994",NA,NA,NA,"Brazil","Sao Paulo",NA,NA,NA,NA,NA,NA,"Isotype; scanned ASU specimen; Arvore ca. 7 m, flores brancas",NA,NA,"Landrum, L. R","ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0019305","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawasaki","Arbocz, G. F.",NA,"1994",NA,NA,NA,"Brazil","Sao Paulo",NA,NA,NA,NA,NA,NA,"Isotype; scanned ASU specimen; Arvore ca. 7 m, flores brancas",NA,NA,"Landrum, L. R","ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0009626","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawasaki","Franca, F.; E. Melo",NA,"2004",NA,NA,NA,"Brazil","Sao Paulo",NA,NA,NA,NA,NA,NA,"Arvore c. 5m. Folha cartacea discolor> face abaxial verde clara. Fruto imaturo verde.",NA,NA,"L.R Landrum, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0009625","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawasaki","R. Mello-Silva; J.R. Pirani, R. Simao-Bianchini, J.B. Fernandes, A.G. Ferreira.",NA,"1989",NA,NA,NA,"Brazil","Minas Gerais","Cristina",NA,"-45.2641983032227","-22.2119007110596",NA,NA,"Coor from www.fallingrain.com/world; Arvore 7m alto, no interior e orla da mata. Ritidoma avermelhado. Botoes com corola crème.",NA,NA,"L.R. Landrum, 2001.","PARATYPE","13513","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:40:03-03","UFJF","CESJ","41476","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","J.R. Stehmann; M. Sobral","3132","2002","09","13","América do Sul","Brasil","Minas Gerais","Camanducaia","estrada para Gonçalves","-46.1446990966797","-22.7553005218506","1000",NA,"árvore, em barranco na beira de estrada","CESJ041476",NA,NA,NA,"22140","auto","1000",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:40:03-03","UFJF","CESJ","45689","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","J.R. Stehmann; I.B. Castro","2996","2001","10","22","América do Sul","Brasil","Minas Gerais","Camanducaia","Estrada para São Mateus","-46.1446990966797","-22.7553005218506",NA,NA,NA,"CESJ045689",NA,"M. Sobral",NA,"22140","auto",NA,"2004",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:36:10-03","UNICAMP","UEC","11655","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Leitão Filho, HF","1867","1976","03","15",NA,"Brazil","Minas Gerais","Camanducaia","nativo em local úmido a 15km da Vila Monte Verde","-46.1446990966797","-22.7553005218506",NA,NA,"Arbusto ereto com até 1,5m; em frutificação.",NA,NA,"Ibrahim, M",NA,"22140","auto",NA,"2010","03",NA,NA,NA,NA,NA
