"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount","infraspecificEpithet","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","445588","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lindmaniana","Cuphea lindmaniana","Koehne ex Bacig.","A. Lourteig","R. M. Klein","3399","1962","12","06","South America","Brazil","Santa Catarina","Lebon Régis","Rio dos Patos, Lebon Regis","-50.691887","-26.968671","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445588","NY00445588_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","445589","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lindmaniana","Cuphea lindmaniana","Koehne ex Bacig.","A. Lourteig","L. B. Smith","13519","1964","12","04","South America","Brazil","Santa Catarina","Agua Doce","Fazenda Esperança, Campos de Palmas, 6 km south of Horizonte (Paraná)","-51.62","-26.63","1100","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445589","NY00445589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","445587","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","lindmaniana","Cuphea lindmaniana","Koehne ex Bacig.","A. Lourteig","A. C. Cervi","2942","1989","11","01","South America","Brazil","Paraná","Castro","Rio Iapó","-50.5","-24.28",NA,NA,"sheet","Cervi et alii <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445587","NY00445587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02341895","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","varia","Cuphea varia","Koehne ex Bacig.",NA,"S. A. T. Graham","932","1985","11","12","South America","Brazil","Paraná","Guarapuava","8 km W of Guarapuava and 2 km E of intersection to Entre Rios, Fazenda Noricun","-51.4581","-25.3956","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2527275' target='other'> <mi>dwc_moreinfo</mi></a>","NY02341895","NY02341895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","445754","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","varia","Cuphea varia","Koehne ex Bacig.","A. Lourteig","G. G. Hatschbach","22738","1969","10","29","South America","Brazil","Paraná","Sao José dos Pinhais","Rio Guamirim","-49.2064","-25.5347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=26318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445754","NY00445754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","445753","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","varia","Cuphea varia","Koehne ex Bacig.",NA,"J. C. Lindeman","3738","1966","12","28","South America","Brazil","Rio Grande do Sul","Vacaria","Ca. 10 km S. of Vacaria, 219 km N. of Pôrto Alegre","-50.9339","-28.5122","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=26321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445753","NY00445753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","445755","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","varia","Cuphea varia","Koehne ex Bacig.","A. Lourteig","L. B. Smith","14302","1965","01","05","South America","Brazil","Santa Catarina","Sao Joaquim","10 km south of Sao Joaquim","-49.93","-28.35","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=26319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445755","NY00445755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","445752","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","varia","Cuphea varia","Koehne ex Bacig.","S. A. T. Graham","S. A. T. Graham","932","1985","11","12","South America","Brazil","Paraná","Guarapuava","8 km W of Guarapuava and 2 km E of intersection to Entre Rios, Fazenda Noricun","-51.4581","-25.3956","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=26320' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:09-03","UFRJ","RFA","10782","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","lindmaniana","Cuphea lindmaniana","Koehne ex Bacig.","A. Lourteig","G.G. Hatschbach; E. Pereira (7989)","10601","1963","11","17",NA,"Brasil","Paraná","Guarapuava","Águas Santa Clara","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"RFA44197",NA,"1965","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:09-03","UFRJ","RFA","9634","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","varia","Cuphea varia","Koehne ex Bacig.","A. Lourteig","G.G. Hatschbach","22738","1969","10","29",NA,"Brasil","Paraná","São José dos Pinhais","Rio Guamirim","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Flor lilás, do brejo","RFA44155",NA,"1970","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
