"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","barcode","identifiedBy","yearIdentified","monthIdentified","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","dayIdentified","imagecode","typeStatus","fieldNumber","preparationType","class","sex"
"1","2021-04-08 17:38:21-03","EAO","IAN","73147","PreservedSpecimen","Plantae","Dicotiledônea","Euphorbiaceae","Croton","pseudo-populus","Croton pseudo-populus","Baill.","sc","IAN073147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:39:36-02","IPA","IPA","4170","S","Plantae","Plantae","Euphorbiaceae","Croton","pseudopopulus","Croton pseudopopulus","Baill.","Pickel, B.","IPA0004170","Killip.","1932","08","2346","1930","05","23","Southern America","Brasil","Pernambuco","São Lourenço da Mata","Tapera, Margem da mata do Triângulo.","-35.0182991027832","-8.00222015380859","21764","Arb. 3 m.","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:16:58-03","UFV","VIC","23815","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Croton","pseudopopulus","Croton pseudopopulus","Baill.","Mota, A.L.P.","VIC023815","Riina, R.","2013","11","2276","1994","11","01",NA,"Brasil","Minas Gerais","Uberlândia","Área 23 Vasco","-48.2771987915039","-18.9186000823975","58223","Casca interna rosa-salmão, alburno bege, exsudato aquoso presente. Botões florais esverdeados, flores brancas. CAP 36 cm; H 10 m.","auto","13","VIC023815",NA,NA,NA,NA,NA
"4","2020-12-20 21:16:58-03","UFV","VIC","23817","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Croton","pseudopopulus","Croton pseudopopulus","Baill.","Mota, A.L.P.","VIC023817","Bival, L.","2013","11","2291","1994","11","25",NA,"Brasil","Minas Gerais","Uberlândia","Área 23 Vasco, Mata Mesófila.","-48.2771987915039","-18.9186000823975","58223","Casca interna rosa salmão, alburno bege; presença de exsudato aquoso. Botões florais e flores. CAP 36 cm - H 10 m. Indivíduo 2557.","auto","13","VIC023817",NA,NA,NA,NA,NA
"5","2020-12-20 21:16:58-03","UFV","VIC","23816","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Croton","pseudopopulus","Croton pseudopopulus","Baill.","Mota, A.L.P.","VIC023816","Bival, L.","2013","11","2284","1994","11","16",NA,"Brasil","Minas Gerais","Uberlândia","Indianápolis","-48.2771987915039","-18.9186000823975","58223","Casca lisa bege, lenticelada; base do tronco sulcada; casca inerna rosa-vinosa; alburno bege com odor agradável. Flores brancas e botões florais.","auto","13","VIC023816",NA,NA,NA,NA,NA
"6","2020-12-20 21:16:58-03","UFV","VIC","14724","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Croton","pseudopopulus","Croton pseudopopulus","Baill.","Mota, A.L.P.; et al.","VIC014724","Riina, R.","2013","11","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"Triângulo Mineiro, Mata de Furnas.",NA,NA,NA,NA,NA,"13","VIC014724",NA,NA,NA,NA,NA
"7","2015-09-26 19:48:16-03","MNHN","RECOLNAT_MNHN_P","P00634612","PreservedSpecimen",NA,NA,"Euphorbiaceae","Croton","pseudo-populus","Croton pseudo-populus","Baill.","Saint-Hilaire, A. de","P00634612",NA,NA,NA,NA,"1816",NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00634612' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P00634612_01","isotype","B1 18","hb",NA,NA
"8","2018-01-04 12:01:20-02","MNHN","RECOLNAT_MNHN_P","P00634613","PreservedSpecimen",NA,NA,"Euphorbiaceae","Croton","pseudo-populus","Croton pseudo-populus","Baill.","Saint-Hilaire, A. de","P00634613",NA,NA,NA,NA,"1816",NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00634613' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P00634613_01","holotype","B1 18","hb",NA,NA
"9","2019-09-04 18:41:57-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Euphorbiaceae","Croton","pseudo-populus","Croton pseudo-populus",NA,"A. Saint-Hilaire",NA,NA,NA,NA,NA,"1816",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,"Dicotyledoneae",NA
"10","2019-07-09 13:26:18-03","F","FMNH-SEEDPLANTS","V0056186F","PreservedSpecimen","Plantae","Spermatophyta","Euphorbiaceae","Croton","pseudo-populus","Croton pseudo-populus",NA,"A. Saint-Hilaire","V0056186F",NA,NA,NA,"s.n.","1816",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0056186F_01","Type [status unknown]",NA,NA,"Dicotyledoneae",NA
