"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","stateProvince","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:06-03","UNESC","CRI","11234","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","A. L. de Gasper","A. Stival-Santos; S. Silveira","484","2009","03","09","Brasil","Brasil","Sargento.","-53.279167","-26.685556","53º16'45''W","26º41'8''S","352","352","Floresta Estacional Decidual","CRI006370","CRI006370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","13914","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","Alexandre Medeiros","Alexandre Medeiros","1001","2018","03","18","Brasil","Balneário Camboriú","Estaleiro APA Costa Brava","-48.585","-27.023333","48º35'6''W","27º1'24''S",NA,NA,"Flores brancas Habitat: Terrestre Habito: Trepadeira","CRI012525",NA,"2018","03","18","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:06-03","UNESC","CRI","10392","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","Marcos Sobral","Vanilde Citadini-Zanette; Robson dos Santos & Aurélio José de Aguiar",NA,"2000","10","31","Brasil","Governador Celso Ramos","Praia de Palmas.","-48.533333","-27.332778","48º32'0''W","27º19'58''S",NA,NA,"Habito: Arbustivo","CRI014219","CRI014219","2011",NA,NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","13326","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","Vanilde Citadini Zanette","Maria Eduarda Ferreira",NA,"2018","04","26","Brasil","Criciúma","Horto medicinal- UNESC","-49.373333","-28.6725","49º22'24''W","28º40'21''S",NA,NA,"Habitat: Terrestre Habito: Trepadeira","CRI011933","CRI011933","2018","04","26","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:06-03","UNESC","CRI","12249","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","Sobral, M","Stival-Santos, A; Silveira, S","435","2009","03","02","Brasil","Romelândia","Esperança.","-53.280556","-26.640556","53º16'50''W","26º38'26''S","559","559","Fruto amarela. Doação Herbário FURB (13019) Habito: Liana","CRI010431","CRI010431","2009","07","17","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:06-03","UNESC","CRI","3927","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","Jorge Waechter","J. A. Jarenkow; J. L. Waechter",NA,"1990","03","27","Brasil","Torres","Boa União.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","5","5",NA,"CRI006369","CRI006369","1990","03","27","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:06-03","UNESC","CRI","11466","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","M. Sobral","S. Dreveck; F.E. Carneiro","712","2009","03","07","Brasil","Coronel Freitas",NA,"-52.651389","-26.909167","52º39'5''W","26º54'33''S","430","430","Floresta Estacional Decidual Habitat: borda do fragmento Habito: liana","CRI006371","CRI006371","2009","07","17","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 10:06:00-03","NY","NYBG","645479","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata",NA,"T. R. van Andel","T. R. van Andel","1947","1997","10","08","Guyana",NA,"North West. Santa Rosa, Moruca River. Planted in Paul Daniels' yard",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645479","NY00645479_01",NA,NA,NA,NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645473","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.",NA,"L. A. Mattos Silva","3153","1995","07","27","Brazil","Ilhéus","Campus da Universidade Estadual de Santa Cruz (UESC), km 16 da Rod. Ilhéus/Itabuna (BR 415)","-39.17","-14.8",NA,NA,"40","40","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645473","NY00645473_01",NA,NA,NA,"Bahia","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3889960","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.",NA,"A. H. Gentry","19131","1977","04","10","Peru",NA,"Santa Eulalia, 40 km E. of Lima in valley of Ríp Rimac",NA,NA,NA,NA,"1100","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4181153' target='other'> <mi>dwc_moreinfo</mi></a>","NY03889960","NY03889960_01",NA,NA,NA,"Lima","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
