"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","475849","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.","W. R. Anderson","R. Kummrow","889","1975","02","14","South America","Brazil","Paraná","Colombo","Ressaca","-49.2242","-25.2919","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475849","NY00475849_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","475852","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.","S. F. Smith","R. A. Wasum","s.n.","1995","12","27","South America","Brazil","Rio Grande do Sul","Ipiranga do Sul","Ipiranga do Sul. BR 153","-52.4264","-27.9369","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475852","NY00475852_01","730","730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","475963","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.","A. M. Amorim","L. B. Smith","11065","1957","02","08","South America","Brazil","Santa Catarina","Curitibanos","21-22 km of Lebon Regis","-50.5842","-27.2831","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475963","NY00475963_01","700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","475847","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.","W. R. Anderson","G. G. Hatschbach","13219","1965","12","06","South America","Brazil","Paraná","Tibagi","Rod. do Café","-50.4133","-24.5094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475847","NY00475847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","475846","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.","W. R. Anderson","G. G. Hatschbach","13219","1965","12","06","South America","Brazil","Paraná","Tibagi","Rod. do Café","-50.4133","-24.5094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475846","NY00475846_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","475955","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.","A. M. Amorim","R. Reitz","17557","1965","12","13","South America","Brazil","Paraná","Ponta Grossa","Arenitos, Vila Velha, Ponta Grossa","-50.001697","-25.25301","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475955","NY00475955_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","475848","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.","W. R. Anderson","G. G. Hatschbach","38060","1976","02","11","South America","Brazil","Paraná","Tibagi","Rod. do Café","-50.4133","-24.5094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475848","NY00475848_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","475850","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.","W. R. Anderson","G. G. Hatschbach","41906","1978","12","05","South America","Brazil","Paraná","Bocaiúva do Sul","Bocaiuva do Sul, arredores","-48.888796","-25.118389","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475850","NY00475850_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","475851","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.","W. R. Anderson","T. M. Pedersen","10971","1975","02","05","South America","Brazil","Paraná","Guarapuava","Palmeirinha","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475851","NY00475851_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:47-03","UTFPR","DVPR","3154","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.","Barboza, E","Beltrami, L","s.n.","2008","01","26",NA,"Brasil","Santa Catarina","Balsa Nova","São Luiz do Purunã",NA,NA,NA,"Arbusto ca. 1 m, flores amarelas e frutos avermelhados.","DVPR003154",NA,NA,NA,"2014","08","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:55:16-03","NBC","NL-BOTANY","L.3925410","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Heteropterys","dusenii","Heteropterys dusenii","Nied.",NA,"Pedersen TM",NA,"1975","02","05","Southern America","Brazil",NA,NA,"Parana mun. Guarapuava: Palmeirinha.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3925410 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3925410","NL-L3925410",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
