"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","dayIdentified","identifiedBy","locality","coordinatePrecision","individualCount","geoFlag","recordNumber","continentOcean","preparationType","class","relatedCatalogItem","fieldNumber"
"1","2021-04-05 14:33:22-03","UNESC","CRI","2626","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","cruenta","Neoregelia cruenta","(R.Graham) L.B.Sm.","R. Reitz","1975","02","06","Brasil","Rio de Janeiro","Macaé","-41.787222","-22.371389","41º47'14''W","22º22'17''S","19","19","Habitat: restinga","CRI001973","CRI001973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1284","S","Plantae","Bromeliaceae","Neoregelia","cf. cruenta","Neoregelia cf. cruenta","(R.Graham) L.B.Sm.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2008","09","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","1306","S","Plantae","Bromeliaceae","Neoregelia","cruenta","Neoregelia cruenta","(R.Graham) L.B.Sm.","Carlos Alberto F. Jr.;","2009","11","01","Brasil","Rio de Janeiro","São Francisco de Itabapoana","-40.9613990783691","-21.3019008636475",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2009","11","04","Carlos A. Ferreira Jr.","Bairro do Sonho, terrenos baldios","48091","2","auto",NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","380","S","Plantae","Bromeliaceae","Neoregelia","cruenta","Neoregelia cruenta","(R.Graham) L.B.Sm.","Rafael de Oliveira; Jones Caldas da Silva","1996","09",NA,"Brasil","Rio de Janeiro","Macaé","-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2011","08",NA,"Elton. C. M. Leme",NA,"47209","1","auto","Oliveira6",NA,NA,NA,NA,NA
"5","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","1181","S","Plantae","Bromeliaceae","Neoregelia","cruenta","Neoregelia cruenta","(R.Graham) L.B.Sm.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2008","06","10",NA,NA,"57442","1","auto",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376816","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","cruenta","Neoregelia cruenta","(Graham) L.B.Sm.","L. B. Smith","1952","04","04","Brazil","Rio de Janeiro",NA,"-43.3469444","-23.0036111",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376816","NY00376816_01","Magnoliophyta","Poales",NA,NA,NA,"L. B. Smith","Distrito Federal: Praia de Sernambetiba (Recreio do Bandeirantes)",NA,NA,NA,"6828","South America","sheet",NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","376815","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","cruenta","Neoregelia cruenta","(Graham) L.B.Sm.","N. Santos","1964","05","10","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,"excursao 228 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376815","NY00376815_01","Magnoliophyta","Poales",NA,NA,NA,NA,"Est. da Guanabara. Recreio dos Bandeirantes, Lagoinha das Tachas",NA,NA,NA,"5545","South America","sheet",NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","376814","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","cruenta","Neoregelia cruenta","(Graham) L.B.Sm.","N. Santos","1964","05","10","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,"excursao 228 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376814","NY00376814_01","Magnoliophyta","Poales",NA,NA,NA,NA,"Est. da Guanabara. Recreio dos Bandeirantes, Lagoinha das Tachas",NA,NA,NA,"5545","South America","sheet",NA,NA,NA
"9","2021-02-18 09:29:02-03","UNESP-IBB","BOTU","9221","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","cruenta","Neoregelia cruenta","(Graham) L.B. Sm","Amaral Jr., A.","1972","12","15","Brasil","São Paulo","Guarujá",NA,NA,"9999","9999",NA,NA,"Epífita, heliófita, folhas verdes com manchas púrpura no àpice e limbo da folha, flores com pétalas brancas","BOTU009221",NA,NA,NA,"1973",NA,NA,"Pereira, E.","Praia de Iporanga",NA,NA,NA,"1316",NA,NA,NA,NA,NA
"10","2020-06-29 11:29:40-03","UFRJ","RFA","28621","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","cruenta","Neoregelia cruenta","(R.Graham) L.B.Sm.","A.M. Calvente; L.M. Versieux","2004","01","29","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Erva rupícola e heliófila. Folhas com a bainha vinácea, lâmina verde com máculas vináceas e ápice vináceo. Face adaxial lepidota. Inflorescência com brácteas do escapo verde claras e brácteas florais verdes. Flores com pedicelo e ovário","RFA52221",NA,NA,NA,"2004","04","20","L.M. Versieux","P.N.M. da Prainha. Morro da Boa Vista","57442",NA,"auto","84",NA,NA,NA,NA,NA
