"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00924565","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","cordistipula","Inga cordistipula","Mart.","G. M. Barroso","O. X. B. Machado","s.n.","1943","05","15","South America","Brazil","Distrito Federal","Brasília","Restinga de Mareopudi","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924565","NY00924565_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","408860","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","cordistipula","Inga cordistipula","Mart.","I. A. Rodrigues","J. P. P. Carauta","2854","1978","02","24","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parq. Nac. Tijuca, Pedra da Tijuca, Pedra da Gávea, entre a Praça da Bandeira e a Barra da Tijuca, Caminho das Furnas","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408860","NY00408860_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","408855","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","cordistipula","Inga cordistipula","Mart.","A. E. Burkart","L. B. Smith","6437","1952","04","08","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Pedra da Gavea","-43.284653","-22.997401","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408855","NY00408855_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1016270","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","cordistipula","Inga cordistipula","Mart.",NA,"L. Cardoso","164","2004","06","08","South America","Brazil","Rio de Janeiro",NA,"Recreio dos Bandeirantes, parque Natural Municipal da prainha, trilha de visitantes.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143768' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016270","NY01016270_01","20","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","408857","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","cordistipula","Inga cordistipula","Mart.","J. G. Kuhlmann","Pessoal do Horto Florestal","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408857","NY00408857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","408858","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","cordistipula","Inga cordistipula","Mart.","J. G. Kuhlmann","Pessoal do Horto Florestal","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408858","NY00408858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2274","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","cordistipula","Inga cordistipula","Mart.",NA,"C. F. P. von Martius","154(pro 150)",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"In Mte. Corcovado, prope Rio de Janeiro","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002274","NY00002274_01",NA,NA,"probable syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","408856","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","cordistipula","Inga cordistipula","Mart.",NA,"A. F. M. Glaziou","s.n.","1880",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408856","NY00408856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","408859","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","cordistipula","Inga cordistipula","Mart.","G. M. Barroso","A. P. Duarte","5452","1960","11","22","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Sacopa, Lagoa Rodrigo de Freitas","-43.207919","-22.973835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408859","NY00408859_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:39:54-03","EAO","IAN","110228","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","cordistipula","Inga cordistipula","Mart.","Kuhlmann, M","Kuhlmann, JG","41493","1939","10","25","Southern America","Brasil","Rio de Janeiro",NA,"Morro do Lacopan Reg. Rodrigo de frutas.",NA,NA,NA,"Arvore de 3-4 metros de altura, flores alvas; mata.","IAN110228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
