"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","502182","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","patentinervia","Psychotria patentinervia","Müll.Arg.","P. C. Standley","A. Gehrt","8225","1923","03","15","South America","Brazil","São Paulo","Cubatao","-46.4197","-23.89","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502182","NY00502182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","502181","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","patentinervia","Psychotria patentinervia","Müll.Arg.","C. M. Taylor","J. Bowie","28","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502181","NY00502181_01","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","779089","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","patentinervia","Psychotria patentinervia","Müll.Arg.","C. B. Costa","I. Cordeiro","2384","2000","11","22","South America","Brazil","São Paulo","Caraguatatuba","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=13284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779089","NY00779089_01","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha do Jequitibá","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","779086","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","patentinervia","Psychotria patentinervia","Müll.Arg.","C. B. Costa","F. O. Souza","18","2000","07","17","South America","Brazil","São Paulo","Caraguatatuba","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=13269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779086","NY00779086_01","Parque Estadual da Serra do Mar, Nucleo Caraguatatuba, Nova trilha dos Tropeiros.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","779088","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","patentinervia","Psychotria patentinervia","Müll.Arg.","C. B. Costa","I. Cordeiro","2286","2000","08","23","South America","Brazil","São Paulo","Caraguatatuba","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=13281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779088","NY00779088_01","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba.","130","130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","779087","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","patentinervia","Psychotria patentinervia","Müll.Arg.","C. B. Costa","I. Cordeiro","2379","2000","11","21","South America","Brazil","São Paulo","Caraguatatuba","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=13279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779087","NY00779087_01","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha dos Tropeiros.","140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-12 15:31:50-03","UFABC","HUFABC","000578","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Psychotria","fluminensis","Psychotria fluminensis","Vell.","Giaquinto C. B.","Bruniera, C P; Dutra, L L","917","2017","09","13",NA,"Brasil","São Paulo","Santo André","-46.291667","-23.770833",NA,"Arvoreta ca. 2,7m alt. Folhas cartáceas, discolores. Estéril.","HUFABC000578","HUFABC000578","Parque Natural Municipal Nascentes de Paranapiacab, Trilhas das Hortênsias. Floresta Ombrófila Densa. Vegetação secundária.",NA,NA,"2017","10","-46.291667","-23.770833",NA,NA,NA,NA,NA,NA
"8","2019-12-12 15:31:50-03","UFABC","HUFABC","000580","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Psychotria","fluminensis","Psychotria fluminensis","Vell.","Giaquinto C. B.","Bruniera, C P; Dutra, L L","919","2017","09","13",NA,"Brasil","São Paulo","Santo André","-46.291667","-23.770833",NA,"Árvore ca. 6m alt. DAP 6 cm. Folhas cartáceas, discolores. Frutos verdes, maduros azuis. FOTOS.","HUFABC000580","HUFABC000580","Parque Natural Municipal Nascentes de Paranapiacab, Trilhas das Hortênsias. Floresta Ombrófila Densa. Vegetação secundária.",NA,NA,"2017","10","-46.291667","-23.770833",NA,NA,NA,NA,NA,NA
"9","2019-12-12 15:31:50-03","UFABC","HUFABC","000581","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Psychotria","fluminensis","Psychotria fluminensis","Vell.","Giaquinto C. B.","Bruniera, C P; Dutra, L L","920","2017","09","13",NA,"Brasil","São Paulo","Santo André","-46.291667","-23.770833",NA,"Árvore ca. 5m alt. DAP 8 cm. Folhas cartáceas, discolores. Frutos verdes. VOUCHER para estudos moleculares.","HUFABC000581","HUFABC000581","Parque Natural Municipal Nascentes de Paranapiacab, Trilhas das Hortênsias. Floresta Ombrófila Densa. Vegetação secundária.",NA,NA,"2017","10","-46.291667","-23.770833",NA,NA,NA,NA,NA,NA
"10","2019-12-12 15:31:50-03","UFABC","HUFABC","000586","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Psychotria","fluminensis","Psychotria fluminensis","Vell.","Giaquinto C. B.","Bruniera, C P; Dutra, L L","925","2017","09","13",NA,"Brasil","São Paulo","Santo André","-46.291667","-23.770833",NA,"Árvore 5-6m alt., envergada. Inflorescência com raque verde. Frutos verdes, maduros negros. FOTOS.","HUFABC000586","HUFABC000586","Parque Natural Municipal Nascentes de Paranapiacab, Trilhas das Hortênsias. Floresta Ombrófila Densa. Vegetação secundária.",NA,NA,"2017","10","-46.291667","-23.770833",NA,NA,NA,NA,NA,NA
"11","2019-12-12 15:31:50-03","UFABC","HUFABC","000587","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Psychotria","fluminensis","Psychotria fluminensis","Vell.","Giaquinto C. B.","Bruniera, C P; Dutra, L L","926","2017","09","13",NA,"Brasil","São Paulo","Santo André","-46.291667","-23.770833",NA,"Árvore ca. 2m alt. Folhas cartáceo-coriáceas. Frutos verdes, maduros azuis. FOTOS.","HUFABC000587","HUFABC000587","Parque Natural Municipal Nascentes de Paranapiacab, Trilhas das Hortênsias. Floresta Ombrófila Densa. Vegetação secundária.",NA,NA,"2017","10","-46.291667","-23.770833",NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:18:55-03","ESALQ","ESA","68962","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Psychotria","patentinervia","Psychotria patentinervia","Müll. Arg.","Jung-Mendaçolli, S.L.","Franco, G.A.D.C.; Mendes, J.C.T.; Ferraz, K.M.B.; Ferraz, S.F.B.; Silva, E.V.; Valente, R.; Rocha, E.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","2939.0","2000","04","20",NA,"Brasil","São Paulo","São Sebastião","-45.6","-23.75",NA,"Árvore com 2 metros de altura, cálice","ESA068962","ESA068962","Parque Estadual da Serra do Mar - Trilha das cachoeiras do Ribeirão Itú. Floresta ombrófila densa aluvial, com perturbação. Borda da mata","190","190","2001","04","-45.6","-23.75","16",NA,NA,NA,NA,NA
"13","2020-11-04 11:18:55-03","ESALQ","ESA","128834","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Psychotria","patentinervia","Psychotria patentinervia",NA,"Ferreira, M.A.P.","Colletta, G.D.","1198.0","2013","06","14",NA,"Brasil","São Paulo","Ilhabela","-45.3499984741211","-23.7700004577637",NA,"Árvore, 5m, frutos imaturos verdes","ESA128834",NA,"Trilha de Castelhanos, antes do Pico",NA,NA,"2013",NA,NA,NA,NA,"23719","auto",NA,NA,NA
