"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00897002","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Banara","serrata","Banara serrata","(Vell.) Warb.","H. O. Sleumer","Y. E. J. Mexia","4395","1930","02","25","South America","Brazil","Minas Gerais","Agricultural College lands. Near W boundary.","-42.870618","-20.765845","670","670","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970095' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897002","NY00897002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","810620","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Banara","serrata","Banara serrata","(Vell.) Warb.","R. L. Liesner","W. W. Thomas","11339b","1996","11","14","South America","Brazil","Bahia","Parque Nacional Monte Pascoal. Along road from park entrance to nature/conference center.","-40.5747","-15.2647","150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810620","NY00810620_01","Porto Seguro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02674860","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Banara","serrata","Banara serrata","(Vell.) Warb.","D. Piotto","D. Piotto","2155","2010","06","10","South America","Brazil","Bahia","Parque Est. Serra do Conduru","-39.08","-14.42","120","300","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671188' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674860","NY02674860_01","Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00897001","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Banara","serrata","Banara serrata","(Vell.) Warb.","H. O. Sleumer","H. S. Irwin","2121","1958","11","20","South America","Brazil","Minas Gerais","State Agricultural School.","-42.868031","-20.7613428",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897001","NY00897001_01","Viçosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01023437","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Banara","serrata","Banara serrata","(Vell.) Warb.","H. O. Sleumer","Y. E. J. Mexia","5449","1930","12","24","South America","Brazil","Minas Gerais","Agricultural College grounds. Southeast of dormitory.","-42.868031","-20.7613428","668","668","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192147' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023437","NY01023437_01","Viçosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","374697","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Banara","serrata","Banara serrata","(Vell.) Warb.","R. L. Liesner","J. A. Kallunki","521","1994","02","11","South America","Brazil","Bahia","30 km from BR-101 on road from Buerarema and past Vila Brasil. In severely disturbed Southern Bahian Wet forest at top of hill on road to fazenda","-39.1615096","-15.0947636",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374697","NY00374697_01","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1144617","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Banara","serrata","Banara serrata","(Vell.) Warb.",NA,"H. C. de Lima","4428","1992","11","24","South America","Brazil","Rio de Janeiro","Reserva Biológica de Poço das Antas, Estrada para Juturnaiba, proximo a barragem.","-42.3917","-22.6508",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297128' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144617","NY01144617_01","Silva Jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","97859","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Banara","vellozii","Banara vellozii","Gardner",NA,"G. Gardner","310",NA,NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00097859","NY00097859_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","97857","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Banara","vellozii","Banara vellozii","Gardner",NA,"G. Gardner","310","1837",NA,NA,"South America","Brazil",NA,"Serra dos Orgaos, Brasil. trop.","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00097857","NY00097857_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","97858","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Banara","vellozii","Banara vellozii","Gardner",NA,"G. Gardner","310",NA,NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00097858","NY00097858_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
