"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","minimumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","typeStatus","barcode"
"1","2011-02-22 10:25:00-03","MO","MOBOT","2453891","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","toropiensis","Tillandsia toropiensis","Rauh","Werner Rauh","Rauh 56059","1981","South America","Brazil","Rio Grande do Sul","at the river Toropi","300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-03-29 10:41:16-03","UFSM","HDCF","6286","S","Plantae","Bromeliaceae","Tillandsia","toropiensis","Tillandsia toropiensis","Rauh","Büneker, H. M.; Pontes, R.; Witeck, L.",NA,"2012","América","Brasil","Rio Grande do Sul","Passo da Trincheira",NA,"Büneker, H. M.","2012","05","16","05","16","São Pedro do Sul","-54.1789016723633","-29.6205997467041","32227","Saxícola junto a Parodia magnifica às margens do Rio Toropi","auto",NA,NA,NA
"3","2019-03-29 10:41:16-03","UFSM","HDCF","6293","S","Plantae","Bromeliaceae","Tillandsia","toropiensis","Tillandsia toropiensis","Rauh","Büneker, H. M.; Pontes, R.; Witeck, L.",NA,"2012","América","Brasil","Rio Grande do Sul","Às margens do Rio Toropi",NA,"Büneker, H. M.","2012","06","02","06","02","Quevedos","-54.0717010498047","-29.3525009155273","28027","Saxícola junto a Parodia magnifica, brácteas avermelhadas, pétlas brancas","auto",NA,NA,NA
"4","2016-08-26 09:16:15-03","UFSM","HDCF","6285","S","Plantae","Bromeliaceae","Tillandsia","toropiensis","Tillandsia toropiensis","Rauh","Büneker, H. M.; Pontes, R.; Witeck, L.","66","2012","América","Brasil","Rio Grande do Sul","Morro Link",NA,"Büneker, H. M.","2012","08","10","08","10","Santa Maria","-53.8069000244141","-29.6842002868652","37819","Saxícola junto a T. lorentziana, pétalas brancas e brácteas vermelhas","auto",NA,NA,NA
"5","2016-08-26 09:16:15-03","UFSM","HDCF","6292","S","Plantae","Bromeliaceae","Tillandsia","toropiensis","Tillandsia toropiensis","Rauh","Büneker, H. M.; Pontes, R.; Witeck, L.","29","2012","América","Brasil","Rio Grande do Sul","Salto do Guassupí",NA,"Büneker, H. M.","2012","06","02","06","02","São Martinho da Serra","-53.8546981811523","-29.5377998352051","24165","Saxícola em escarpa rochosa junto a Parodia horstii, perto de quedas d'água, pétalas brancas, brácteas avermelhadas","auto",NA,NA,NA
"6","2019-03-29 10:41:16-03","UFSM","HDCF","6288","S","Plantae","Bromeliaceae","Tillandsia","toropiensis","Tillandsia toropiensis","Rauh","Büneker, H. M.; Pontes, R.; Witeck, L.",NA,"2011","América","Brasil","Rio Grande do Sul","Perto da Cascata da antiga usina",NA,"Büneker, H. M.","2011","05","10","05","20","Itaara","-53.7647018432617","-29.6096992492676","17818","Saxícola junto a Parodia horstii, brácteas vermelhas, pétalas brancas","auto",NA,NA,NA
"7","2019-03-29 10:41:16-03","UFSM","HDCF","6287","S","Plantae","Bromeliaceae","Tillandsia","toropiensis","Tillandsia toropiensis","Rauh","Büneker, H. M.; Pontes, R.; Witeck, L.",NA,"2012","América","Brasil","Rio Grande do Sul","Linha Bayer",NA,"Büneker, H. M.","2012","04","10","04","10","Toropi","-54.228099822998","-29.4783000946045","15764","Saxícola junto a Parodia magnifica às margens do Rio Toropi-mirim","auto",NA,NA,NA
"8","2020-08-26 10:48:26-03","MCN-FZBRS","HAS","40515","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","toropiensis","Tillandsia toropiensis","Rauh","Strehl, T.","s.n.",NA,NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"Nova Palma","-53.4688987731934","-29.471700668335","23222","Em cultivo no JB nº730.","auto","Magnoliophyta","Paratypus?","HAS0040515"
"9","2020-02-28 17:39:18-03","MCN-FZBRS","HAS","66525","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","toropiensis","Tillandsia toropiensis","Rauh","Nilson, A.","s.n.","2000",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,"05",NA,"Nova Palma","-53.4688987731934","-29.471700668335","23222","Em paredão rochoso, junto a cactos. JB. 725","auto","Magnoliophyta","Paratypus?","HAS0066525"
"10","2020-02-28 17:39:18-03","MCN-FZBRS","HAS","101087","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","toropiensis","Tillandsia toropiensis","Rauh","Strehl, T.","1923","2000",NA,"Brasil","Rio Grande do Sul","Toropi,",NA,NA,NA,NA,NA,"06",NA,"Toropi","-54.228099822998","-29.4783000946045","15764","; Encontrada junto com cactus. Flor azul claro e azul escuro.","auto","Magnoliophyta",NA,"HAS0101087"
