"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-04-05 14:33:19-03","UNESC","CRI","14616","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan","Colares, R.","2018","10","17","Colares, R.","2017","10","17","Brasil","Santa Catarina","Criciúma","pinheirinho","-49.400556","-28.685","49º24'2''W","28º41'6''S","Terreno baldio","CRI013923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:14-03","E","E","230939","PreservedSpecimen","Plantae","Compositae","Stifftia","chrysantha","Stifftia chrysantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00230939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00230939","158","E. Tropical South America","herbarium specimen of unspecif","BGBASE:470844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","7526","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan",NA,NA,NA,NA,"J. C. Mikan",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007526","s.n.","South America","sheet",NA,"Magnoliophyta","Asterales","isotype","NY00007526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","788663","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan",NA,NA,NA,NA,"Collector unspecified",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788663","s.n.","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788667","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan",NA,NA,NA,NA,"G. Gardner","1836","11",NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788667","58","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","788666","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan","J. F. Pruski",NA,NA,NA,"Collector unspecified",NA,NA,NA,"Brazil","São Paulo","Sebastianópolis do Sul","Near Sebastianopolis.","-49.92","-20.65",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788666","s.n.","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788691","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha oligantha","Baker","A. Gehrt",NA,NA,NA,"A. Gehrt","1938","05","14","Brazil","São Paulo","Caraguatatuba","Ex. 1a Secçao Botânica e Agronomia do Instituto Biologico.","-45.4097","-23.6203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788691","s.n.","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,"oligantha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","788681","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan",NA,NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788681","s.n.","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","788674","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan",NA,NA,NA,NA,"J. E. B. Warming",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788674","s.n.","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","788685","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan",NA,NA,NA,NA,"Collector unspecified",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788685","s.n.","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","788672","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan",NA,NA,NA,NA,"Martii Herbar. Florae Brasil.","1837",NA,NA,"Brazil","Rio de Janeiro",NA,"Morro do Telegrapho.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114970' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788672","134","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","788670","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan",NA,NA,NA,NA,"Collector unspecified",NA,NA,NA,"Brazil","São Paulo","Sebastianópolis do Sul","Ad montem Corcovado prope Sebastianópolis.","-49.92","-20.65",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788670","7","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","788684","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan",NA,NA,NA,NA,"W. J. Burchell","1825","08","16","Brazil","Rio de Janeiro","Rio de Janeiro","Along the aqueduct a mile and half above the convent of Santa Teresa (in the old part of Rio)","-43.195652","-22.930074",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788684","796","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","788675","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan","D. D. Keck",NA,NA,NA,"J. N. Rose","1915","07","08","Brazil","Rio de Janeiro",NA,"Near Corcovado.","-43.212076","-22.951842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788675","20155","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","788673","PreservedSpecimen","Plantae","Asteraceae","Stifftia","chrysantha","Stifftia chrysantha","J.C.Mikan","J. F. Pruski",NA,NA,NA,"Collector unspecified",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"Com. Mc Gwan 2/83 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=114961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788673","54","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
