"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","603423","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","subglaucescens","Lonchocarpus subglaucescens","Mart.","G. G. Hatschbach","G. G. Hatschbach","25987","1971","01","28","South America","Brazil","Paraná","Mandirituba","Rio do Mauricio","-49.3258","-25.7792","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603423","NY00603423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","603425","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","subglaucescens","Lonchocarpus subglaucescens","Mart.","H. Poppendieck","G. G. Hatschbach","18025","1967","12","05","South America","Brazil","Paraná","Ponta Grossa","Passo do Pupo","-49.96198","-25.145584","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603425","NY00603425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","603424","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","subglaucescens","Lonchocarpus subglaucescens","Mart.","G. G. Hatschbach","G. G. Hatschbach","13474","1966","01","09","South America","Brazil","Paraná",NA,"Mun. Agudos do Sul. Agudos do Sul",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603424","NY00603424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","603422","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","subglaucescens","Lonchocarpus subglaucescens","Mart.","G. G. Hatschbach","G. G. Hatschbach","41768","1978","11","13","South America","Brazil","Paraná","Curitiba","Guabirotuba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603422","NY00603422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","603420","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","subglaucescens","Lonchocarpus subglaucescens","Mart.","A. M. G. de Azevedo-Tozzi","G. F. J. Pabst","9255","1968","12","25","South America","Brazil","São Paulo",NA,"Estrada de Bragança Paulista para Lindóia, pr. Pinhalzinho",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603420","NY00603420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","603421","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","subglaucescens","Lonchocarpus subglaucescens","Mart.","G. G. Hatschbach","G. G. Hatschbach","41090","1978","01","03","South America","Brazil","Paraná","Campo Largo","Retiro Grande","-49.5281","-25.4586","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603421","NY00603421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:29:44-03","UNESP-IBB","BOTU","33931","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lonchocarpus","subglaucescens","Lonchocarpus subglaucescens","Mart. Ex Benth.","Slusarki, S.R.","Francisco, E.M.",NA,"2002","12","04",NA,"Brasil","Paraná","Leópolis","Leópolis para Sertaneja",NA,NA,NA,NA,"BOTU033931",NA,"2004","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:19:50-03","UFRJ","RFA","19947","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lonchocarpus","subglaucescens","Lonchocarpus subglaucescens","Mart. ex Benth.","G.G. Hatschbach","G.G. Hatschbach","41768","1978","11","13",NA,"Brasil","Paraná","Curitiba","Guabirotuba","-49.2731018066406","-25.4277992248535",NA,"Arvore 15m, flores lilás","RFA16739",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:19:50-03","UFRJ","RFA","8662","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lonchocarpus","subglaucescens","Lonchocarpus subglaucescens","Mart. ex Benth.","G.G. Hatschbach","G.G. Hatschbach","18025","1967","12",NA,NA,"Brasil","Paraná","Ponta Grossa","Passo do Pupo","-50.1618995666504","-25.0949993133545",NA,"Árvore 20 m, tronco base 35 cm de diâmetro. Casca externa cinzenta lisa, int. assim como a madeira amarela","RFA27665",NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:19:50-03","UFRJ","RFA","11038","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lonchocarpus","subglaucescens","Lonchocarpus subglaucescens","Mart. ex Benth.","G.G. Hatschbach","G.G. Hatschbach","25987","1971","01","28",NA,"Brasil","Paraná","Mandirituba","Rio do Maurício","-49.326099395752","-25.7789001464844",NA,"Árvore 12 m, flor anil,","RFA10903",NA,NA,NA,NA,"20385","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
