"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","600473","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","platycarpon","Eriosema platycarpon","Micheli","J. W. Grear","D. O. Norris","17","1964","02","17","South America","Brazil","São Paulo","Boundary between municípios of Araraquara & Boa Esperança do Sul: at Rio Jacaré-Guaçu where crossed by Araraquara-Jaú road","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=439117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600473","NY00600473_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 04:35:00-03","NY","NYBG","600476","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","platycarpon","Eriosema platycarpon",NA,"J. W. Grear","J. E. Montes","27388","1958","04","24","South America","Argentina","Misiones","Loreto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=439116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600476",NA,"Candelaria","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","600474","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","platycarpon","Eriosema platycarpon","Micheli","J. W. Grear","D. O. Norris","198","1964","04","29","South America","Brazil","São Paulo","Border of Municípios of Araraquara & Boa Esperança do Sul: Along the road to Jaú at crossing of Rio Jacaré-Guaçu. 15 km SW of Araraquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=439114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600474","NY00600474_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01093204","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","platycarpon","Eriosema platycarpon","Micheli",NA,"T. M. Pedersen","15972","1994","02","08","South America","Brazil","Mato Grosso do Sul","About 10 km W of Tacurú.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230372' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093204",NA,"Tacuru",NA,NA,"-55.0156","-23.6325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01019738","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","platycarpon","Eriosema platycarpon","Micheli","J. W. Grear","H. S. Irwin","19504","1968","02","04","South America","Brazil","Distrito Federal","Experiment station, campus of Universidade de Brasília, Brasília.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137522' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019738","NY01019738_01","Brasília","1000","1000","-47.875","-15.758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:29:41-03","UNESP-IBB","BOTU","32211","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Eriosema","platycarpon","Eriosema platycarpon","Micheli",NA,"Caboco, R.B.","9","2009","04","18",NA,"Brasil","Mato Grosso do Sul","Parque Estadual das Várzeas do Rio Ivinhema",NA,NA,"BOTU032211",NA,"Jateí",NA,NA,"-53.718611","-22.929444","53°43'07w","22°55'46s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:41:39-03","EAO","IAN","24184","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Eriosema","platycarpon","Eriosema platycarpon","Micheli",NA,"Balansa, B","1541a",NA,NA,NA,NA,"Paraguai",NA,NA,NA,NA,"IAN024184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-02 16:28:55-03","CPAN-UFMS","COR","8710","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Eriosema","platycarpon","Eriosema platycarpon","Micheli","Ana Caroline e Maria Eletícia","Damasceno Junior, G. A.; Pott, V. J.; Ishii, I. H.; Assis, E. M.","2314","2001","05","05",NA,"Brasil","Mato Grosso do Sul","Córrego/Corixo Zé Dias.",NA,"Erva Com fruto:marrom Habitat: Mata ciliar Habito: erva de 80 cm",NA,NA,"Corumbá","100","100","-57.523889","-17.868889","57º31'26''W","17º52'8''S","2007","11","04",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:12:52-03","NBC","NL-BOTANY","L.1951657","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Eriosema","platycarpon","Eriosema platycarpon","Micheli",NA,"Fiebrig K",NA,"1908","02","01","Southern America","Paraguay",NA,"N. Paraguay: Zwischen Rio Apa und Rio Aquidaban. Caballero-rúe.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1951657 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1951657","NL-L1951657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:12:52-03","NBC","NL-BOTANY","L.1951658","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Eriosema","platycarpon","Eriosema platycarpon","Micheli",NA,"Fiebrig K",NA,"1903","01","11","Southern America","Paraguay",NA,"Plantae paraguayenses. Corros de Tobati.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1951658 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1951658","NL-L1951658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
