"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","fieldNumber","year","month","day","stateProvince","locality","preparationType","occurrenceRemarks","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","typeStatus","identifiedBy","yearIdentified","order"
"1","2021-04-08 17:43:13-03","EAO","IAN","57924","PreservedSpecimen","Plantae","Dicotiledônea","Oxalidaceae","Oxalis","acutifolia","Oxalis acutifolia","Progel","Pohl, RW","4102","Southern America","Brasil","IAN057924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-05 10:57:50-03","MNHN","RECOLNAT_MNHN_P","P05525110","PreservedSpecimen",NA,NA,"Oxalidaceae","Oxalis","impatiens","Oxalis impatiens","Vell.","Bello, W.",NA,NA,"Brasil","P05525110","638","1889","1","1","Espírito Santo","Concordia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525110' target='other'> <mi>dwc_moreinfo</mi></a>","P05525110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:39:56-03","UFMG","BHCB","71953","PreservedSpecimen","Plantae","Dicotyledon","Oxalidaceae","Oxalis","impatiens","Oxalis impatiens","Vell.","Barreto, HLM","6379","Southern America","Brasil","BHCB012099",NA,"1936","01","09","Minas Gerais","Fazenda das Antilhas",NA,"Herbácea. Flor amarela.; Mata.",NA,"Tombos","-42.0228004455566","-20.9046993255615","16749","auto",NA,NA,NA,NA,NA
"4","2020-12-11 11:39:56-03","UFMG","BHCB","71952","PreservedSpecimen","Plantae","Dicotyledon","Oxalidaceae","Oxalis","impatiens","Oxalis impatiens","Vell.","Barreto, HLM","6377","Southern America","Brasil","BHCB022811",NA,"1936","01","09","Rio de Janeiro","Fazenda das Fruteiras- Porcincula",NA,"Herbácea, flor amarela, muito frequente; Mata",NA,"Itaperuna","-41.8877983093262","-21.2049999237061","32377","auto",NA,NA,NA,NA,NA
"5","2019-09-04 19:11:17-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Oxalidaceae","Oxalis","acutifolia","Oxalis acutifolia",NA,"J. B. E. Pohl","4102","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA,NA
"6","2019-11-01 15:07:35-03","UnB","UB","138966","PreservedSpecimen","Plantae","Dicotyledoneae","Oxalidaceae","Oxalis","impatiens","Oxalis impatiens","Vell.","Pereira, E","2296","Southern America","Brasil",NA,NA,"1956","12","12","Espírito Santo","Vargem Alta",NA,"Arbusto. Flores alvas-amareladas; Mata",NA,"São José da Fruteira",NA,NA,NA,NA,NA,NA,"Lourteig, A","1961",NA
"7","2020-08-20 20:40:52-03","UFSC","FLOR","50170","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","impatiens","Oxalis impatiens","Vell.","Pereira, E.","2296",NA,"Brasil","FLOR0050170",NA,"1956","12","12","Espírito Santo","São José da Fruteira, Mata.",NA,"arbusto, flor alvas-amareladas",NA,"Vargem Alta","-41.0069007873535","-20.6714000701904","27188","auto",NA,NA,"Lourteig, A.","1961","Oxalidales"
