"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","typeStatus","imagecode","identifiedBy","county","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","04177379","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","R. T. Pennington","74","1988","08","03","South America","Bolivia","Pando","54 km SW Cobija. Triunfo","-69.12","-11.17","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500860' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","23373","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.",NA,"s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00023373","isolectotype","NY00023373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","440326","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","R. Reitz","10267","1960","10","21","South America","Brazil","Santa Catarina","Morro do Baú, Ilhota","-48.943553","-26.806661","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440326",NA,"NY00440326_01","F. Markgraf","Ilhota","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","04177377","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","H. H. Rusby","2649","1886","05",NA,"South America","Bolivia",NA,"Guanai",NA,NA,"610","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500858' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","440328","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","M. Kuhlmann",NA,"1921","08","13","South America","Brazil","Rio de Janeiro","Corcovado","-43.212076","-22.951842",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440328",NA,"NY00440328_01","W. Marcondes-Ferreira","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","04177376","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","H. H. Rusby","2649","1886","05",NA,"South America","Bolivia",NA,"Guanai",NA,NA,"610","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500856' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","970814","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","Y. E. J. Mexia","5054","1930","09","16","South America","Brazil","Minas Gerais","Fazenda de Aguada.","-42.8817","-20.7542","725","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970814",NA,"NY00970814_01 NY00970814_02","R. E. Woodson Jr.","Viçosa","725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","440327","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","M. Paredes",NA,NA,NA,NA,"South America","Brazil","São Paulo","Estaçao da Luz","-46.63","-23.54",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440327",NA,"NY00440327_01","D. B. Pickel","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","970695","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","Y. E. J. Mexia","5054","1930","09","16","South America","Brazil","Minas Gerais","Fazenda de Aguada.","-42.8817","-20.7542","725","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970695",NA,"NY00970695_01 NY00970695_02","R. E. Woodson Jr.","Viçosa","725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","440329","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","D. C. Daly","6538","1990","05","19","South America","Bolivia",NA,"Deptos. La Paz & Beni. Rio Beni. Upstream from Ruerrenabaque","-67.53","-14.45","320","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440329",NA,"NY00440329_01","A. J. M. Leeuwenberg",NA,"320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-18 09:28:39-03","UNESP-IBB","BOTU","18554","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","Amaral Jr., A.","22b","1991","10","08",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"BOTU018554",NA,"BOTU018554","Castello, A.C.D.","Lagoa Santa",NA,"2015","08","26","9999","9999",NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:28:39-03","UNESP-IBB","BOTU","33420","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.",NA,"A24","2016","06","27",NA,"Brasil","São Paulo","Fazenda Canchim",NA,NA,NA,NA,NA,"BOTU033420",NA,NA,NA,"São Carlos",NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA
"13","2021-02-08 11:07:06-03","UNESP-IBB","BOTU","29339","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","Galhego, A.A.","128","1994","10","09",NA,"Brasil","São Paulo",NA,"-48.433333","-22.866667",NA,NA,"Mata mesófila semidecidual secundária com árvores de até 20m e sub-bosque pouco denso; Coleção: Jardim Botânico UNESP Botucatu","BOTU029339",NA,NA,"Castello, A.C.D.","Botucatu",NA,"2015","08","26","48°26'w","22°52's",NA,NA,NA,NA,NA,NA
"14","2020-06-29 11:28:53-03","UFRJ","RFA","44","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.",NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Serra da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,"Arbor","RFA35640",NA,NA,"Carine G.P. Quinet","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"15","2020-06-29 11:28:53-03","UFRJ","RFA","12126","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","ramiflorum","Aspidosperma ramiflorum","Müll.Arg.","P. Occhioni","4915","1972","05","25",NA,"Brasil","Rio de Janeiro","Serra dos Órgaõs. Horto da Faculdade de Farmácia","-43.2075004577637","-22.9027996063232",NA,NA,"Árvore grande. Fruto na carpoteca","RFA36198",NA,NA,"C.G.P. Quinet","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
