"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:48-03","E","E","296695","PreservedSpecimen","Plantae","Leguminosae","Phaseolus","peduncularis","Phaseolus peduncularis","isotype","Smith, Herbert Huntington","2052","1905","03","12","W. Tropical South America","CO","Departamento de Magdalena","Santa Marta","herbarium specimen of unspecif","BGBASE:314332","<a href=http://data.rbge.org.uk/herb/E00296695 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","605334","PreservedSpecimen","Plantae","Fabaceae","Phaseolus","peduncularis","Phaseolus peduncularis",NA,"F. Chagas e Silva","557","1983","02","12","South America","Brazil","Paraná","Universidade Federal do Paraná, Centro Politécnico.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=248913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605334","Magnoliophyta","Fabales","W.P.C.Barton","O. A. Guimarães","Curitiba","-49.22","-25.37","NY00605334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","605335","PreservedSpecimen","Plantae","Fabaceae","Phaseolus","peduncularis","Phaseolus peduncularis",NA,"H. P. Bautista","752","1983","05","26","South America","Brazil","Bahia","Fazenda Experimental da EPABA.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=248912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605335","Magnoliophyta","Fabales","W.P.C.Barton","G. C. P. Pinto; H. P. Bautista","Itiúba","-39.83","-10.72","NY00605335_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01404550","PreservedSpecimen","Plantae","Fabaceae","Vigna","firmula","Vigna firmula",NA,"W. R. Anderson","9386","1973","04","29","South America","Brazil","Goiás","Serra do Caiapó, ca. 30 km (straight line) S of Caiapônia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2265467' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404550","Magnoliophyta","Fabales","(Mart. ex Benth.) Maréchal, Mascherpa & Stainier","E. D. da Silva","Caiapônia","-51.8167","-17.2167","NY01404550_01","950","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1843631","PreservedSpecimen","Plantae","Fabaceae","Vigna","firmula","Vigna firmula",NA,"A. O. Scariot","449","1989","04","07","South America","Brazil","Bahia","Próximo ao Rio Riachao.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078546' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843631","Magnoliophyta","Fabales","(Mart. ex Benth.) Maréchal, Mascherpa & Stainier",NA,"Formosa do Rio Preto","-45.47","-11.1214","NY01843631_01","530","530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01045931","PreservedSpecimen","Plantae","Fabaceae","Vigna","firmula","Vigna firmula",NA,"A. M. Giulietti","PCD828","1994","09","26","South America","Brazil","Bahia","Pai Inácio. Cercado","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190922' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045931","Magnoliophyta","Fabales","(Mart. ex Benth.) Maréchal, Mascherpa & Stainier","G. P. Lewis","Palmeiras","-41.4681","-12.4547","NY01045931_01","960","960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1843564","PreservedSpecimen","Plantae","Fabaceae","Vigna","firmula","Vigna firmula",NA,"G. T. Prance","58539","1964","08","02","South America","Brazil","Tocantins","West of Filadélfia in Serra de Jaccouba.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077790' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843564","Magnoliophyta","Fabales","(Mart. ex Benth.) Maréchal, Mascherpa & Stainier",NA,NA,"-47.601571","-7.340931","NY01843564_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1843581","PreservedSpecimen","Plantae","Fabaceae","Vigna","firmula","Vigna firmula",NA,"G. G. Hatschbach","36756","1975","05","24","South America","Brazil","Goiás","Rod. GO-12, 5-10 km S de Alto Paraiso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077809' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843581","Magnoliophyta","Fabales","(Mart. ex Benth.) Maréchal, Mascherpa & Stainier",NA,"Alto Paraíso de Goiás","-47.5097","-14.1325","NY01843581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1843565","PreservedSpecimen","Plantae","Fabaceae","Vigna","firmula","Vigna firmula",NA,"J. A. Ratter","6741","1993","07","04","South America","Brazil","Maranhão","Serra de Madeira, nr Carolina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077791' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843565","Magnoliophyta","Fabales","(Mart. ex Benth.) Maréchal, Mascherpa & Stainier",NA,NA,"-47.433333","-7.183333","NY01843565_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1843519","PreservedSpecimen","Plantae","Fabaceae","Vigna","firmula","Vigna firmula",NA,"C. A. Cid Ferreira","4316","1984","06","07","South America","Brazil","Rondônia","BR 364, Porto Velho-Cuibá, estrada para Colorado do Oeste, km 25","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076433' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843519","Magnoliophyta","Fabales","(Mart. ex Benth.) Maréchal, Mascherpa & Stainier",NA,"Colorado do Oeste","-61.02","-12.22","NY01843519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
