"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","locality","dayIdentified","barcode","imagecode","class","typeStatus","recordNumber","continentOcean"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","495","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","azureum","Nidularium azureum","(L.B.Sm.) Leme","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Jorge Gastin","1999","03","07","Brasil","Rio de Janeiro","Sumidouro","-42.6747016906738","-22.0496997833252","24384","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","373","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","azureum","Nidularium azureum","(L.B.Sm.) Leme","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Rafael de Oliveira; Marcia Brugger","1996","06","28","Brasil","Minas Gerais","Coronel Pacheco","-43.2655982971191","-21.5877990722656","10350","1","254","auto","Fazenda da companhia, antigo centro de pecuária da Embrapa",NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:31-03","MN","R","230848","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","azurea","Wittrockia azurea","L.B. Sm.","Fontoura, T.","1987","07","Foster, M.B. 359; Foster, R.","1939","08","18","Brasil","São Paulo",NA,NA,NA,NA,NA,"Serarada da 32845, por serem especies distintas",NA,NA,"21",NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:31-03","MN","R","32485","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","azurea","Wittrockia azurea","L.B. Sm.","Fontoura, T.","1987","07","Foster, M.B. 359; Foster, R.","1939","08","18","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"21","R010016924","R010016924 R010016924_1",NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2144028","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Wittrockia","azurea","Wittrockia azurea","L.B. Sm.",NA,NA,NA,"E. P. Heringer",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,"1",NA,NA,NA,NA,"US00091430","US00091430_01","Monocotyledonae","Type fragment","1536","South America - Neotropics"
"6","2019-11-21 10:02:55-03","IBt","SP","51968","S","Plantae",NA,NA,"Bromeliaceae","Wittrockia","azurea","Wittrockia azurea","L.B.Sm.","Smith, LB","1955",NA,"Heringer, EP","1944","08","30","Brasil","Minas Gerais","Coronel Pacheco","-43.2655982971191","-21.5877990722656","10350",NA,"Mata virgem ·mida, flores azuladas","auto","Fazenda da Companhia",NA,"SP001839","SP001839",NA,"Holotype","1536",NA
