"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","387069","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.","J. A. Kallunki","W. W. Thomas","9950","1993","10","17","South America","Brazil","Bahia","Uruçuca","7.3 km north of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387069","NY00387069_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01195875","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.","O. A. Jara-Muñoz","J. G. Jardim","1488","1998","02","03","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7.5 km percorrendo mais 1.7 km até a sede da Faz. Teimoso. Serra do Teimoso. RPPN Serra do Teimoso.","-39.58","-15.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1404328' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195875","NY01195875_01","300","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02171823","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.",NA,"R. Callejas Posada","1772","1983","11","19","South America","Brazil","Bahia","Una","Ramal a direita no km 5 da estrada Una-Canavieira","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2324282' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171823","NY02171823_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:13:46-03","UFBA","ALCB","042529","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.","Costa-Lima, JL","Thomas, W; Carvalho, AM de; Amorim, AMA","s/n","1993","10","17","Southern America","Brasil","Bahia","Uruçuca","Litoral Sul, 7,3 km north of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.016667","-14.416667",NA,"Treelet, 3m; leaves lustrous dark green above, paler beneath but not glaucous; inflorescences and flowers pale green.; Southern Bahian moist forest.","ALCB036944","ALCB036944",NA,NA,"2015","04","10","-39.016667","-14.416667",NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:13:46-03","UFBA","ALCB","121274","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.","Gomes, FS","Gomes, FS","1493","2013","03","27","Southern America","Brasil","Bahia","Una",NA,"-39.195833","-15.297222",NA,"Folhas cartáceas, discolores. 33.2, parcela 01","ALCB094627","ALCB094627",NA,NA,"2013","11",NA,"-39.195833","-15.297222",NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:13:46-03","UFBA","ALCB","125241","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.","Guedes, ML","Borges, RL; Stadnik, A; Jardim, JG; Ibrahim, M","260","2015","01","22","Southern America","Brasil","Bahia","Licínio de Almeida","Mata estacional - estrada para Jurema, São Domingos","-42.518333","-14.455833",NA,"ca. 3m alt. Folhas discolores. Frutos vermelhos.","ALCB020092","ALCB020092",NA,NA,"2016","07",NA,"-42.518333","-14.455833",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:13:46-03","UFBA","ALCB","78900","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.","Costa-Lima, JL","Valadão, RM; Guedes, ML","709","2006","02","18","Southern America","Brasil","Bahia","Ituberá/Grapiúna","Litoral Sul, Fragmento do Corte Alto.",NA,NA,NA,"de ca. 1,8m de altura. Folhas cartáceas discolores, com a face abaxial mais clara e venação inconspícua. Frutos imaturos verdes.; Arbórea.","ALCB036945","ALCB036945",NA,NA,"2015","04","10",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-21 19:34:02-03","UFC","EAC","62874","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.","Guedes, M.L.","Borges, R.L.; Stadnik, A.; Jardim, J.; Ibrahim, M.","260","2015","01","22","Southern America","Brasil","Bahia","Licínio de Almeida","Mata estacional - estrada para Jurema, São Domingos","-42.518333","-14.455833",NA,"Arbusto, ca. 3 m alt. Folhas discolores. Frutos vermelhos.","EAC0062874","EAC0062874",NA,NA,"2016","07",NA,"-42.518333","-14.455833",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:23:46-03","MBM","MBM","84297","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.","Plowman, T.","Mattos Silva, L.A.; et al.; et al.","1666","1983","03","08","Southern America","Brazil","Bahia","Canavieiras","Km 26 da rodovia Canavieiras - Una","-38.9472007751465","-15.6750001907349",NA,NA,"MBM084297","MBM084297",NA,NA,NA,NA,NA,NA,NA,"48203","auto",NA,NA,NA,NA
"10","2020-12-21 16:23:46-03","MBM","MBM","238898","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.","Kallunki, J.","Thomas, W.W.; et al.; et al.","9950","1993","10","17","Southern America","Brazil","Bahia","Uruçuca","Serra Grande","-39.2844009399414","-14.5930995941162",NA,NA,"MBM238898","MBM238898",NA,NA,NA,NA,NA,NA,NA,"33791","auto",NA,NA,NA,NA
"11","2019-08-15 09:03:33-03","UESC","UESC","19602","S","Plantae","Angiospermae","Florideophycidae","Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Penn.","L.A.Mattos-Silva","Bacelar, T.G.","17","1998","02","18",NA,"Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,"Arbusto cerca de 1,50 m de altura.","UESC0019602",NA,NA,NA,"2014","11",NA,NA,NA,"36070","auto","Dicotyledoneae",NA,NA,NA
"12","2014-04-14 12:13:00-03","MO","MOBOT","3419338","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","compressum","Erythroxylum compressum","Peyr.",NA,"W. Wayt Thomas|et al.","Thomas 9950","1993","10","17","South America","Brazil","Bahia",NA,"Mun. Urucuca. 7.3 km north of Serra Grande on road to Itacare. Fazenda Lagoa do Conjunto Fazenda SANTA cruz.","-39.01666","-14.41666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
