"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:32-03","UNESC","CRI","12492","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","pentaphylla","Dahlstedtia pentaphylla","(Taub.) Burkart","Renato Colares & Aline V. Guislon","2017","07","25","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.593333","-27.006944","48º35'36''W","27º0'25''S","Coleta 39. Habito: Arbóreo","CRI010699","CRI010699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:16-03","UNESC","CRI","2178","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","pentaphylla","Dahlstedtia pentaphylla","(Taub.) Burkart","S. F. Smith",NA,NA,NA,"Reitz; Klein","1962","12","22","Brasil","Santa Catarina","Anita Garibaldi",NA,"-51.130278","-27.689722","51º7'49''W","27º41'23''S","Habitat: Pinhal Habito: arbusto","CRI002842","CRI002842","14481","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:16-03","UNESC","CRI","6617","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","pentaphylla","Dahlstedtia pentaphylla","(Taub.) Burkart",NA,NA,NA,NA,"R. Reitz; R. M. Klein","1962","12","22","Brasil","Santa Catarina","Anita Garibaldi",NA,"-51.125278","-27.685556","51º7'31''W","27º41'8''S","Habitat: Pinhal Habito: arbusto","CRI002843","CRI002843","14481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:16-03","UNESC","CRI","2730","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","pentaphylla","Dahlstedtia pentaphylla","(Taub.) Burkart","A. Burkart",NA,NA,NA,"P. R. Reitiz","1951","12","14","Brasil","Santa Catarina","Florianópolis","Ponta dos Naufragados, Ilha de Santa Catarina.","-48.48","-27.592222","48º28'48''W","27º35'32''S",NA,"CRI002841","CRI002841","4361","55","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 14:03:00-02","NY","NYBG","586146","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","pentaphylla","Dahlstedtia pentaphylla",NA,"S. M. Silva",NA,NA,NA,"S. F. Athayde","1994","10","28","Brazil","Paraná","Guaraqueçaba","Morro do Quitumbé ou do Costao","-48.33","-25.28",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00586146","NY00586146_01","122",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 14:03:00-02","NY","NYBG","586143","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","pentaphylla","Dahlstedtia pentaphylla",NA,"D. A. Neill",NA,NA,NA,"M. Sakane","1976","09",NA,"Brazil","São Paulo","Cananéia","Ilha da Casca próximo ao ancouradoro, face sul da ilha","-47.9197","-25.0103",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00586143","NY00586143_01","564",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 23:23:00-03","NY","NYBG","00984705","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","pentaphylla","Dahlstedtia pentaphylla",NA,"M. del Arco Aguilar",NA,NA,NA,"J. A. Ratter","1968","04","08","Brazil","Mato Grosso",NA,"8 km NE of the Base Camp of the Expedition","-51.87","-12.9",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984705","NY00984705_01","R879",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2016-10-28 15:13:00-02","NY","NYBG","00984706","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","pentaphylla","Dahlstedtia pentaphylla",NA,NA,NA,NA,NA,"J. A. Ratter","1987","11","11","Brazil","Mato Grosso do Sul",NA,"Santa Cruz, Serra do Urucum, nr. Corumbá","-57.55","-19.13",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984706","NY00984706_01","R5929",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","586147","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","pentaphylla","Dahlstedtia pentaphylla","(Taub.) Burkart","R. S. Cowan",NA,NA,NA,"L. B. Smith","1964","10","18","Brazil","Santa Catarina","Itapiranga","By Rio Uruguai, 4-8km west of Itapiranga","-53.75","-27.17",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00586147","NY00586147_01","12684","150","200","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","586142","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","pentaphylla","Dahlstedtia pentaphylla","(Taub.) Burkart","A. E. Burkart",NA,NA,NA,"R. M. Klein","1955","09","15","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00586142","NY00586142_01","1591","20","20","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
