"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00960590","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","R. C. Barneby","H. C. de Lima","1013","1979","05","11","South America","Brazil","Minas Gerais","Grão Mogol","Estrada para o Porto Mandacaru proximo ao Rio Jequitinhonha","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960590","NY00960590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00960565","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","R. de Mello-Silva","L. Rossi","CFCR1019","1981","04","16","South America","Brazil","Minas Gerais",NA,"Estr. de Grao Mogol a Montes Claros",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960565","NY00960565_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4174","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby",NA,"G. G. Hatschbach","42886","1980","03","22","South America","Brazil","Minas Gerais","Grão Mogol","Serra do Pipiri","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004174","NY00004174_01 NY00004174_02","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00960614","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","R. C. Barneby","G. G. Hatschbach","46341","1983","05","13","South America","Brazil","Minas Gerais","Águas Vermelhas","Rod. BR-116; 5 km S da Divisa Alegre","-41.4597","-15.7472","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960614","NY00960614_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-21 19:34:59-03","UFC","EAC","14195","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","Barneby, R.","Hatschbach, G.","46341","1983","05","13","Southern America","Brasil","Minas Gerais","Águas Vermelhas","Rod. BR 116, 5 km S da Divisa Alegre","-41.4599990844727","-15.747200012207",NA,"Arbusto, 2m, flor amarela; Chapada","EAC0014195","EAC0014195",NA,"1983","36450","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:25:52-03","MBM","MBM","70137","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","Irwin & Barneby",NA,"Lima, H.C. de; et al.; et al.","1013","1979","05","11","Southern America","Brazil","Minas Gerais","Grão Mogol","Frequente em mata baixa próximo ao Rio Jequitinonha, estrada para o Porto Mandacaru","-42.8897018432617","-16.5594005584717",NA,"Arbusto 304 metros; folhas fortemente nítidas; flores amarelas, levemente perfumadas","MBM070137","MBM070137",NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:25:52-03","MBM","MBM","70137","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby",NA,"Lima, H.C.","1013","1979","05","11","Southern America","Brazil","Minas Gerais","Grão Mogol","Próximo ao rio Jequitinhonha, estrada para o Porto Mandacaru.","-42.8897018432617","-16.5594005584717",NA,"Arbusto 3-4 metros; folhas fortemente nítidas; flores amarelas, levemente perfumadas.; Mata baixa.","MBM070137","MBM070137","PARATYPE",NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:25:52-03","MBM","MBM","81729","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","Irwin & Barneby","Barneby, R.","Hatschbach, G.","46341",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Águas Vermelhas","Rod. BR-116, 5km S da Divisa Alegre","-41.4599990844727","-15.747200012207",NA,NA,"MBM081729","MBM081729",NA,NA,"36450","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:25:52-03","MBM","MBM","65196","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","Barneby, R.","Hatschbach, G.","42886","1980","03","22","Southern America","Brazil","Minas Gerais","Grão Mogol","Serra do Pipiri","-42.8897018432617","-16.5594005584717",NA,"Arbusto 1m, muito ramoso e compacto. Flor amarela. Campo rupestre.; Arbusto 1m, muito ramoso e compacto. Flor amarela.; Campo rupestre.","MBM065196","MBM065196","HOLOTYPE","1981","67219","auto","1050","1050",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:25:52-03","MBM","MBM","70194","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","Irwin & Barneby",NA,"Hatschbach, G.","42886","1980","03","22","Southern America","Brazil","Minas Gerais","Grão Mogol","Serra do Pipiri","-42.8897018432617","-16.5594005584717",NA,"Arbusto 1m, muito ramoso e compacto. Flor amarela. Campo rupestre","MBM070194","MBM070194",NA,NA,"67219","auto","1050","1050",NA,NA,NA,NA,NA,NA,NA
