"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","476032","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","A. F. M. Glaziou","4768","1870","11","18","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Serra de Jacarepagua","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476033","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","C. A. W. Schwacke","10349",NA,NA,NA,"South America","Brazil","Minas Gerais","Ouro Preto","Ouro Preto","-43.5081","-20.2878","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","634340","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","J. G. Jardim","970","1997","02","26","South America","Brazil","Bahia","Almadina","Rod. Almadina/Ibitupa, entrada a 7 km Serra do Sete Paus, ca 12 km da entrada. Faz. Cruzeiro do Sul","-39.6961","-14.735","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634340","W. R. Anderson","578","578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","476030","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","G. G. Hatschbach","42599","1979","11","23","South America","Brazil","Paraná","Cerro Azul","Cab. Rib. do Tigre","-49.2608","-24.8236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476030","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","476031","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","E. H. G. Ule","997",NA,NA,NA,"South America","Brazil","Santa Catarina","Blumenau","Blumenau","-49.0658","-26.9194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:43:37-03","EAO","IAN","93923","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","sc","s.n.",NA,NA,NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"IAN093923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:43:37-03","EAO","IAN","93969","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","Glaziou, AFM","s.n.","1896","05","27","Southern America","Brasil","Gioás",NA,NA,NA,NA,NA,NA,"IAN093969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:42:26-03","EAO","IAN","18794","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Hiraea","cuneata","Hiraea cuneata obtusa","Griseb.","Glaziou, AFM","4768",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN018794",NA,NA,NA,"obtusa","IAN018794_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:25:21-03","PUCPR","HUCP","16271","S","Plantae","Eudicotiledonea",NA,"Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","Cordeiro, J","1131","1993","12","08",NA,"Brasil","Paraná","Curitiba","Parque Naútico","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00012847","Anderson, WR",NA,NA,NA,"HUCP00012847","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:25:21-03","PUCPR","HUCP","19060-B","S","Plantae","Eudicotiledonea",NA,"Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","Schilchting, M","s.n.","2007","10","18",NA,"Brasil","Paraná","Fazenda Rio Grande",NA,"-49.3081016540527","-25.6574993133545",NA,NA,NA,NA,NA,NA,NA,NA,"12596","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-26 18:08:40-03","CPAN-UFMS","COR","10476","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","Hatschbach, G.","39289","1977","11","20",NA,"Brasil","Paraná","Paraná","Joaquim Távora, arredores. Floresce no alto das árvores do interior do cânion.; ;.",NA,NA,NA,"Com Flor: amarela",NA,"W.R. Anderson","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:55:21-03","NBC","NL-BOTANY","L.2167061","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2167061 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2167061",NA,NA,NA,NA,"NL-L2167061",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:12:42-03","ESALQ","ESA","11255","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Hiraea","cuneata","Hiraea cuneata","Griseb.","Moraes, P.L.R.","223.0","1990","07","27",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA011255","Almeida, R.F.",NA,NA,NA,"ESA011255","27904","auto",NA,"2013","06","19",NA,NA,NA,NA,NA,NA
