"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1801552","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","micrantha","Vismia micrantha","Mart. ex A.St.-Hil.","W. R. Anderson","36091","1972","02","17","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","-43.565347","-19.391335","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2032604' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801552","NY01801552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01022954","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","micrantha","Vismia micrantha","Mart. ex A.St.-Hil.","F. C. Hoehne","4894","1921","01","11","South America","Brazil","Minas Gerais","Serra do Gongo Socco",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022954","NY01022954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1145068","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","micrantha","Vismia micrantha","Mart. ex A.St.-Hil.","R. de Mello-Silva","1651","1999","02","26","South America","Brazil","Minas Gerais","Localidade de Santa Luzia. Nascentes do riacho São Gabriel. Sopés da Serra Negra (divisa com Lima Duarte). Entrada 17,4 km da praça central de Rio Preto, na estrada para o Rio do Funil. Localidade de coleta de Saint-Hilaire em 8 e 11 de Fevreiro de 1822","-43.87","-21.97","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305693' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145068","NY01145068_01","J. C. Yesilyurt","Rio Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1801538","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","micrantha","Vismia micrantha","Mart. ex A.St.-Hil.","A. P. Duarte","7568","1963","02","13","South America","Brazil","Minas Gerais","Serra do Cipó, km 133",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2032495' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801538","NY01801538_01","N. K. B. Robson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","94377","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","micrantha","Vismia micrantha","Mart. ex A.St.-Hil.","C. F. P. von Martius","970","1841",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00094377","NY00094377_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01022960","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","micrantha","Vismia micrantha","Mart. ex A.St.-Hil.","H. S. Irwin","29669","1971","02","02","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 3 km N. of Mariana, road to Santa Bárbara","-43.41805556","-20.37495","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179729' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022960","NY01022960_01","B. Maguire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01022953","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","micrantha","Vismia micrantha","Mart. ex A.St.-Hil.","J. B. E. Pohl","3738",NA,NA,NA,"South America","Brazil","Minas Gerais","Brasilia, Villa Rica [Ouro Preto].","-43.5","-20.38",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179707' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022953","NY01022953_01",NA,"Ouro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01022958","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","micrantha","Vismia micrantha","Mart. ex A.St.-Hil.","H. S. Irwin","29009","1971","01","24","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 9 km W. of Barão de Cocais, at base of Serra da Caraça","-43.4775","-19.93955","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179722' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022958","NY01022958_01","B. Maguire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1281226","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","micrantha","Vismia micrantha","Mart. ex A.St.-Hil.","W. R. Anderson","35979","1972","02","14","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 5 km SSE of Pico do Itambé","-43.3919444","-18.43185","1140","1140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1679742' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281226","NY01281226_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","477438","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","micrantha","Vismia micrantha","Mart. ex A.St.-Hil.","F. C. Hoehne","198","1931","12","23","South America","Brazil","São Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=144531' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477438","NY00477438_01","J. A. Ewan","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
