"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordNumber","continentOcean","preparationType","barcode","imagecode","class","typeStatus","relatedCatalogItem","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3682","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","scrutor","Encholirium scrutor","Carlos Alberto Ferreira Júnior","2016","01","08","Kelen Soares; Lucas Assis","2016","01","08","Brasil","Minas Gerais","Diamantina","Estrada Diamantina/Milho Verde","-43.6002998352051","-18.2493991851807","101169","5","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3703","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","scrutor","Encholirium scrutor","Carlos Alberto Ferreira Júnior","2016","02","22","Kelen Soares; Lucas Assis","2016","02","17","Brasil","Minas Gerais","Diamantina","Estrada Diamantina/Milho Verde","-43.6002998352051","-18.2493991851807","101169","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","873381","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","scrutor","Encholirium scrutor","R. C. Forzza",NA,NA,NA,"R. C. Forzza","2000","02","01","Brazil","Minas Gerais","Datas","Estrada Diamantina-Datas, Km 607, 18,3 km de Diamantina.","-43.6556","-18.4458",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955777' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"(L.B.Sm.) Rauh","1520","South America","sheet","NY00873381","NY00873381_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U 0000819","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Encholirium","scrutor","Encholirium scrutor",NA,NA,NA,NA,"Cordeiro I; Simonis JE","1983","02","23","Brazil","Minas Gerais",NA,"MG. Município de Datas, arredores da cidade.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000819 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(L.B.Sm.) Rauh",NA,"Southern America",NA,"NL-U0000819","NL-U0000819","Magnoliopsidae","holotype","487080 B",NA,NA,NA,NA,NA
"5","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U 0245643","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Encholirium","scrutor","Encholirium scrutor",NA,NA,NA,NA,"Cordeiro I; Simonis JE","1983","02","23","Brazil","Minas Gerais",NA,"MG. Município de Datas, arredores da cidade.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200245643 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(L.B.Sm.) Rauh",NA,"Southern America",NA,"NL-U0245643",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:25-03","UFV","VIC","24848","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","scrutor","Encholirium scrutor",NA,NA,NA,NA,"Goldschidt, A.; Paula, C. .C. de; et al","2000","04","30","Brasil","Minas Gerais","Milho Verde","Lajeado, Próximo ao riacho",NA,NA,NA,NA,"Pedicelos e sépalas de coloração rosa. Pétalas verde intenso.",NA,"L. B. Sm.","s.n.",NA,NA,"VIC024848","VIC024848",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-02 18:52:16-03","UFJF","CESJ","39723","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Encholirium","scrutor","Encholirium scrutor","R.C. Forzza","2001",NA,NA,"R.C. Forzza; et al.","2000","02","01","Brasil","Minas Gerais","Datas","Estrada Diamantina-Datas","-43.6557998657227","-18.4456005096436","23532",NA,"Plantas formando densa população em solo pedregoso, próximo a pequenos afloramentos. Folhas verdes, passando a atro-vináceas quando a planta esta florescendo. Escapo róseo a vináceo. Flores pedicelos e sépalas róseos; pétalas, estames e ovários verdes.","auto","(L.B.Sm.) Rauh","1520","América do Sul",NA,"CESJ039723",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:19:25-03","MBM","MBM","270919","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","scrutor","Encholirium scrutor","Forzza, R.C.",NA,NA,NA,"Forzza, R.C.; et al.; et al.","2000","01","30","Brazil","Minas Gerais","Datas","Noroeste","-43.6557998657227","-18.4456005096436","23532",NA,NA,"auto","(L.B. Sm.) Rauh","1488","Southern America",NA,"MBM270919","MBM270919",NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-09-06 10:28:19-03","MNHN","RECOLNAT_MNHN_P","P01761366","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Encholirium","scrutor","Encholirium scrutor",NA,NA,NA,NA,"Forzza, R.C.|Mello-Silva, R.","2000","2","1","Brasil","Minas Gerais","Datas","Brasil, Minas Gerais, Mun. de Datas. Estrada Diamantina-Datas, Km 607, 18,3 km de Diamantina. Datas, Minas Gerais, Sudeste, Brasil, América do Sul","-43.6557998657227","-18.4456005096436","23532",NA,". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01761366' target='other'> <mi>dwc_moreinfo</mi></a>","auto","(L.B.Sm.) Rauh",NA,NA,"hb","P01761366","P01761366_01",NA,NA,NA,"1520",NA,NA,NA,NA
"10","2020-12-11 11:43:31-03","UFMG","BHCB","50273","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Encholirium","scrutor","Encholirium scrutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-08-31 09:20:16-03","INPA","INPA","228029","S","Plantae","Monocotyledon","Poales","Bromeliaceae","Encholirium","scrutor","Encholirium scrutor","Forzza, RC","2001",NA,NA,"Forzza, RC","2000","02","01","Brasil","Minas Gerais","Datas","Estrada Diamantina-Datas, Km 607, 18,3 km de Diamantina.","-43.6557998657227","-18.4456005096436","23532",NA,NA,"auto","(L.B.Sm.) Rauh","1520","Southern America",NA,"INPA0228029","INPA0228029 INPA0228029_e",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:10:27-03","FZB-BH","BHZB","11015","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","scrutor","Encholirium scrutor",NA,NA,NA,NA,"Soares, K.P.","2016","01","07","Brasil","MG","Diamantina","Trecho rod. entre Diamantina /Milho Verde","-43.6002998352051","-18.2493991851807","101169",NA,"unicata, ameaçado","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:10:27-03","FZB-BH","BHZB","11070","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","scrutor","Encholirium scrutor",NA,NA,NA,NA,"Soares, K.P.","2016","01","08","Brasil","MG","Diamantina","Trecho rod. entre Diamantina /Milho Verde","-43.6002998352051","-18.2493991851807","101169",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","3183260","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","scrutor","Encholirium scrutor",NA,NA,NA,NA,"M. M. Arbo, N. L. Menezes, A. Schinini & M. T. Campos","1991","2","15","Brazil","Minas Gerais","Diamantina","15 Km SE de Diamantina, camino ailho Verde","-43.55","-18.33",NA,"1",NA,NA,"(L.B. Sm.) Rauh","5142","South America - Neotropics",NA,"US01935075","US01935075_01","Monocotyledonae",NA,NA,NA,"1000",NA,NA,NA
