"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","typeStatus","class","infraspecificEpithet","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:25:10-03","UNESC","CRI","10398","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","Marcos Sobral","2011","Vanilde Citadini-Zanette; Robson dos Santos & Aurélio José de Aguiar","2000","10","31","Brasil","Santa Catarina","Governador Celso Ramos","Praia de Palmas.","-48.533333","-27.332778","48º32'0''W","27º19'58''S","Habito: Herbácea","CRI014228","CRI014228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","110","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","R. Trevisan","2010","Vanilde C. Zanette; A. Bortot","1982","03","10","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,"CRI002037","CRI002037","10","27","548","111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","39","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","R. Trevisan","2010","Vanilde C. Zanette","1981","03","20","Brasil","Santa Catarina","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S","Habito: ereta","CRI002034","CRI002034","10","27","433","111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:10-03","UNESC","CRI","13621","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","Renato Colares","2018","Renato Colares; Thuany Machado","2018","03",NA,"Brasil","Santa Catarina","Treviso","Campo Morozini","-49.453889","-28.535556","49º27'14''W","28º32'8''S","Habitat: Terrestre Habito: Herbácea","CRI012228",NA,"05","29",NA,"139","139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:25-03","UNESC","CRI","8675","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","R. Trevisan","2010","Polliana Zocche","2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,"CRI002033","CRI002033","10","27",NA,"111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:25-03","UNESC","CRI","8627","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","Ilsi I. Boldrini","2007","Polliana Zocche","2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,"CRI002035","CRI002035","12","12",NA,"111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:25-03","UNESC","CRI","8679","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","Ilsi I. Boldrini","2007","Polliana Zocche","2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,"CRI002036","CRI002036","12","12",NA,"111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:25-03","UNESC","CRI","777","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","R. Trevisan",NA,"Vanilde C. Zanette; C. M. Martinello","1991","07","02","Brasil","Santa Catarina","Criciúma","Antonio De Lucca.","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,"CRI002038","CRI002038",NA,NA,"1127","58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-07 11:39:00-02","NY","NYBG","01091808","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","annua","Fimbristylis annua",NA,"C. F. S. Muniz",NA,"E. L. M. Catharino","1992","11","25","Brazil","Mato Grosso do Sul","Brasilândia","Estrada Brasilândia-Joao André, várzea do Rio Paraná","-52.0367","-21.2558",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263801' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091808","NY01091808_01",NA,NA,"1773",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","44134","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","annua","Fimbristylis annua","(All.) Roem. & Schult.","R. Kral",NA,"D. E. Williams","1989","09","13","Bolivia","El Beni","José Ballivián","Carmen Florida. Tacana Indian village 7 km upstream of Rurrenabaque on Río Beni","-67.5","-14.5",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=723733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00044134",NA,NA,NA,"973","230","230","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
