"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","identifiedBy","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","individualCount","fieldNumber"
"1","2021-04-05 14:24:50-03","UNESC","CRI","7341","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvus","Oreopanax fulvus","Marchal","Vanilde C. Zanette; Robson dos Santos & Alecsandro S. Klein","2001","11","19","Brasil","Santa Catarina","Praia Grande","Canion de Itaimbezinho.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI000622","CRI000622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617196","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvum","Oreopanax fulvum","Marchal","M. Rossato","1987","05","31","Brazil","Rio Grande do Sul","Nova Prata","Nova Prata - Fazenda Palmeira Alta","-51.61","-28.7842",NA,NA,"NY00617196","NY00617196_01","Magnoliophyta","Apiales","S. F. Smith","2867","South America","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274415' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617199","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvum","Oreopanax fulvum","Marchal","G. Jönsson","1914","05","10","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,"NY00617199","NY00617199_01","Magnoliophyta","Apiales","P. K. H. Dusén","300a","South America","710","710","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274409' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","468625","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvum","Oreopanax fulvum","Marchal","L. Riedel",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00468625","NY00468625_01","Magnoliophyta","Apiales",NA,"363","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274416' target='other'> <mi>dwc_moreinfo</mi></a>","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617198","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvum","Oreopanax fulvum","Marchal","A. C. Brade","1940","07","11","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos - 7 Quedas",NA,NA,NA,NA,"NY00617198","NY00617198_01","Magnoliophyta","Apiales","J. G. Kuhlmann","16365","South America","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274411' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","617197","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvum","Oreopanax fulvum","Marchal","B. Rambo","1946","01","06","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Vila Oliva, Sao Francisco de Paula","-50.890537","-29.219297",NA,NA,"NY00617197",NA,"Magnoliophyta","Apiales","B. Rambo","30709","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274410' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617201","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvum","Oreopanax fulvum","Marchal","L. Gurgel","1929","02",NA,"Brazil","Paraná",NA,"Sao Mateus",NA,NA,NA,NA,"NY00617201","NY00617201_01","Magnoliophyta","Apiales","J. G. Kuhlmann","7","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274413' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","617202","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvum","Oreopanax fulvum","Marchal","A. C. Brade","1940","07","11","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos - Sete Chuedas",NA,NA,NA,NA,"NY00617202","NY00617202_01","Magnoliophyta","Apiales","J. G. Kuhlmann","16365","South America","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274412' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1039396","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvum","Oreopanax fulvum","Marchal","Vanuza","1978","05","15","Brazil","São Paulo","Campos do Jordão","Lagoinha, Propriedade do Sr° José Carlos R. Magalhaes.","-45.59","-22.73",NA,NA,"NY01039396","NY01039396_01","Magnoliophyta","Apiales","L. Malta","s.n.","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485798' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","617200","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvum","Oreopanax fulvum","Marchal","R. Reitz","1953","02","02","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, Sao José","-48.6272","-27.6156",NA,NA,"NY00617200","NY00617200_01","Magnoliophyta","Apiales",NA,"5407","South America","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274417' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","617195","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvum","Oreopanax fulvum","Marchal","J. A. Ferreira","1999","02","18","Brazil","Paraná",NA,"20 km antes de reserva",NA,NA,NA,NA,"NY00617195","NY00617195_01","Magnoliophyta","Apiales","J. Y. Tamashiro","s.n.","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274414' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01023419","PreservedSpecimen","Plantae","Araliaceae","Oreopanax","fulvus","Oreopanax fulvus","Marchal","J. C. Lindeman","1966","07","16","Brazil","Paraná",NA,"Climb to 2nd Planalto along highway Curitiba - Pontagrossa",NA,NA,NA,NA,"NY01023419",NA,"Magnoliophyta","Apiales","M. H. Nee","5657","South America","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191581' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
