"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2020-09-23 10:44:14-03","E","E","83569","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","hatschbachii","Aloysia hatschbachii","Kummrow, R. & da Cruz, J.M.","3324","1993","09","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92478","<a href=http://data.rbge.org.uk/herb/E00083569 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01093106","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","hatschbachii","Aloysia hatschbachii","G. G. Hatschbach","13472","1966","01","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1247100' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093106","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","Paraná","Piên","Pien","-49.4292","-26.0983","NY01093106_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","103876","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","hatschbachii","Aloysia hatschbachii","G. G. Hatschbach","16101","1967",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103876","Magnoliophyta","Lamiales","Moldenke",NA,"Paraná",NA,"Pien - Paraná",NA,NA,"NY00103876_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:25:26-03","UFBA","ALCB","032478","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","hatschbachii","Aloysia hatschbachii","Hatschbach, G; Ribas, OS","51897","1988","02","20","Southern America","Brasil",NA,NA,"2m, odorífero. Flores alvas. Afloramentos rochosos decompostos.",NA,"Dicotyledon",NA,"Moldenke","Hatschbach, G","Paraná","Pien","Arredores.","-49.416667","-26.083333",NA,NA,"1988","-49.416667","-26.083333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:34:13-03","NBC","NL-BOTANY","U.1751865","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","hatschbachii","Aloysia hatschbachii","Hatschbach GG; Ribas OS",NA,"1988","02","20","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1751865 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1751865",NA,"Lamiales","Moldenke",NA,"Paraná",NA,"Piên, arredores. Parana.",NA,NA,"NL-U1751865",NA,NA,NA,NA,"Magnoliopsidae","U 0257078",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:34:13-03","NBC","NL-BOTANY","WAG.1189308","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","hatschbachii","Aloysia hatschbachii","Hatschbach GG; Ribas OS",NA,"1988","02","20","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1189308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1189308",NA,"Lamiales","Moldenke",NA,"Paraná",NA,"Piên, arredores. Parana.",NA,NA,"NL-WAG1189308",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:20:27-03","ESALQ","ESA","91958","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","hatschbachii","Aloysia hatschbachii","Hatschbach, G. et al.","78039.0","2004","10","15",NA,"Brasil",NA,NA,NA,"ESA091958","Magnoliophyta",NA,"Moldenke","Hatschbach, G.","Paraná","Pien",NA,"-49.42919921875","-26.0981006622314","ESA091958",NA,NA,NA,NA,NA,NA,"19924","auto",NA,NA,NA,NA,NA
"8","2020-11-04 11:20:27-03","ESALQ","ESA","34372","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","hatschbachii","Aloysia hatschbachii","Cordeiro, J.","1302.0","1992","02","18",NA,"Brasil",NA,NA,NA,"ESA034372","Magnoliophyta",NA,"Moldenke","Hatschbach, G.","Paraná","Pien",NA,"-49.42919921875","-26.0981006622314","ESA034372",NA,NA,NA,NA,NA,NA,"19924","auto",NA,NA,NA,NA,NA
"9","2020-11-04 11:20:27-03","ESALQ","ESA","16401","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","hatschbachii","Aloysia hatschbachii","Hatschbach, G. ; Ribas, O.S.","51897.0","1988","02","20",NA,"Brasil",NA,NA,NA,"ESA016401","Magnoliophyta",NA,"Moldenke","Hatschbach, G.","Paraná","Pien",NA,"-49.42919921875","-26.0981006622314","ESA016401",NA,"1988",NA,NA,NA,NA,"19924","auto","01","01",NA,NA,NA
"10","2020-11-04 11:20:27-03","ESALQ","ESA","16340","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","hatschbachii","Aloysia hatschbachii","Kummrow, R. ; Cruz, J.M.","3324.0","1993","09","15",NA,"Brasil",NA,NA,NA,"ESA016340","Magnoliophyta",NA,"Moldenke","Hatschbach, G.","Paraná","Pien",NA,"-49.42919921875","-26.0981006622314","ESA016340",NA,"1993",NA,NA,NA,NA,"19924","auto","01","01",NA,NA,NA
