"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","previousCatalogNumber","barcode","typeStatus","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","eventTime","fieldNumber","sex"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3539","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","axillare","Cestrum axillare","Vell.","Carlos A. Ferreira Jr.","2018","06","23","Carlos Alberto Ferreira Júnior;","CAF1448","2014","08","30","Brasil","Minas Gerais","Belo Horizonte","Fundação Zoobotânica, beira da mata proximo a caixa d'agua do JB","-43.937801361084","-19.9207992553711","17082","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:27-03","E","E","96131","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Cestrum","laevigatum","Cestrum laevigatum",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,NA,NA,"AR","Prov. de Buenos Aires",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00096131 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:115080","E00096131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:27-03","E","E","190951","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Cestrum","laevigatum","Cestrum laevigatum",NA,NA,NA,NA,NA,"Saltzmann",NA,"1905","01","04","BR","Bahia",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00190951 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:214379","E00190951","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:27-03","E","E","190957","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Cestrum","laevigatum","Cestrum laevigatum",NA,NA,NA,NA,NA,"Hassler, E. (Dr.)","11520","1905","03","27","PY","Central",NA,"Paraguaria centralis: In regione lacus Ypacaray",NA,NA,NA,NA,"Lect. mens.: Febr.<a href=http://data.rbge.org.uk/herb/E00190957 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:214396","E00190957","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00198288","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","axillare","Cestrum axillare","Vell.","M. H. Nee",NA,NA,NA,"F. Mereles","3847","1990","03","21","Paraguay","Cordillera",NA,"Altos","-57.25","-25.28",NA,NA,"Facultad de Ciencias Qimicas U. N. A. (FCQ) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146426' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00198288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","684619","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","axillare","Cestrum axillare","Vell.","M. H. Nee",NA,NA,NA,"A. M. V. de Carvalho","6815","1999","09","25","Brazil","Bahia","Jussari","Ca. 7.5 km na estrada Jussari/Palmira. RPPN Serra do Teimoso.","-39.4953","-15.1917",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=835201' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00684619",NA,"NY00684619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","626898","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","axillare","Cestrum axillare","Vell.","M. H. Nee",NA,NA,NA,"R. Reitz","2005","1956","05","19","Brazil","Santa Catarina","Ibirama","Hôrto Florestal I.N.P.","-49.5178","-27.0569",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770646' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00626898",NA,"NY00626898_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1032765","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","axillare","Cestrum axillare","Vell.","M. H. Nee",NA,NA,NA,"L. M. Nascimento","107","1998","11","25","Brazil","Pernambuco","Brejo da Madre de Deus","Brejo da Madre de Deus. Mata do Malhada","-36.4","-8.1872222",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204161' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY01032765",NA,"NY01032765_01","565","960",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1144942","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","axillare","Cestrum axillare","Vell.","M. H. Nee",NA,NA,NA,"P. von Luetzelburg","262","1913",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301154' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY01144942",NA,"NY01144942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","911148","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","axillare","Cestrum axillare","Vell.","M. H. Nee",NA,NA,NA,"H. S. Irwin","2651","1959","02","18","Brazil","Minas Gerais","Viçosa","State Agricultural School, Viçosa.","-42.868031","-20.7613428",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991246' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00911148",NA,"NY00911148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
