"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","639078","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Agarista","nummularia","Agarista nummularia","(Cham. & Schltdl.) G.Don","W. S. Judd","B. Rambo","36724","1948","02","02","South America","Brazil","Rio Grande do Sul","Cambára, S. Fr. de Paula","-50.143208","-29.047894","sheet","SJ after Collector name <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=304831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639078","NY00639078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","639077","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Agarista","nummularia","Agarista nummularia","(Cham. & Schltdl.) G.Don","W. S. Judd","I. Fernandes","404","1988","08","27","South America","Brazil","Rio Grande do Sul","Montenegro, Morro do Cabrito","-51.4608","-29.6886","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=304830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639077","NY00639077_01","Montenegro","255","255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:00:47-03","NBC","NL-BOTANY","U.1270134","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Agarista","nummularia","Agarista nummularia","(Cham.) G.Don",NA,"Reitz R",NA,"1945","09","19","Southern America","Brazil",NA,"Plantas de Santa Catarina, Sombrio Campao do campo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1270134 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1270134","NL-U1270134",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:00:47-03","NBC","NL-BOTANY","L 0006634","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Agarista","nummularia","Agarista nummularia","(Cham.) G.Don","Sleumer HO","Malme GOA",NA,"1901","11","12","Southern America","Brazil","Rio Grande do Sul","Brasil: Rio Grande do Sol: Povo Novo pr. Pelotas",NA,NA,NA,"In silvae paludosae ora.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200006634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0006634","NL-L0006634",NA,NA,NA,"Magnoliopsidae","type","95871132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:00:47-03","NBC","NL-BOTANY","L 0006635","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Agarista","nummularia","Agarista nummularia","(Cham.) G.Don","Sleumer HO","Sello F",NA,NA,NA,NA,"Southern America","Brazil","Rio Grande do Sul","BRasilad Porto AlegreRio grande do Sul",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200006635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0006635","NL-L0006635",NA,NA,NA,"Magnoliopsidae","isotype","957349118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:00:47-03","NBC","NL-BOTANY","L.2602838","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Agarista","nummularia","Agarista nummularia","(Cham.) G.Don",NA,"Richter E",NA,NA,NA,NA,"Southern America","Brazil",NA,"Rio de Janeiro - Brasil: Rio Grande do Sul; Canela.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2602838 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2602838","NL-L2602838",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:00:47-03","NBC","NL-BOTANY","L.2602841","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Agarista","nummularia","Agarista nummularia","(Cham.) G.Don",NA,"Pabst GFJ; Pereira E",NA,"1961","10","24","Southern America","Brazil",NA,"Rio de Janeiro - Brasil, Brasil: Rio Gde. do Sul, Aparados da Serra.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2602841 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2602841","NL-L2602841",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:00:47-03","NBC","NL-BOTANY","L.2602842","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Agarista","nummularia","Agarista nummularia","(Cham.) G.Don",NA,"Reitz R; Klein RM",NA,"1958","10","23","Southern America","Brazil",NA,"Brasil: Sta. Catarina: Serra do Oratorio, Bom Jardim, S. Joaquim, Aparados da serra.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2602842 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2602842","NL-L2602842",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:00:47-03","NBC","NL-BOTANY","L.2602843","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Agarista","nummularia","Agarista nummularia","(Cham.) G.Don",NA,"Rambo B",NA,"1949","08","05","Southern America","Brazil",NA,"Brasil, Rio Grande do Sul: Cravataí.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2602843 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2602843","NL-L2602843",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:06:27-03","ESALQ","ESA","91653","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Agarista","nummularia","Agarista nummularia",NA,NA,"Toledo Jr. ; Brade",NA,"1912","12","01",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA091653","ESA091653","Jaraguá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:06:27-03","ESALQ","ESA","100094","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Agarista","nummularia","Agarista nummularia",NA,"Romão, G.O.","Martins","83.0","1959","02","01",NA,"Brasil","Rio Grande do Sul",NA,"-50.5835990905762","-29.4480991363525",NA,NA,"ESA100094","ESA100094","São Francisco de Paula",NA,NA,NA,NA,NA,"76715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:28:55-03","IAP","PACA-AGP","86624","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Agarista","nummularia","Agarista nummularia","(Cham. & Schltdl.) G. Don","Dalastra, C. H.","Sehnem, A.","8497","1965","10","31",NA,"Brasil","RS","prope urbem","-50.5835990905762","-29.4480991363525",NA,"Habitat: herba ignosa ad taimbé","PACA086624",NA,"São Francisco de Paula",NA,NA,"Magnoliatae",NA,NA,"76715","auto","2019","08","16",NA,NA,NA,NA,NA,NA
