"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","typeStatus","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:54-03","E","E","305279","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","leptoclada","Myrcia leptoclada","Cordeiro, J.; Hatschbach, G.","180","1985","11","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:311540","<a href=http://data.rbge.org.uk/herb/E00305279 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","386659","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","detergens","Aulomyrcia detergens dives","J. S. Blanchet","3442","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=486926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386659","Magnoliophyta","Myrtales","dives","O.Berg","isotype","Bahia","Igreja Velha","NY00386659_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1182716","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","detergens","Aulomyrcia detergens depauperata","J. S. Blanchet","3585","1842",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408164' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182716","Magnoliophyta","Myrtales","depauperata","O.Berg",NA,"Bahia","Moritiba.","NY01182716_01","Jacobina","-40.5183","-11.1806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","386660","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","detergens","Aulomyrcia detergens dives","J. S. Blanchet","3442","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=486927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386660","Magnoliophyta","Myrtales","dives","O.Berg","isotype","Bahia","Igreja Velha, prope urbem Jacobina","NY00386660_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182716","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","detergens","Aulomyrcia detergens depauperata","J. S. Blanchet","3585","1842",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408164' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182716","Magnoliophyta","Myrtales","depauperata","O.Berg",NA,"Bahia","Moritiba.","NY01182716_01","Jacobina","-40.5183","-11.1806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","386659","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","detergens","Aulomyrcia detergens dives","J. S. Blanchet","3442","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=486926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386659","Magnoliophyta","Myrtales","dives","O.Berg","isotype","Bahia","Igreja Velha","NY00386659_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","386660","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","detergens","Aulomyrcia detergens dives","J. S. Blanchet","3442","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=486927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386660","Magnoliophyta","Myrtales","dives","O.Berg","isotype","Bahia","Igreja Velha, prope urbem Jacobina","NY00386660_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","386671","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","hostmanniana","Aulomyrcia hostmanniana gracilior","W. R. Hostmann","881",NA,NA,NA,"South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386671","Magnoliophyta","Myrtales","gracilior","O.Berg","probable type",NA,NA,"NY00386671_01",NA,"-57.5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","386671","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","hostmanniana","Aulomyrcia hostmanniana gracilior","W. R. Hostmann","881",NA,NA,NA,"South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386671","Magnoliophyta","Myrtales","gracilior","O.Berg","probable type",NA,NA,"NY00386671_01",NA,"-57.5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","386675","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","paraensis","Aulomyrcia paraensis","R. Spruce","824",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386675","Magnoliophyta","Myrtales",NA,"O.Berg","isotype","Pará","In vicinibus Santarem.","NY00386675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
