"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:37-03","UNESC","CRI","4964","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","Ana Maria da Silva Claudino","Valdecir de Faveri","1996","11","05","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Habitat: solo arenoso Habito: árvore","CRI003763","CRI003763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:25-03","UNESC","CRI","14425","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","Kassner-Filho, A.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","2018","01","28","Brasil","Santa Catarina","Agrolândia","-49.770556","-27.54","49º46'14''W","27º32'24''S","915","915","flor alvascente Habitat: interior do fragmento Habito: árvore","CRI013518","CRI013518","2018","01","28","1856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:25-03","UNESC","CRI","503","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","Maria Salete Vicente","José Krás da Silva","1990","11","04","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI003635","CRI003635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:25-03","UNESC","CRI","5337","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","J. A. Jarenkow","J. A. Jarenkow","1991","12","22","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.906667","-27.462222","51º54'24''W","27º27'44''S",NA,NA,"Habitat: mata pluvial Habito: arbórea","CRI003742","CRI003742",NA,NA,NA,NA,"Mata do Sétimo Céu.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:37-03","UNESC","CRI","1520","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","J. B. Baitello","R. Negrelle","1993","01","21","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI003740","CRI003740",NA,NA,NA,NA,"Reserva Volta Velha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:37-03","UNESC","CRI","1521","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","J. B. Baitello","R. R. B. Negrelle; et al.","1992","10","15","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9",NA,"CRI003759","CRI003759",NA,NA,NA,"481","Reserva Volta Velha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:25-03","UNESC","CRI","9581","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","A. Stival-Santos","A. Stival-Santos; E. Legal & S. Silveira","2010","02","01","Brasil","Santa Catarina","Angelina","-49.049444","-27.630278","49º2'58''W","27º37'49''S","590","590","Ecótono Floresta Ombrófila Densa e Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arbórea","CRI003765","CRI003765","2010","02","01","1651","Rancho das Tábuas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:25-03","UNESC","CRI","1127","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","Marcos Sobral","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1992","03","13","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003762","CRI003762",NA,NA,NA,"1377","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:25-03","UNESC","CRI","10535","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","Marcos Sobral","Marcos Sobral","1992","01","10","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S",NA,NA,NA,"CRI003741","CRI003741","1992","01","10",NA,"Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:25-03","UNESC","CRI","1103","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","Vanilde Citadini- Zanette","Clair Maria Martinello; Aurélio José de Aguiar","1992","01","10","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003761","CRI003761",NA,NA,NA,NA,"Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:33:37-03","UNESC","CRI","5479","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","Vanilde Citadini- Zanette","Vanilde Citadini Zanette; V. Boff","1997","05","03","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Habitat: mata de restinga","CRI003764","CRI003764",NA,NA,NA,"2413","Ilhas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:25-03","UNESC","CRI","9498","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","A. Quinet","E.M. Martins; M. Verdi","2010","08","30","Brasil","Santa Catarina","Canoinhas","-50.384167","-26.193056","50º23'3''W","26º11'35''S","946","946","Floresta Ombrófila Mista","CRI003766","CRI003766","2010","09","15","1","Embrapa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:37-03","UNESC","CRI","840","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","Paulo Brack","Paulo Brack","1991","10","24","Brasil","Santa Catarina","Maracajá","-49.453056","-28.847222","49º27'11''W","28º50'50''S","12","12","Habitat: beira da mata","CRI003634","CRI003634",NA,NA,NA,NA,"Mata da BR 101.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:25-03","UNESC","CRI","9645","PreservedSpecimen","Plantae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","A. Korte","A. Korte; A. Kniess","2010","03","17","Brasil","Santa Catarina","Apiúna","-49.393611","-27.180278","49º23'37''W","27º10'49''S","793","793","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003757","CRI003757","2010","04","05","2173","Faxinalzinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
