"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","phylum","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified"
"1","2016-07-05 11:14:20-03","FFCLRP","LBMBP","1139","S","Plantae","Orchidaceae","Scuticaria","strictifolia","Scuticaria strictifolia","Hoehne","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:41:12-03","UFJF","CESJ","64403","PreservedSpecimen","Plantae","Orchidaceae","Scuticaria","strictifolia","Scuticaria strictifolia","Hoehne","L. Menini Neto","Angiosperma","2011","T.A. Batista; C. Moraes; C. Boechat","233","2011","01","24","América do Sul","Brasil","Minas Gerais","Itamonte","Hotel Casa Alpina, Próximo à estação meteorológica. 22°22,47'S, 44°48,61'W. 1908 m.s.m.","-44.8699989318848","-22.283899307251","26914","Epífita sobre Roupala rhombifolia, a ca. 3,5 m. alt. Flor amarela maculada de castanho. Face abaxial das sépalas douradas e brilhantes.","CESJ064403","auto",NA,NA
"3","2020-07-02 18:55:45-03","UFJF","CESJ","48826","PreservedSpecimen","Plantae","Orchidaceae","Scuticaria","strictifolia","Scuticaria strictifolia","Hoehne","N.L. Abreu","Angiosperma","2007","N.L. Abreu; K. Antunes; P.L. Viana; F.S. Souza; N.F.O. Mota; T.E. Almeida; A.M. Teles; B.No","172","2007","04","10","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Região do Burro de Ouro.","-43.8278007507324","-22.0891990661621","20815","Erva saxícola, no campo. Pétalas e sépalas creme amareladas, maculadas de castanho. Labelo creme, lobo mediano estriado de vináceo, calosiadade creme com estrias longitudinais vináceas. Folhas verdes, carnosas. Pedúnculo castanho, brácteas estramíneas.","CESJ048826","auto","04","13"
