"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","579573","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","phaea","Campomanesia phaea","(O.Berg) Landrum","L. R. Landrum","L. R. Landrum","4197","1982","01","26","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, Jardim Botanico. Near Museu Kulhman.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579573","NY00579573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","579574","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","phaea","Campomanesia phaea","(O.Berg) Landrum","L. R. Landrum","L. R. Landrum","4192","1982","01","27","South America","Brazil","Rio de Janeiro","Teresópolis","Teresópolis, Parque Nacional Serra dos Orgaos, near main entrance. Tree near parking lot.","-42.9656","-22.4122","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579574","NY00579574_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579571","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","phaea","Campomanesia phaea","(O.Berg) Landrum","L. R. Landrum","P. C. Porto","890","1919",NA,NA,"South America","Brazil","São Paulo",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579571","NY00579571_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579572","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","phaea","Campomanesia phaea","(O.Berg) Landrum","L. R. Landrum","L. R. Landrum","4013","1981","12","20","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo, Jardim Botanico.","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579572","NY00579572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579570","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","phaea","Campomanesia phaea","(O.Berg) Landrum",NA,"A. H. Gentry","4686","1987","02","04","South America","Brazil","São Paulo","Boracéia","Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Serra do Mar. Transect 10.","-46","-23.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579570","NY00579570_01","870","870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:34-03","UFRJ","RFA","21085","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","phaea","Campomanesia phaea","(O.Berg) Landrum","M. Sobral","P. Occhioni","9268","1983","03","00",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, cultivada","-43.2075004577637","-22.9027996063232",NA,"Arbusto copado; fruto imaturo","RFA17428",NA,NA,NA,"2001","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-12 15:31:46-03","UFABC","HUFABC","000405","PreservedSpecimen","Plantae","Angiospermas",NA,"Myrtaceae","Campomanesia","phaea","Campomanesia phaea","(O. Berg.) L. R. Landrum",NA,"Mourad, B M","27","2014","02","11",NA,"Brasil","São Paulo","Santo André","Vila de Paranapiacaba, R. Direita","-46.5299987792969","-23.6599998474121",NA,"Nome popular: Cambuci; alor medicinal: pedra nos rins e inflamações","HUFABC000405","HUFABC000405",NA,NA,NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:05:56-03","NBC","NL-BOTANY","U 0004973","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Campomanesia","phaea","Campomanesia phaea","(O.Berg) Landrum","Landrum LR","Riedel L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Capao dictis pr. Mugy dos Cruzes",NA,NA,NA,"In sylvis<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004973 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004973","NL-U0004973",NA,NA,NA,NA,NA,"Magnoliopsidae","isotype","66133 B",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:22-03","ESALQ","ESA","68271","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Campomanesia","phaea","Campomanesia phaea","(O.Berg) Landrum","Oliveira, A.A.","Oliveira, A.A.; Passold, A.J.; Nogueira, L.; Matteo, B.C.; Giarola, N.; Fonseca, M.G.; Gandolfi, S.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3683.0","2000","04","24",NA,"Brasil","São Paulo","Mogi das Cruzes - estrada Usaca","Estrada Usaca em torno da represa Casa Grande da Sabesp - Planalto Paulistano. Floresta Ombrófila Densa de Planalto, com perturbação","-455.734","-233.917",NA,"Árvore com 7 metros. Frutos imaturos verdes.","ESA068271","ESA068271","800","800",NA,NA,NA,NA,NA,NA,"-455,734","-233,917",NA,NA,NA,NA,NA
"10","2020-11-04 11:14:22-03","ESALQ","ESA","114827","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Campomanesia","phaea","Campomanesia phaea",NA,"Sobral, M.","Campos, M.C.R.","351.0","2006","05","06",NA,"Brasil","São Paulo","Picinguaba",NA,NA,NA,NA,NA,"ESA114827","ESA114827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
