"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","individualCount","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","2423377","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","gustavoi","Aechmea gustavoi","J.A.Siqueira & Leme","P. Leitman","262","2011","07","03","South America","Brazil","Bahia","Arataca","Parque Nacional de Serra das Lontras, trilha do Talhão","-39.34292","-15.18056","373","679","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2696100' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423377","NY02423377_01",NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 15:02:00-03","MO","MOBOT","101223856","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Karawata","gustavoi","Karawata gustavoi","(J.A.Siqueira & Leme) J.R. Maciel & G.M. Sousa","Elton M. C. Leme","Leme 4652","2000","9","8","South America","Brazil","Pernambuco","Jaqueira","Ursina Frei Caneca, Mata do Jasmin,","-35.8369444","-8.0708334","650.00000000",NA,NA,NA,NA,NA,"fide Maciel et al.","Holotype","1",NA,NA,NA,NA
"3","2021-03-01 11:55:08-03","UFPE","UFP","30134","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Aechmea","gustavoi","Aechmea gustavoi","J.A. Siqueira-Filho & Leme","Siqueira-Filho, JA","1091","2000","09","08",NA,"Brasil","Alagoas","Jaqueira",NA,"-35.833611","-8.710278","700","700",NA,"Espécie de hábito facultativo. Folhas internas róseas durante a floração e folhas externas com 9186-195x3,8-4,3cm), folhas internas (29-86cm) bainha foliar (7,5-8cm) Escapo floral (19cm) . Inflorescência congesta. Flores com 67-68mm co","UFP030134",NA,"Siqueira-Filho, JA","holotype",NA,"2000","09","-35.833611","-8.710278"
"4","2021-03-01 11:55:08-03","UFPE","UFP","79973","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Aechmea","gustavoi","Aechmea gustavoi","J.A. Siqueira-Filho & Leme","Maciel, JR; Amorim, BS; Cavalcanti, D; Melo, A","1929","2014","04","29",NA,"Brasil","Pernambuco","Jaqueira",NA,"-35.842222","-8.725556",NA,NA,NA,"Roseta craterifome com 20-30 folhas.; Mata do Jasmim. Floresta submontana. Epífita acima de 15 metros de altura.","UFP079973",NA,NA,NA,NA,NA,NA,"-35.842222","-8.725556"
"5","2020-07-23 12:00:44-03","CEPLAC","CEPEC","133196","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gustavoi","Aechmea gustavoi",NA,"Leitman, P.M.","262","2001","07","03",NA,"Brasil","Bahia","arataca","Parque Nacional da Serra das Lontras, trilha do Talhão.","-39.35","-15.180556","373","373",NA,"Muito frequentes e muitos indivíduos em flor.",NA,NA,"R.C.Forzza",NA,NA,NA,NA,"39W20'60","15S10'50"
"6","2019-11-21 10:02:25-03","IBt","SP","366763","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gustavoi","Aechmea gustavoi","J.A.Siqueira & Leme","Martinelli, G; Barbará, T","15377","1999","05","08",NA,"Brasil","Bahia","Teolândia","Presidente Tancredo Neves, localidade de Serra do homem, mata atlântica primária.","-39.576944","-13.505833","500","550",NA,NA,NA,NA,"Sousa, GM",NA,NA,"2004","05","-39.576944","-13.505833"
