"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","typeStatus","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","order","individualCount","fieldNumber","class","dayIdentified"
"1","2020-09-23 10:42:40-03","E","E","305497","PreservedSpecimen","Plantae","Polytrichaceae","Itatiella","ulei","Itatiella ulei","Dusén, P.","746","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:313633","<a href=http://data.rbge.org.uk/herb/E00305497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:40-03","E","E","305499","PreservedSpecimen","Plantae","Polytrichaceae","Itatiella","ulei","Itatiella ulei","Schafer-Verwimp, A.","11189","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:313632","<a href=http://data.rbge.org.uk/herb/E00305499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305499","1989","06","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:40-03","E","E","305498","PreservedSpecimen","Plantae","Polytrichaceae","Itatiella","ulei","Itatiella ulei","Vital, D.M. & Buck, W.R.","11764","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:313631","<a href=http://data.rbge.org.uk/herb/E00305498 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305498","1984","09","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","892220","PreservedSpecimen","Plantae","Polytrichaceae","Itatiella","ulei","Itatiella ulei","D. M. Vital","19923","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00892220","1991","07","07","Bryophyta","(Broth.) G.L.Sm.","Minas Gerais","Parque Nacional do Itatiaia, along entry road near border with Rio de Janeiro at Km 8.5","-44.75","-22.37","2150","2150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1834772","PreservedSpecimen","Plantae","Polytrichaceae","Itatiella","ulei","Itatiella ulei","P. K. H. Dusén","357","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2103490' target='other'> <mi>dwc_moreinfo</mi></a>","NY01834772","1902","05","16","Bryophyta","(Broth.) G.L.Sm.",NA,"Serra do Itatiaia",NA,NA,"2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","892221","PreservedSpecimen","Plantae","Polytrichaceae","Itatiella","ulei","Itatiella ulei","D. M. Vital","19681","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00892221","1991","07","05","Bryophyta","(Broth.) G.L.Sm.","Minas Gerais","Parque Nacional do Itatiaia, vicinity of Brejo da Lapa, at Km 8 along entry road near border of Rio de Janeiro","-44.75","-22.37","2120","2120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01834771","PreservedSpecimen","Plantae","Polytrichaceae","Itatiella","ulei","Itatiella ulei","D. M. Vital","4871","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2103488' target='other'> <mi>dwc_moreinfo</mi></a>","NY01834771","1974","09","24","Bryophyta","(Broth.) G.L.Sm.","Rio de Janeiro","along the trail near Abrigo Rebouças, PNI",NA,NA,"2350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","892216","PreservedSpecimen","Plantae","Polytrichaceae","Itatiella","ulei","Itatiella ulei","D. M. Vital","11756","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00892216","1984","09","16","Bryophyta","(Broth.) G.L.Sm.","Espírito Santo","Parque Nacional do Caparaó, along trail from Terreirao to the summit of Pico da Bandeira","-41.72","-20.42","2350","2890","G. L. Smith","Iúna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","892215","PreservedSpecimen","Plantae","Polytrichaceae","Itatiella","ulei","Itatiella ulei","D. M. Vital","11746","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00892215","1984","09","16","Bryophyta","(Broth.) G.L.Sm.","Espírito Santo","Parque Nacional do Caparaó, along trail from Terreirao to the summit of Pico da Bandeira","-41.72","-20.42","2350","2890","G. L. Smith","Iúna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 01:26:00-03","NY","NYBG","01167437","PreservedSpecimen","Plantae","Polytrichaceae","Itatiella","ulei","Itatiella ulei","A. Schäfer-Verwimp","8325","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301535' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167437","1987","04","17","Bryophyta",NA,"Rio de Janeiro","Serra de Itatiaia bei Visconde de Mauá, and der Strasse nach Marombá",NA,NA,"1450","1450","A. Schäfer-Verwimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
