"record_id","modified","institutionCode","collectionCode","basisOfRecord","kingdom","phylum","class","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","decimalLongitude","decimalLatitude","catalogNumber","barcode","imagecode","scientificNameAuthorship","stateProvince","county","locality","verbatimLongitude","verbatimLatitude"
"1","2019-09-04 18:57:09-03","F","FMNH-SEEDPLANTS","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae","Acanthaceae","Ruellia","chamaedrys","Ruellia chamaedrys","Type [status unknown]","J. B. E. Pohl","3632","South America","Brazil","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-03-13 19:30:26-03","F","FMNH-SEEDPLANTS","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae","Acanthaceae","Ruellia","chamaedrys","Ruellia chamaedrys",NA,NA,NA,"South America","Brazil","-52.8731","-10.8339","V0251067F","V0251067F","V0251067F_01",NA,NA,NA,NA,NA,NA
"3","2015-03-13 19:30:26-03","F","FMNH-SEEDPLANTS","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae","Acanthaceae","Ruellia","chamaedrys","Ruellia chamaedrys",NA,NA,NA,"South America","Brazil","-52.8731","-10.8339","V0251069F","V0251069F","V0251069F_01",NA,NA,NA,NA,NA,NA
"4","2015-03-13 19:30:26-03","F","FMNH-SEEDPLANTS","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae","Acanthaceae","Ruellia","chamaedrys","Ruellia chamaedrys",NA,NA,NA,"South America","Brazil","-52.8731","-10.8339","V0251070F","V0251070F","V0251070F_01",NA,NA,NA,NA,NA,NA
"5","2017-09-11 16:26:09-03","UnB","HBVIRTFLBRAS","O","Plantae",NA,NA,"Acanthaceae","Dipteracanthus","chamaedrys","Dipteracanthus chamaedrys",NA,"Pohl, JBE","s.n.","Southern America","Brazil","-46.64","-23.55",NA,NA,NA,"Nees","São Paulo","São Paulo","Ad Arrayal da Penha, prov. S. Pauli","-46.64","-23.55"
