"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","fieldNumber","individualCount","class","typeStatus"
"31","2019-11-01 14:59:48-03","UnB","UB","41420","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Indigofera","guaranitica","Indigofera guaranitica","Hassl.","Incógnito","Macedo, M","2290","1989","08",NA,"Southern America","Brasil","Distrito Federal","Brasília","Fazenda Rosalina","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-01 14:59:48-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Indigofera","guaranitica","Indigofera guaranitica","Hassl.","Duré, R","Heringer, EP; Ravenna","15441","1976","03","12","Southern America","Brasil","Distrito Federal","Brasília","Fercal","-47.9296989440918","-15.7797002792358",NA,"Planta crescendo sobre o solo atapetando - a; Afloramento calcáreo, escombros resultante da atividade industrial da rocha",NA,NA,"70570","auto","1988","04",NA,NA,NA,NA,"20",NA,NA,NA,NA
"33","2019-11-01 14:59:48-03","UnB","UB","111219","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Indigofera","guaranitica","Indigofera guaranitica","Hassl.","Proença, CEB","Cezare, CHG; Souza-Silva, S; Raimundo, R","14","2007","09","25","Southern America","Brasil","Goiás","Luziânia","Hidrelétrica de Corumbá III, área a ser desmatada para enchimento do reservatório","-48.0156","-16.6362",NA,"Arbusto 1m; Banco de areia na margem esquerda do rio Corumbá. Topologia: Plano.",NA,NA,NA,NA,NA,NA,"-48.0156","-16.6362","751","751",NA,NA,NA,NA,NA
"34","2019-11-01 14:59:48-03","UnB","UB","41419","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Indigofera","guaranitica","Indigofera guaranitica","Hassl.","Incógnito","Conceição, AC","2460","1989","02","04","Southern America","Brasil","Mato Grosso do Sul","Miranda","Miranda","-56.366667","-20.233333",NA,NA,NA,NA,NA,NA,NA,NA,"-56.366667","-20.233333",NA,NA,NA,NA,NA,NA,NA
"35","2021-02-08 12:41:51-03","UFRGS","ICN","068596","S","Plantae","Dicotyledon",NA,"Fabaceae","Indigofera","guaranitica","Indigofera guaranitica","Chodat & Hassl.","Teixeira, S de P","Leitão Filho, HF; et al.","12485","1981","04","14","América do Sul","Brasil","SP","Buritizal",NA,"-47.7000007629395","-20.1900005340576",NA,"Subarbusto até 80cm. Ramoso; flroes lilás-avermelhadas.; Nativo em cerrado na rod. de acesso à cidade.","ICN00022791","ICN00022791 ICN00022791_1","15008","auto","2004","10",NA,NA,NA,NA,"14",NA,NA,NA,NA
"36","2021-02-08 12:41:51-03","UFRGS","ICN","061727","S","Plantae","Dicotyledon",NA,"Fabaceae","Indigofera","guaranitica","Indigofera guaranitica","Chodat & Hassl.","Eisinger, S","Filho, JAC","3",NA,NA,NA,"América do Sul","Brasil","MS","Corumbá","Fazenda Firme, Pantanal Nhecolândia","-57.6533012390137","-19.0091991424561",NA,"em caronal, relativamente escasso, pastoreado; Pantanal Matogrossense","ICN00022792","ICN00022792","295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-02-08 12:41:51-03","UFRGS","ICN","061726","S","Plantae","Dicotyledon",NA,"Fabaceae","Indigofera","guaranitica","Indigofera guaranitica","Chodat & Hassl.",NA,"Coradin, L; et al.","1237",NA,NA,NA,"América do Sul","Brasil","PE","Petrolina","BR 428 Petrolina-Salgueiro, beira da estrada, km 7","-40.5008010864258","-9.39861011505127",NA,"folha, flor e fruto; caatinga","ICN00022789","ICN00022789 ICN00022789_1","90462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-02-08 12:41:51-03","UFRGS","ICN","048685","S","Plantae","Dicotyledon",NA,"Fabaceae","Indigofera","guaranitica","Indigofera guaranitica","Chodat & Hassl.",NA,"Schinini, A; et al.","19129",NA,NA,NA,"América do Sul","Argentina","Corrientes","Lavalle","3km de Yataity Calle, ruta 120",NA,NA,NA,"ramas postradas, flores anaranjadas, em palmar de butia yatay, suelo arenoso","ICN00022790","ICN00022790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 10:05:44-03","IBt","SP","42509","S","Plantae",NA,NA,"Fabaceae","Indigofera","guaranitica","Indigofera guaranitica","Hassl.","Duré, R","Falzoni, E","11","1935",NA,NA,NA,"Brasil","Minas Gerais","Pedro Leopoldo",NA,"-44.043098449707","-19.6180992126465",NA,NA,"SP027013","SP027013","17853","auto","1987","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2015-11-04 08:41:58-02","UM","RECOLNAT_UM_MPU","MPU024236","PreservedSpecimen",NA,NA,NA,"Fabaceae","Indigofera","guaranitica","Indigofera guaranitica","Hassl.",NA,"Hassler, E.",NA,"1912","1",NA,NA,"Paraguay",NA,NA,"In altaplanitie Sierra de Amanbay",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu024236' target='other'> <mi>dwc_moreinfo</mi></a>","MPU024236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12027",NA,NA,"isosyntype"
