"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","330738","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.","T. D. Pennington","M. Silveira","1566","1996","11","24","South America","Brazil","Acre","Manoel Urbano","Rio Purus, margem esquerda, seringal Nova Olinda, colocaçao Nova Olinda.","-69.7358","-9.0425","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522312' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330738","NY00330738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","709227","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.","T. D. Pennington","A. R. S. de Oliveira","307","1994","08","27","South America","Brazil","Acre","Xapuri","Reserva Extravista Chico Mendes, Seringal Independência, colocaçao Nova Olinda.","-68.5042","-10.6519","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709227","NY00709227_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","866847","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.","T. D. Pennington","C. A. Cid Ferreira","10805","1992","03","14","South America","Brazil","Acre","Marechal Thaumaturgo","Upper Rio Juruá, left bank, Tapauna, seringal Sao Joao","-72.23","-9.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00866847","NY00866847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1163436","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.",NA,"B. A. Krukoff","5122","1933","07","01","South America","Brazil","Amazonas",NA,"Basin of Rio Jurua. Near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320152' target='other'> <mi>dwc_moreinfo</mi></a>","NY01163436","NY01163436_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01212086","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.","T. D. Pennington","B. A. Krukoff","5201","1933","07","05","South America","Brazil","Amazonas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461886' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212086","NY01212086_01 NY01212086_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1163435","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.",NA,"B. A. Krukoff","5122","1933","07","01","South America","Brazil","Amazonas",NA,"Basin of Rio Jurua. Near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320148' target='other'> <mi>dwc_moreinfo</mi></a>","NY01163435","NY01163435_01 NY01163435_02","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","866848","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.","T. D. Pennington","D. C. Daly","8002","1993","11","02","South America","Brazil","Acre","Porto Acre","Rio Acre, basin of Rio Purus, Reserva Florestal de Humaitá, 4 hours downstream from Rio Branco by inboard-engine boat","-67.63","-9.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00866848","NY00866848_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:04:34-03","NBC","NL-BOTANY","L.1081669","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.",NA,"Krukoff BA",NA,"1933","07","01","Southern America","Brazil","Amazonas",NA,"Basin of Rio JuruaState of Amazonas; near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1081669 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1081669","NL-L1081669",NA,"Magnoliopsidae","-70.25","-7.5","U 0055877 | Uw 19776",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U 0055878","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.",NA,"Krukoff BA",NA,"1933","07","01","Southern America","Brazil","Amazonas",NA,"Basin of Rio JuruaState of Amazonas; near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200055878 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0055878",NA,NA,"Magnoliopsidae","-70.25","-7.5","Uw 19776",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1592895","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.","Rudas A","Pipoly JJ",NA,"1991","04","13","Southern America","Colombia","Amazonas",NA,NA,"-70.25","-3.783333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592895 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592895","NL-U1592895",NA,"Magnoliopsidae","-70.25","-3.783333","U 0080326",NA,NA,NA,NA,NA,NA,NA
