"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","barcode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","year","month","day","occurrenceRemarks","imagecode","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","individualCount","preparationType","dayIdentified"
"1","2021-03-30 12:53:09-03","EAO","IAN","66605","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Briza","scabra","Briza scabra","(Nees) Ekman","Dutra, AP","114","Southern America","Brasil","Rio Grande do Sul","Suburbios de São Leopoldo.","IAN066605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:53:09-03","EAO","IAN","65545","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Briza","scabra","Briza scabra","(Nees) Ekman","Orth, C","4","Southern America","Brasil","Rio Grande do Sul",NA,"IAN065545","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:53:09-03","EAO","IAN","68095","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Briza","scabra","Briza scabra","(Nees) Ekman","Dutra, AP","339","Southern America","Brasil","Rio Grande do Sul",NA,"IAN068095","São Leopoldo","-51.1472015380859","-29.7602996826172","10287","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:53:09-03","EAO","IAN","66358","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Briza","scabra","Briza scabra","(Nees) Ekman","Dutra, AP","583","Southern America","Brasil","Rio Grande do Sul","Quinta de São Manoel.","IAN066358","São Leopoldo","-51.1472015380859","-29.7602996826172","10287","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:16:32-03","NBC","NL-BOTANY","AMD.125076","PreservedSpecimen","Plantae",NA,"Gramineae","Briza","scabra","Briza scabra","(Nees ex Steud.) Ekman","Herter WG",NA,"Southern America","Uruguay",NA,"Dep. de Rocha. Loc. Dict. Castillos.","NL-AMD125076",NA,NA,NA,NA,NA,"Magnoliopsidae","Poales","1931","11","01","<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.125076 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD125076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-19 10:24:47-03","CPAP","CPAP","9522","PreserverdSpecimen","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees ex Steud.) Ekman","Pott, A.","6062",NA,"Brasil","PR","Sede do Centro Nacional de Pesquisa de Florestas, Embrapa, Km 111 estrada da Ribeira",NA,"Colombo","-49.233333","-25.333333",NA,NA,NA,NA,"1991","11","06","Erva cespitosa, perene, de ciclo hibernal. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: Frequente. AMBIENTE: Arboreto, periodicamente gradeado ou ceifado. SUBSTRATO: solo argiloso. RELEVO: ondulado.",NA,"A. Pott","1991","49°14' W","25°20' S","920","920",NA,NA,NA,NA
"7","2019-11-25 12:12:28-03","UFSM","SMDB","18085","S","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees) Ekman","Vall, JFM","1578",NA,"Brasil","Rio Grande do Sul","rodovia BR 116, Km 205,5","SMDB018085","Vacaria","-50.9338989257812","-28.5121994018555","63451","auto",NA,NA,"1971","09","16","Em campo com relevo movimentado. Pequena colônia entremeada com a vegetação de maior porte. Doação do ICN 009682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-27 14:32:56-03","UFSM","SMDB","19124","S","Plantae",NA,"Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","Valls, J; et al.","2433",NA,"Brasil","Rio Grande do Sul","BR-116, Km 205","SMDB019124","Vacaria","2",NA,NA,NA,NA,NA,"1972","11","15",NA,NA,"Longhi-Wagner, HM","2016","2",NA,NA,NA,"02",NA,NA,NA
"9","2020-12-21 16:40:07-03","MBM","MBM","197310","PreservedSpecimen","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees ex Steudel) Ekman","Dombrowski, L.T.","4754","Southern America","Brazil","Paraná","Barigui","MBM197310","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,"Clayton, W.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:40:07-03","MBM","MBM","197309","PreservedSpecimen","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees ex Steudel) Ekman","Dombrowski, L.T.; et al.; et al.","953","Southern America","Brazil","Paraná","Capão da Imbuia","MBM197309","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,"Clayton, W.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA
