"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","class","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1104818","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade","isotype","A. C. Brade","19278","1948","08","12","South America","Brazil","Espírito Santo","Castelo. Forno Grande, Pico","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1295421' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104818","NY01104818_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 21:32:23-03","UFBA","ALCB","021529","PreservedSpecimen","Plantae","Dicotyledon",NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Shepherd, GJ; Pereira, OJ","s/n","1984","06","16","Southern America","Brasil","Espírito Santo","Pedra Azul.",NA,"Rupicula. Flores esverdeadas.",NA,NA,"Calió, MF","2008","01","Domingos Martins","-40.65","-20.35","-40.65","-20.35",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:21:11-03","NBC","NL-BOTANY","U 0090688","PreservedSpecimen","Plantae",NA,"Gentianales","Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade","holotype","Brade AC",NA,NA,NA,NA,"Southern America","Brazil","Espírito Santo",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200090688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0090688",NA,"Struwe L","2010","05",NA,NA,NA,NA,NA,"Magnoliopsidae","05",NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:21:11-03","NBC","NL-BOTANY","U.1346198","PreservedSpecimen","Plantae",NA,"Gentianales","Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Hatschbach GG; Silva JM",NA,"1985","06","15","Southern America","Brazil",NA,"Pedra Azul (mun. Domingos Martins) Espiritu Santo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1346198 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1346198","NL-U1346198",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:21:11-03","NBC","NL-BOTANY","U.1346199","PreservedSpecimen","Plantae",NA,"Gentianales","Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Pereira OJ; et al.",NA,"1987","10","29","Southern America","Brazil","Espírito Santo",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1346199 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1346199","NL-U1346199","Thiv M",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"U 0136496",NA,NA,NA,NA,NA
"6","2021-03-24 17:09:13-03","UFES","SAMES","7761","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Wandekoken,D.T.","41","2016","03","01",NA,"Brasil","Espírito Santo","Parque da pedra azul.",NA,"Rupícola a pleno sol.","SAMES07761",NA,"Wandekoken,D.T.","2016","03","Domingos Martins","-40.6591987609863","-20.3633003234863","-410447222.0","-206700000.0",NA,"05",NA,"48150","auto",NA,NA,NA
"7","2021-03-01 16:31:42-03","UNICAMP","UEC","193163","S","Plantae","Magnoliopsida",NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Monteiro, D; et al.","845","2013","08","06",NA,"Brazil","Espírito Santo","Parque Estadual do Forno Grande",NA,"Erva ca. 60 cm alt, folha discolor, brilhante na face adaxial; cálice vináceo-esverdeado, escapo roxo; Em inselberg","UEC128930","UEC128930","Calió, MFA","2016","07","Castelo","-41.094444","-20.509167","-41.094444","-20.509167",NA,"27",NA,NA,NA,"1129","1129",NA
"8","2019-08-20 10:15:38-03","UNICAMP","UEC","36664","S","Plantae","Magnoliopsida",NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Shepherd, GJ","447","1984","06","16",NA,"Brazil","Espírito Santo","Rod. Vitória - Belo Horizonte - km 89. L",NA,"flor, Sobre rocha. 50 cm. Erva. Flores amarelo-esverdeadas.","UEC134563","UEC134563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000","1000",NA
"9","2020-02-10 17:53:25-03","UNICAMP","UEC","5444","S","Plantae","Magnoliopsida",NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5834","1977","09","07",NA,"Brazil","Espírito Santo","Estrada entre Manhuaçu e Vitória. Km 89.",NA,"flor, Erva de 60 cm. Flores verdes. Em encosta de rochas graníticas.","UEC054929","UEC054929","Calió, MFA","2008","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000","1000",NA
"10","2020-04-27 16:10:06-03","UFES","VIES","39353","S","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Wandekoken, D.T.","41","2016","03","01",NA,"Brasil","Espírito Santo","Parque da pedra azul.",NA,NA,"VIES039353","VIES039353","Wandekoken, D.T.","2016","03","Domingos Martins","-41.024167","-20.401389","41º1'27''W","20º24'5''S",NA,"05",NA,NA,NA,NA,NA,NA
"11","2021-02-12 18:12:10-03","UFES","VIES","447","S","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Sheppard, G.J.; Pereira, O.J.","s.n.","1984","06","16",NA,"Brasil","Espírito Santo","Pedra Azul.",NA,NA,"VIES000447","VIES000447","Tamashiro, J.Y.","1988",NA,"Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,NA,"48150","auto",NA,NA,NA
"12","2019-06-27 10:25:18-03","UFES","VIES","2022","S","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Pereira, O.J.; Fabris, L.C. & Gomes, J.M.L.","1333","1987","10","29",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES002022","VIES002022","Maas, H.","1999",NA,"Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,NA,"48150","auto",NA,NA,NA
"13","2020-03-21 15:33:03-03","UTFPR","HCF","30856","S","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"R.C. Forzza","4955","2008","02","12",NA,"Brasil","ES","Parque Estadual do Forno Grande. Trilha",NA,"erva entre bromélias, em solo arenoso sobre rocha. Folhas discolores. Flores com cálice verde-claro até ócre. Corola verde clara, gineceu e filetes verdes, anteras castanhas. Alt: 1100-1400 m. Área com Inselbergs.",NA,NA,NA,NA,NA,"Castelo","-41.083611","-20.516111","41°05'01 W","20°30'58 S",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:28:58-03","MBM","MBM","392909","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Forzza, R.C.; Fraga, C.N.; Kollmann, L.; Fontanna, A.P.; Labiak, P.H.; Fraga, C.N.; Kollmann, L.; Fontanna, A.P.; Labiak, P.H.","4955","2008","02","12","Southern America","Brazil","Espírito Santo","Parque Estadual do Forno Grande, Trilha para o Forninho",NA,"Erva entre bromélias, em solo arenoso sobre rocha. Folhas discolores. Flores com cálice verde-claro até ocre; corola verde-clara; gineceu e filetes verdes, anteras castanhas.; Floresta Ombrófila Densa Altomontana com inselbergues.","MBM392909","MBM392909",NA,NA,NA,"Castelo","-41.083611","-20.516111","-41.083611","-20.516111",NA,NA,NA,NA,NA,"1100","1400",NA
"15","2020-12-21 16:28:58-03","MBM","MBM","104351","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","49407",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Pedra Azul",NA,NA,"MBM104351","MBM104351","Maas, P.J.M.",NA,NA,"Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,NA,"48150","auto",NA,NA,NA
"16","2020-12-21 16:28:58-03","MBM","MBM","353490","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade","ISOTYPE","Brade, A.C.","19278","1948","08","12","Southern America","Brazil","Espírito Santo","Forno Grande, Pico",NA,"Cálice verde claro, corolla esverdeada; Cálice verde claro, corolla esverdeada.","MBM353490","MBM353490",NA,NA,NA,"Castelo","-41.184700012207","-20.6035995483398",NA,NA,NA,NA,NA,"23588","auto",NA,NA,NA
"17","2021-02-11 17:19:08-03","UFPR","UPCB","64048","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Fraga, C.N.","2233","2008","10","14",NA,"Brasil","Espírito Santo","BLOQUEADO",NA,"Rupícula, heliófila. Herbácea, folhas rosuladas na base, verde claras. Inflorescência ca. 40cm, flores com sépalas verde avermelhadas, pétalas verde amarelados, estames com anteras amarelas, estigma verde..",NA,NA,NA,NA,NA,"Castelo",NA,NA,"9999","9999",NA,NA,NA,NA,NA,"1500","1850",NA
"18","2021-02-11 17:19:08-03","UFPR","UPCB","69501","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Forzza, R.C.","4955","2008","02","12",NA,"Brasil","Espírito Santo","BLOQUEADO",NA,"Erva entre bromélias, em solo arenoso sobre rocha. Folhas discolores. Flores com cálice verde-claro até ocre; corola verde-clara; gineceu e filetes verdes, anteras castanhas..",NA,NA,NA,NA,NA,"Castelo",NA,NA,"9999","9999",NA,NA,NA,NA,NA,"1100","1400",NA
"19","2021-02-11 17:19:08-03","UFPR","UPCB","69513","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Kollmann, L.","11081","2008","07","16",NA,"Brasil","Espírito Santo","BLOQUEADO",NA,"Erva rupícola no sol, cálice verde amarronzado, corola amarela..",NA,NA,"Kollmann, L.","2008","07","Castelo",NA,NA,"9999","9999",NA,"16",NA,NA,NA,"1105","1400",NA
"20","2009-12-04 16:23:00-02","MO","MOBOT","3397012","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"Gert G. Hatschbach|J.M. Silva","Hatschbach 49407","1985","6","15","South America","Brazil","Espírito Santo","Pedra Azul (mun. Domingos Martinsa)",NA,NA,NA,NA,"P. J. M. Maas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:46:07-03","MBML","MBML-HERBARIO","13727",NA,"Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"L. Kollmann; et al","3188","2000","10","13",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,"Folhas verdes, sépalas verdes amarronzadas, pétalas marrons, haste vináceas.","MBML013727","MBML013727","in dupl.: Elsie F.Guimarães/03",NA,NA,"Castelo","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:46:07-03","MBML","MBML-HERBARIO","13871",NA,"Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"C. N. de Fraga; et al","722","2000","10","13",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,"Floresta Atlântica de Encosta e vegetação rupestre. Erva, rupestre, vivendo em fendas com litosolo, sépalas acastanhado e pétalas amarelados.","MBML013871","MBML013871","in dupl.: Elsie F.Guimarães/03",NA,NA,"Castelo","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-07-10 09:46:07-03","MBML","MBML-HERBARIO","22487",NA,"Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"L. Kollmann; et al","6708","2004","06","11",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,"Rupícola ao sol. Sépalas verdes, pétalas amarronzadas.","MBML022487","MBML022487","Fraga/01-11-2004",NA,NA,"Castelo","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-10 09:46:07-03","MBML","MBML-HERBARIO","24089",NA,"Plantae",NA,NA,"Gentianaceae","Prepusa","viridiflora","Prepusa viridiflora","Brade",NA,"A. P. Fontana; et al","1010","2004","11","01",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,"Rupícola, heliófila, flores verdes.","MBML024089","MBML024089","A. P. Fontana/06-07-2005",NA,NA,"Castelo","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,NA,NA,NA,NA,NA,NA
