"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","occurrenceRemarks","imagecode","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","class","typeStatus"
"1","2021-03-30 12:48:54-03","EAO","IAN","6422","PreservedSpecimen","Plantae","Dicotiledônea","Sapindaceae","Matayba","leucodictya","Matayba leucodictya","Radlk.","Glaziou, AFM","13621","Southern America","Brasil","IAN006422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:33:33-03","MN","R","8349","PreservedSpecimen","Plantae",NA,"Sapindaceae","Matayba","leucodictya","Matayba leucodictya","Radlk.","Glaziou, A.F.M.","18955",NA,"Brasil","R000008349","Coelho, R.L.S.","2009","10","05","1892","01","18","Rio de Janeiro","Plantas do Brasil Central","R000008349_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-06 09:57:35-03","UFOP","OUPR","5345","PreservedSpecimen","Plantae",NA,"Sapindaceae","Matayba","leucodyctia","Matayba leucodyctia","Radlk.","Zurlo, M.A.; Silva, J.L.","s.n.",NA,"Brasil",NA,"Ferrucci, M.S.","2009","11","12",NA,NA,NA,"Minas Gerais","Campo. Árvore. Flores pequeninas, verde-amareladas",NA,"Belo Horizonte","Serra da Moeda","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA
"4","2015-09-04 18:37:11-03","MNHN","RECOLNAT_MNHN_P","P00481753","PreservedSpecimen",NA,NA,"Sapindaceae","Matayba","leucodictya","Matayba leucodictya","Radlk.","Glaziou, A.",NA,NA,"Brésil","P00481753",NA,NA,NA,NA,"1892","1","18",NA,"Donné en 1907, par sa fille, Mme Simard <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00481753' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Alto Macahé",NA,NA,NA,NA,"18955","hb",NA,NA
"5","2005-11-16 11:11:26-02","MNHN","RECOLNAT_MNHN_P","P00481754","PreservedSpecimen",NA,NA,"Sapindaceae","Matayba","leucodictya","Matayba leucodictya","Radlk.","Glaziou, A.",NA,NA,"Brésil","P00481754",NA,NA,NA,NA,"1892","1","18",NA,"Donné en 1907, par sa fille , Mme Simard <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00481754' target='other'> <mi>dwc_moreinfo</mi></a>","P00481754_01",NA,"Alto Macahé",NA,NA,NA,NA,"18955","hb",NA,NA
"6","2015-09-04 04:31:51-03","MNHN","RECOLNAT_MNHN_P","P00481755","PreservedSpecimen",NA,NA,"Sapindaceae","Matayba","leucodictya","Matayba leucodictya","Radlk.","Glaziou, A.",NA,NA,"Brésil","P00481755",NA,NA,NA,NA,"1883","1","20",NA,"Donné en 1907, par sa fille, Mme Simard <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00481755' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Petrolis, an Morin",NA,NA,NA,NA,"13621","hb",NA,NA
"7","2009-09-03 17:37:00-03","MO","MOBOT","3002023","PreservedSpecimen","Plantae",NA,"Sapindaceae","Matayba","leucodictya","Matayba leucodictya","Radlk.","Gert G. Hatschbach|William R. Anderson|Rupert C. Barneby|Bronwen Gates","Hatschbach 35901","South America","Brazil",NA,"J. Kallunki, 7 April",NA,NA,NA,"1975","2","6",NA,NA,NA,NA,"Rod. BR 267 (Mun. Bataguaçu) Mato Grosso.",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-09-04 19:15:04-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Sapindaceae","Matayba","leucodictya","Matayba leucodictya",NA,"A. Glaziou","13621","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]"
"9","2017-09-11 17:13:49-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Sapindaceae","Matayba","leucodyctia","Matayba leucodyctia","Radlk.","Glaziou, AFM","Hb. Berol.18955","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro","m. Jan. 1892, flor.",NA,"Macaé","In B","-41.7869","-22.3708","47209","auto",NA,NA,NA,NA
"10","2017-09-11 17:13:49-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Sapindaceae","Matayba","leucodyctia","Matayba leucodyctia","Radlk.","Glaziou, AFM","Hb. Eichl.13621","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro","m. Jan. 1883, flor.",NA,"Petrópolis","In B","-43.1786","-22.505","36524","auto",NA,NA,NA,NA
