"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","previousCatalogNumber","infraspecificEpithet","class","relatedCatalogItem","typeStatus","relationshipType","fieldNumber","eventTime","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","1611","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tenuifolia","Tillandsia tenuifolia","L.","J. L. Waechter","1993","07","26","V. Citadini-Zanette; C. M. Martinello","1528","1993","02","18","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: epífita","CRI001947","CRI001947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","12646","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tenuifolia","Tillandsia tenuifolia","L.","Peterson T. Padilha & Renato Colares","2017","09","18","Alexandre Medeiros",NA,"2017","07","25","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.593333","-27.006944","48º35'36''W","27º0'25''S",NA,NA,"Flor vermelha. Coleta 325. Habito: Epífita","CRI010860","CRI010860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:22-03","UNESC","CRI","8093","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tenuifolia","Tillandsia tenuifolia","L.","Telma Elyta V. Azeredo","2009","01","13","Telma Elyta V. Azeredo",NA,"2009","01","13","Brasil","Santa Catarina","Siderópolis","Barragem do Rio São Bento.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Floresta Ombrófila Densa Submontana","CRI001943","CRI001943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:05-03","UNESC","CRI","7544","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tenuifolia","Tillandsia tenuifolia","L.","Telma Elyta V. Azeredo","2007","02","21","Telma Elyta V. Azeredo",NA,"2007","02","21","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"Habito: epifítica","CRI001946","CRI001946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:22-03","UNESC","CRI","8103","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tenuifolia","Tillandsia tenuifolia","L.","Telma Elyta V. Azeredo","2009","04","15","Telma Elyta V. Azeredo",NA,"2009","04","15","Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Floresta Ombrófila Densa de Terras Baixas","CRI001948","CRI001948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:22-03","UNESC","CRI","1649","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tenuifolia","Tillandsia tenuifolia","L.","J. L. Waechter","1993","07","26","V. Citadini-Zanette; C. M. Martinello","1583","1993","03","02","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: epífita","CRI001950","CRI001950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:22-03","UNESC","CRI","8100","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tenuifolia","Tillandsia tenuifolia","L.","Telma Elyta V. Azeredo","2009","01","26","Telma Elyta V. Azeredo",NA,"2009","01","26","Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Floresta Ombrófila Densa de Terras Baixas","CRI001945","CRI001945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","1194","S","Plantae","Bromeliaceae","Tillandsia","tenuifolia","Tillandsia tenuifolia","L.",NA,"2008","06","10",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Belo Vale",NA,"-44.0243988037109","-20.4078006744385",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","17803","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","3373","S","Plantae","Bromeliaceae","Tillandsia","tenuifolia","Tillandsia tenuifolia","L.","Sergio Gurken",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","RJ","Rio de Janeiro","Vargem grande","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","57442","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","1195","S","Plantae","Bromeliaceae","Tillandsia","tenuifolia","Tillandsia tenuifolia","L.",NA,"2008","07","21",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Belo Vale",NA,"-44.0243988037109","-20.4078006744385",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","17803","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
