"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","644540","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Struthanthus","hoehnei","Struthanthus hoehnei","Krause","K. Krause","F. C. Hoehne","2602","1918","12","05","South America","Brazil","São Paulo","Alto da Serra. Da Mata da Estaçao Biologica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","644541","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Struthanthus","jatibocensis","Struthanthus jatibocensis","Rizzini","C. T. Rizzini","A. C. Brade","18237","1946","05","15","South America","Brazil","Espírito Santo","Jatiboca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644541","Itaguaçu","-40.884085","-19.954583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01022101","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Struthanthus","maricensis","Struthanthus maricensis","Rizzini","C. T. Rizzini","H. S. Irwin","9616","1965","10","27","South America","Brazil","Distrito Federal","Chapada da Contagem, ca. 20 km N.E. of Brasília","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132711' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022101","Brasília","-47.78472222","-15.6555","1000","1000","NY01022101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01022102","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Struthanthus","planaltinae","Struthanthus planaltinae","Rizzini",NA,"E. P. Heringer","2738","1979","11","12","South America","Brazil","Distrito Federal","Área de inundação da Barragem do São Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022102","Brasília","-47.9294","-15.7797",NA,NA,"NY01022102_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:06-03","UFRJ","RFA","22238","PreservedSpecimen","Plantae",NA,NA,"Loranthaceae","Struthanthus","maricensis","Struthanthus maricensis","Rizzini",NA,"Cezio Pereira",NA,"1988","07","04",NA,"Brasil","Rio de Janeiro","Barra de Maricá",NA,"Parasitando Celastraceae em frutos","RFA44549","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:06-03","UFRJ","RFA","22499","PreservedSpecimen","Plantae",NA,NA,"Loranthaceae","Struthanthus","maricensis","Struthanthus maricensis","Rizzini","F. Agarez","Fernando Agarez","27","1988","10","03",NA,"Brasil","Rio de Janeiro","Barra de Maricá. Picada da Aeronautica",NA,"Em botões esverdeados","RFA44551","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,"20726","auto","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:06-03","UFRJ","RFA","22236","PreservedSpecimen","Plantae",NA,NA,"Loranthaceae","Struthanthus","maricensis","Struthanthus maricensis","Rizzini","F. Agarez","Cezio Pereira",NA,"1988","10","31",NA,"Brasil","Rio de Janeiro","Barra de Maricá",NA,"Flores branco=esverdeadas","RFA44548","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,"20726","auto","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:31:06-03","UFRJ","RFA","22160","PreservedSpecimen","Plantae",NA,NA,"Loranthaceae","Struthanthus","maricensis","Struthanthus maricensis","Rizzini",NA,"Fernando Agarez","20","1988","07","04",NA,"Brasil","Rio de Janeiro","Barra de Maricá",NA,"Fruto vinho","RFA44547","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:31:06-03","UFRJ","RFA","22112","PreservedSpecimen","Plantae",NA,NA,"Loranthaceae","Struthanthus","maricensis","Struthanthus maricensis","Rizzini","C.T. Rizzini","Fernando Agarez","13","1988","05","09",NA,"Brasil","Rio de Janeiro","Barra de Maricá",NA,"Frutos vinho-pálido","RFA44544","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,"20726","auto","1988","06","19",NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:31:06-03","UFRJ","RFA","22235","PreservedSpecimen","Plantae",NA,NA,"Loranthaceae","Struthanthus","maricensis","Struthanthus maricensis","Rizzini","F. Agarez","Cezio Pereira",NA,"1988","09","20",NA,"Brasil","Rio de Janeiro","Barra de Maricá, área B2",NA,"Flor e fruto","RFA44550","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,"20726","auto","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
