"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","day","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","558214","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","(Wawra) Cogn.","J. J. Wurdack","Serra-I","181","1953","02","South America","Brazil","Rio de Janeiro","Resende","Serra do Itatiaia. New road","-44.612767","-22.370919","2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558214","NY00558214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 10:11:00-03","NY","NYBG","1801063","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae",NA,NA,"J. M. A. Braga","2413","1995","05","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Planalto, trilha para as Prateleiras.","-44.65833","-22.35833","2400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2015744' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801063","NY01801063_01","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","558211","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","(Wawra) Cogn.","J. F. A. Baumgratz","K. Kubitzki","84-16","1984","02","South America","Brazil","Rio de Janeiro","Itatiaia","Serra da Mantiqueira, nahe Serra das Agulhas Negras. An Felsen","-44.658333","-22.384444","2400","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558211","NY00558211_01","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","558215","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","(Wawra) Cogn.","A. C. Brade","A. C. Brade","15649","1937","03","South America","Brazil","Rio de Janeiro","Itatiaia","Pedra Assentada","-44.66236","-22.399626","2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558215","NY00558215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","558212","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","(Wawra) Cogn.","J. J. Wurdack","P. J. M. Maas","3174","1977","10","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Abrigo Rebouças","-44.678895","-22.385269","2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558212","NY00558212_01","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","558213","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","(Wawra) Cogn.","J. J. Wurdack","J. C. Lindeman","4150","1967","02","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia; planalto near Abrigo Rebouças","-44.678895","-22.385269","2350","2350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558213","NY00558213_01","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:17-03","UFRJ","RFA","23114","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","F. Segadas-Vianna","F. Segadas-Vianna",NA,"1945","03",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","2000","2000",NA,NA,"RFA18868",NA,"07","1945","07","28","19648","auto",NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:31:27-03","UFRJ","RFA","4860","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","J. J. Wurdack","P. Occhioni","1293","1952","04",NA,"Brasil","Rio de Janeiro","Resende","Itatiaia, Caminho das Prateleiras","-44.4467010498047","-22.468900680542",NA,NA,NA,NA,"RFA25321",NA,"28","1975",NA,NA,"36089","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:17-03","UFRJ","RFA","23161","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"F. Segadas-Vianna; L. Dau; W.T. Ormond; G.C. Machline",NA,"1953","02",NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia, New Road","-44.4467010498047","-22.468900680542","2300","2300",NA,NA,"RFA18894",NA,NA,NA,NA,NA,"36089","auto",NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:31:27-03","UFRJ","RFA","4772","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","J. J. Wurdack","P. Occhioni","911","1947","03",NA,"Brasil","Rio de Janeiro","Resende","Km 4","-44.4467010498047","-22.468900680542",NA,NA,NA,"Arbusto, flor roxa","RFA25260",NA,"12","1975",NA,NA,"36089","auto",NA,NA,NA,NA,NA,NA
