"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","typeStatus","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","642155","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","K. Yamamoto","I. Cordeiro","1987","11","05","South America","Brazil","Minas Gerais","Grao-Mogol: Vale do Rio Itacambiruçu, 300m à jusante da foz do Córrego da Bonita","-42.91","-16.5967","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642155","NY00642155_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","642152","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","K. Yamamoto","W. Ganev","1992","08","13","South America","Brazil","Bahia","Estrada Mucugê-Abaíra, ca. 42 km de Mucugê, próximo ao Brejo de Cima","-41.57","-13.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642152","NY00642152_01","840","Mucugê","1220","1220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00972572","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,"G. G. Hatschbach","1978","10","22","South America","Brazil","Minas Gerais","10 km N de Grão Mogol.","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972572","NY00972572_01","41645","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","642154","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","K. Yamamoto","W. Ganev","1992","04","13","South America","Brazil","Bahia","Distrito de Catolés: Estrada - Abaíra - Mucugê","-41.55","-13.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642154","NY00642154_01","126","Abaíra","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","642153","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","K. Yamamoto","W. Ganev","1992","06","12","South America","Brazil","Bahia","Estrada Inúbia-Catolés, ca. 5km de Inúbia.","-41.7728","-13.1519","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642153","NY00642153_01","478","Piata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:21:56-03","UFBA","ALCB","100674","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K. Yamamoto","Silva, FO da","Ogasawara, HA; Equipe Labea","2011","05","12","Southern America","Brasil","Bahia","Chapada Diamantina","-41.2846984863281","-13.4105997085571",NA,"ca. 1,80 m alt. Folhas discolores, cartáceas, alternas, 1/3 serreadas, com estípulas; cálice e corola amarelos, estames avermelhados.","ALCB037496","ALCB037496","114","Ibicoara",NA,NA,"2015","03","34188","auto",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:21:56-03","UFBA","ALCB","101262","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K. Yamamoto","Silva, FO da","Ogasawara, HA; Equipe Labea","2011","08","27","Southern America","Brasil","Bahia","Chapada Diamantina","-41.2846984863281","-13.4105997085571",NA,"ca 1,20 m alt. Folhas discolores, cartáceas, alternas, 1/3 serreadas; corola amarela; anteras amarelas-avermelhadas.","ALCB037497","ALCB037497","161","Ibicoara",NA,NA,"2015","03","34188","auto",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:55:56-03","NBC","NL-BOTANY","U 0008114","PreservedSpecimen","Plantae",NA,"Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,"Hatschbach GG","1978","07","22","Southern America","Brazil","Minas Gerais","Grão Mogol, arredores, Minas Gerais.","-43.666667","-21.766667",NA,"Solo arenoso da planície entre a base morro e o rio.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200008114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0008114","NL-U0008114",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","isotype","-43.666667","-21.766667",NA,NA
"9","2020-11-04 12:17:14-03","ESALQ","ESA","37448","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii",NA,NA,"Hatschbach, G.","1978","10","22",NA,"Brasil","Minas Gerais",NA,"-42.8897018432617","-16.5594005584717",NA,NA,"ESA037448",NA,NA,"Grão Mogol",NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:37:18-03","UNICAMP","UEC","148108","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Yamamoto, K","Hatschbach, G","1978","10","22",NA,"Brazil","Minas Gerais","10 km NO de Grão Mogol","-42.916667","-16.533333",NA,"Arbusto de ramos decumbentes, flores amarelas. Frutos pretos. Encosta rochosa de morro","UEC055396","UEC055396","41645","Grão Mogol",NA,NA,"1979","12",NA,NA,NA,"paratypus","-42.916667","-16.533333",NA,NA
"11","2021-03-01 16:37:18-03","UNICAMP","UEC","148109","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Yamamoto, K","Hatschbach, G","1978","10","22",NA,"Brazil","Minas Gerais","10 km NO de Grão Mogol","-42.916667","-16.533333",NA,"Arbusto de ramos decumbentes, flores amarelas. Frutos pretos. Encosta rochosa de morro","UEC055393","UEC055393","41645","Grão Mogol",NA,NA,"1979","12",NA,NA,NA,"paratypus","-42.916667","-16.533333",NA,NA
"12","2021-03-01 16:37:18-03","UNICAMP","UEC","148110","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Yamamoto, K","Hatschbach, G","1978","07","22",NA,"Brazil","Minas Gerais","Arredores, Solo arenoso da planície entre a base dos morros e rio","-42.916667","-16.533333",NA,"Arbusto 1 m, ramoso, flores amarelas.","UEC055395","UEC055395","41472","Grão Mogol",NA,NA,"1979","12",NA,NA,NA,"holotypus","-42.916667","-16.533333",NA,NA
"13","2021-03-01 16:37:18-03","UNICAMP","UEC","167428","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Yamamoto, K","Cordeiro, I; Mello-Silva, R","1986","09","05",NA,"Brazil","Minas Gerais","Vale do rio Itacambiruçu. Próximo à ponte para Cristália em direção à Jusante.",NA,NA,NA,"Arbusto de 1,2 m alt., entre rochas. Pétalas amarelas e anteras alaranjadas.","UEC091482","UEC091482","s.n.",NA,"700","700","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA
